created_at,source,public_metrics,text,conversation_id,author_id,id,reply_settings,lang,search_query,geo,referenced_tweets,in_reply_to_user_id,withheld
2016-12-30T23:32:41.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",How can people hit an animal with their vehicle and leave it in the middle of the road?! #angry,814977537424195589,3371524847,814977537424195589,everyone,en,#angry,,,,
2016-12-30T23:31:34.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Way to go, @someuser This week Ive received voicemail 2-5 hours late, and today two work-related texts 1.5 hours late. #angry",814977257999597568,32932428,814977257999597568,everyone,en,#angry,{'place_id': '4ec01c9dbc693497'},,,
2016-12-30T23:18:43.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",not even 24 hours here and @someuser breaks my phone #I #AM #ANGRY,814974025722134529,68436902,814974025722134529,everyone,en,#angry,,,,
2016-12-30T23:17:43.000Z,Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Get mad #mad #angry #scrubhub,814973772071575558,814959995083169793,814973772071575558,everyone,en,#angry,,,,
2016-12-30T22:59:14.000Z,Pinterest,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","When I Feel #Angry - recognizing, expressing & managing anger. Printable activity, color and b&w ver http://someurl",814969121410613250,1342450219,814969121410613250,everyone,en,#angry,,,,
2016-12-30T22:19:06.000Z,Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#Republicans #OwnIt. Stand up for our Country! #Angry http://someurl,814959020285067266,327536887,814959020285067266,everyone,en,#angry,,,,
2016-12-30T22:01:44.000Z,CiteBright,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Being #angry never solves anything. -Catherine Pulsifer http://someurl,814954650461995009,122170454,814954650461995009,everyone,en,#angry,,,,
2016-12-30T21:31:06.000Z,The Social Jukebox,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Is #Anger the New #Calm? http://someurl #angry #angermanagement #reallyangry #reallyreallyangry #Aaargh! http://someurl,814946939657654273,9707572,814946939657654273,everyone,en,#angry,,,,
2016-12-30T21:04:45.000Z,Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",I guess that is why hey Im #ANGRY because O_H are still not arrested. http://someurl,814940311629623296,20435808,814940311629623296,everyone,en,#angry,,"[{'type': 'quoted', 'id': '814938693500813313'}]",,
2016-12-30T21:03:26.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@someuser Harrogate: I asked if Hourglass bronzer Radiant was 4 light skin, you said yes so I bought it. NO, the luminous one is! #angry!!",814939979252203520,418005800,814939979252203520,everyone,en,#angry,,,149157068,
2016-12-30T20:55:44.000Z,Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",#FridayNightFeast making me #angry! #Fat beast cant afford to feed her kids... suppose those tats & piercings were free ? #BenefitsBritain,814938043098533888,572800571,814938043098533888,everyone,en,#angry,,,,
2016-12-30T20:39:42.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#AntiTrump #Trump #China #angry at #Japan #UnauthorizedPhotos #NewAircraftCarrier #BooHoo waa they gonna do? http://someurl @someuser,814934007133667329,3316533025,814934007133667329,everyone,en,#angry,,,,
2016-12-30T20:18:21.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser #angry and shallow-brained losers.http://someurl,814928634959933440,503494582,814928634959933440,everyone,en,#angry,,,114718372,
2016-12-30T18:28:50.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@someuser value their customers😡 5 appointment 5 cancellations 5 complaints + Im still waiting for the gas man #frustrated + #angry,814901073173422080,199220382,814901073173422080,everyone,en,#angry,,,551738805,
2016-12-30T18:08:03.000Z,TracyLoweFox,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Test #rode an #angry beemer yesterday. Was a good day #motorcycle #biker #pics http://someurl,814895841945255937,808612530604146688,814895841945255937,everyone,en,#angry,,,,
2016-12-30T18:03:26.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser Thats not gonna be a pretty place to be. #angry #manhaters,814890169585336320,777191390077865985,814894681607663616,everyone,en,#angry,,"[{'type': 'replied_to', 'id': '814890169585336320'}]",15164565,
2016-12-30T17:43:30.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@someuser can someone please tell me what this oracle access manager is I am getting when I try and log into my account #angry,814889665916522499,775379812986785792,814889665916522499,everyone,en,#angry,,,20678384,
2016-12-30T17:31:29.000Z,JezSande,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#Apollo is #angry because I wouldnt let him bite me anymore. #cute #animals #aww #pics http://someurl,814886641760436224,786246077145939968,814886641760436224,everyone,en,#angry,,,,
2016-12-30T17:20:14.000Z,vcreekquotes,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#Anger Is A #Poison That Kills the #Angry - http://someurl http://someurl,814883808235372545,2396701844,814883808235372545,everyone,en,#angry,,,,
2016-12-30T17:07:28.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Takes only the smallest of things to annoy me 😂 #temper #gay #angry #notsoangry http://someurl,814880594731548672,2877970749,814880594731548672,everyone,en,#angry,,,,
2016-12-30T17:00:49.000Z,Buffer,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",dont overreact.. new year is coming 😂Follow us @someuserher #angry #behappy #classic #happy #happyworldtogether #hwt #stayhappy http://someurl,814878920738832384,2661540919,814878920738832384,everyone,en,#angry,,,,
2016-12-30T16:50:10.000Z,Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",The one thing that has never changed is the rudeness of people in bham. Learn some manners 😠 | #bham #rudepeople #angry #peopleofbham,814876243330002944,437922175,814876243330002944,everyone,en,#angry,{'place_id': '53b67b1d1cc81a51'},,,
2016-12-30T16:06:40.000Z,Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",I cant believe I cant find a working link to watch #LaCandidatas cap 29. 😡 #angry,814865294787280896,219450038,814865294787280896,everyone,en,#angry,,,,
