lang,reply_settings,source,public_metrics,created_at,text,conversation_id,id,author_id,search_query,geo,referenced_tweets,in_reply_to_user_id
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T19:53:31.000Z,Polera Donald The dick para el amigo Franco. #areyoutalkingtome #taxidriver #donald #angry... http://someurl,814922385262424064,814922385262424064,269551058,#angry,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T10:37:00.000Z,Esa chimenea esta muy enojada y esta reclamando algo!| #nofilter #WTF #chimney #chimenea #angry... http://someurl,814782331722616832,814782331722616832,94260909,#angry,"{'place_id': '00f84d414936f28e', 'coordinates': {'type': 'Point', 'coordinates': [-64.19159121, -31.41299426]}}",,
es,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T03:31:48.000Z,"Yo no duermo buen cuando no me funciona un GIF, independientemente del meme. #angry #Memes",814675326974443520,814675326974443520,422912507,#angry,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-29T21:44:31.000Z,"¡Wuuuuuuu! Muchas curvas 😖🤢 #cuernavaca #méxico #traffic #crazy #angry 🙋🏻😞 @ Cuernacava, Morelos http://someurl",814587928081027072,814587928081027072,100035810,#angry,"{'place_id': '80e00b1e20e85786', 'coordinates': {'type': 'Point', 'coordinates': [-99.23932758, 18.9301105]}}",,
es,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-29T13:31:16.000Z,"#Angry Birds, de videojuego a serie animada http://someurl http://someurl",814463799319216129,814463799319216129,20450173,#angry,,,
es,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-29T06:25:54.000Z,teen canada #angry sex songs http://someurl,814356754666504192,814356754666504192,578056833,#angry,,,
es,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-28T13:36:15.000Z,Cuando la azafata ya repartió todo la comida y nadie te despertó...😂😂 #Mafe #angry #princess #love http://someurl,814102665319878656,814102665319878656,307741130,#angry,{'place_id': '01f2931e2c7f48a8'},,
es,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T11:41:37.000Z,Estoy despierta de las 7am. Que me sucede? Porqué eres así? #angry,814073815382818817,814073815382818817,2242188944,#angry,,,
es,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T05:48:48.000Z,videos pornos de sabrina #angry buttsex http://someurl,813985029223317506,813985029223317506,81254455,#angry,,,
es,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T11:25:35.000Z,@someuser uy ganó la super impostora que #super #angry tuesday bebe :(,813669778455986177,813707395973128192,164945780,#angry,,"[{'type': 'replied_to', 'id': '813669778455986177'}]",603216887
es,everyone,Twitter for iPhone,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-27T09:58:27.000Z,Porque siempre tienen que estar metidos en la vida de uno 😤😤 #angry #life #newyear2017 #NOWOneDirection #twitter,813685468780961792,813685468780961792,2530529749,#angry,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-27T01:50:26.000Z,Buky está enojado... 😠🐶🐕| | #buky #dog #angry http://someurl,813562653528375296,813562653528375296,196469740,#angry,,,
es,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-26T20:48:23.000Z,Cc eres el unico sin abrir los regalos  por esperar a la familia 🙄💆🏼‍♂️#angry#yaquieroabrirmisregalos,813486641998393344,813486641998393344,782405218461814785,#angry,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-25T20:44:00.000Z,¿Pero qué cosa? ¿Cómo se le ocurre? #angry #surprisebitch #surprised #blonde #guy #sister #man... http://someurl,813123150389137412,813123150389137412,2441022530,#angry,,,
es,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-25T19:29:16.000Z,La chica que me gusta se esta aprovechando de mi crush | #Angry| #AlDemonio,813104341829742592,813104341829742592,2837636759,#angry,,,
es,everyone,KHS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-25T12:33:49.000Z,Ya puedes descargar de manera gratuita #Angry Birds Blast en tu #smartphone: http://someurl #tecnologia,812999791101800449,812999791101800449,594905522,#angry,,,
es,everyone,KHS,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-25T08:54:28.000Z,Rovio te reta a jugar al #Angry Birds Blast para iOS anunciando su lanzamiento gr ..: http://someurl #tecnologia,812944590965772288,812944590965772288,594905522,#angry,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-25T03:56:15.000Z,"Ñam ñam| #cute #niece #christmas #angry#happy @ Mañanitas, Panama, Panama http://someurl",812869541013426176,812869541013426176,731259277294206976,#angry,,,
es,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T23:44:52.000Z,Llevo intentando 1 hora para dormir y no puedo #angry,812806277394997248,812806277394997248,2853340420,#angry,{'place_id': 'c5c72776b9f0cc0b'},,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-24T16:54:47.000Z,Cuando te enojas porque no podes morderle los pies a Dani #nao #cat #lovely #angry http://someurl,812703074976313344,812703074976313344,146089599,#angry,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T01:54:59.000Z,"Sin filtro | | #Angry 😒 @ Villa Totoral, Cordoba. http://someurl",812114246372761600,812114246372761600,40480250,#angry,"{'place_id': '0b79f7e718cb54b9', 'coordinates': {'type': 'Point', 'coordinates': [-64.0555466, -30.7064528]}}",,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-22T06:57:52.000Z,Con mi cara de culo jajaja es que la pelicula no va como quiero 😠😬😅😆 #angry #bored #film #tv... http://someurl,811828082638290944,811828082638290944,978684319,#angry,,,
es,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-22T05:35:00.000Z,UNIVERSO NOKIA: #Angry #Bird 2 #Record #Download | #30 #Milioni #2... http://someurl,811807229062053888,811807229062053888,4173846143,#angry,,,
es,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-22T03:03:34.000Z,estoy chataaaaaaa de estudiar mientras todos estan con la onda navideña #upset #angry,811769118672166912,811769118672166912,329882946,#angry,,,
es,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T20:37:10.000Z,Y yo digo como pueden ser las personas tan patuellis #angry #fuckyou,811671877626130432,811671877626130432,140234769,#angry,{'place_id': '00938c431e3782f2'},,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T12:48:59.000Z,Estas fechas me traen asi #grrr #angry #color #digital #ink #tinta #ilustracion #ilustrator... http://someurl,811554054031736833,811554054031736833,164418946,#angry,,,
es,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T03:43:14.000Z,Y esos pequeños gruñones 😠| También tenemos varios modelos!| #Hulk #kids #comic #angry #marvel #gorras #guayaquil #ec... http://someurl,811416712952299520,811416712952299520,1088131980,#angry,,,
es,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T20:47:12.000Z,Estoy tan malditamente molesta ahora mismo que no puedo ni pensar con claridad #pissed #angry #sodamnangry,811312016438788096,811312016438788096,809073273698979841,#angry,,,
es,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T17:32:53.000Z,Ahora ya se q el tema a evitar es cualquier cosa q tenga q ver con mi familia... #hatemylife #angry,811263114696134656,811263114696134656,799116229,#angry,,,
es,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",2016-12-20T16:25:00.000Z,Debido a la imposición arbitraria de reglas de @someuser estaré 24 horas sin poder ingresar a mi cuenta y sin publicar #DiosPorQuéAMí #Angry,811246031090368512,811246031090368512,43947349,#angry,,,
