created_at,source,public_metrics,text,conversation_id,author_id,id,reply_settings,lang,search_query,in_reply_to_user_id,referenced_tweets,geo
2016-12-28T18:38:44.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",जिनके दिल अच्चे होत हे उनकी किस्मत ख़राब होती है...!!!| #Angry| #Facts,814178787390672896,65892299,814178787390672896,everyone,hi,#angry,,,
2016-12-28T10:33:30.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","दंगल देख गीता-बबीता से नाराज हुए कोच, दी क़ानूनी कार्यवाई की धमकी| #Geetaphogat #Coach #Angry #FilmDangal http://someurl",814056673379811328,1549916598,814056673379811328,everyone,hi,#angry,,,
2016-12-27T02:44:53.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@someuser kya hua hai modi ji ko .. kuch v bol dete hain  then market participant uske hisab se kaam karte hian .. #angry,813576355120037896,2855365844,813576355120037896,everyone,hi,#angry,176696924,,
2016-12-24T19:10:35.000Z,hindi.news24online.com,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}","गुस्सा होने के बजाए साथी से बोले वाजपेयी, मुझे भी फिल्म दिखा देते #atalbiharvajpayee #angry #movie http://someurl http://someurl",812737254154190848,34206701,812737254154190848,everyone,hi,#angry,,,
2016-12-21T06:46:38.000Z,Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",मेरा खाना कहा है 🎂 🎂 | | #Lunch #Time #Funny #Angry #Dog  #HBDTamannaah #WednesdayWisdom #cute #cutepuppies #MyTeBox #dogs #dogsoftwitter http://someurl,811462866754797568,3269669598,811462866754797568,everyone,hi,#angry,,,
2016-12-17T04:26:10.000Z,Twitter Web Client,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@someuser > @someuser < Ye Rajesh Bhai Ki Behan h.Pappu ki nahi #Angry  LOL!! @someuser @someuser @someuser @someuser,809967462980747264,2184256248,809977965282992128,everyone,hi,#angry,2282073919,"[{'type': 'replied_to', 'id': '809970959218339840'}]",
2016-12-16T23:02:54.000Z,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",angry shrek #TheMemebot #angry shrek #Funny #Meme http://someurl http://someurl,809896615079215108,737394371809533952,809896615079215108,everyone,hi,#angry,,,
2016-12-15T13:00:55.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",जब बाद में Unfollow ही करना रहता है तो #Follow ही क्यों करते हो सालों  .....| #Angry #MC,809382732354621440,505573989,809382732354621440,everyone,hi,#angry,,,
2016-12-15T09:10:27.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",संसद नहीं चलने से आडवाणी नाराज| #Parliament #stalled #angry #Advani http://someurl,809324730956267520,843529538,809324730956267520,everyone,hi,#angry,,,
2016-12-13T17:34:23.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Is qadar ajnabi bana diya..| Ki labon par to | Humara naam..| Magar dil mein kisi aur ko| Basa liya..| | #heartfelt | #angry,808726774288936961,410986748,808726774288936961,everyone,hi,#angry,,,
2016-12-08T19:18:23.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser #Bhai chaa ghe feer se #All the best #Love #positive #India ki shaan #BBkiVines #Angry master ji 9 🙇🏻🙇🏻🙌🏻,806941008621604864,2695152204,806941008621604864,everyone,hi,#angry,1668063794,,
2016-12-07T07:07:57.000Z,Twitter for Android,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}",#Superdaduji #fulloff #angry  #amrishuncle #onset #amrishuncle ho aur #masti na ho ... #notpossible @someuser  @someuser http://someurl,806394803374137344,3191971800,806394803374137344,everyone,hi,#angry,,,
2016-12-04T18:19:43.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","दुनिया में तरह तरह के लोग ,कुछ तो माधरचोद हैं और कुछ तो बहुते माधरचोद।| #बहुत_सी_बातें_है| #Angry",805476692647170053,505573989,805476692647170053,everyone,hi,#angry,,,
2016-12-04T07:07:39.000Z,Twitter for BlackBerry,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Jb bhukh lgti hai to #Pizza bhi order nahi hota #Angry,805307562841108481,505573989,805307562841108481,everyone,hi,#angry,,,
2016-12-02T17:33:25.000Z,MAT News.IN,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",डीजे पर डांस करने से नाराज पति ने पत्न ...| | #Agra #Angry #Dance #DJ #Gunshot #Husband #Lucknow #UpPolice| | http://someurl,804740266448064512,331787405,804740266448064512,everyone,hi,#angry,,,
2016-12-01T21:02:51.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#angry indian godess शब्द मेरे भीग गए है आँखे भी मेरी नम है अब, ये सच है जो देखा है, ये सच जो तुमने हम सब को दिखाया है। दिल को हिला दिया।",804430585418526720,3628700534,804430585418526720,everyone,hi,#angry,,,
2016-11-30T05:01:17.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",सभी दल नाराज क्योंकि जमा किया धन रद्दी हो गया:शाह| #parties #angry #funds #trash http://someurl,803826211881414658,843529538,803826211881414658,everyone,hi,#angry,,,
2016-11-28T09:52:12.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","#Notebandi #angry #people #beaten| नोटबंदी का असर, नाराज़ लोगों ने #BJP के नेता को खुलेआम पीटा| http://someurl",803174645595705344,742252310479278080,803174645595705344,everyone,hi,#angry,,,
2016-11-28T08:43:52.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#Insult #angry #AmarSingh #MulayamSingh #met #SamajwadiPArty| अपमान से नाराज अमर सिंह ने की मुलायम से मुलाकात| http://someurl http://someurl,803157451046404096,742252310479278080,803157451046404096,everyone,hi,#angry,,,
2016-11-26T14:41:54.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Bigg Boss 10: स्‍वामी ओम पर भड़के सलमान खान, बीच में छोड़ा शो!| #BigBoss10 #Salman #angry #SwamiOm http://someurl",802522773759422464,843529538,802522773759422464,everyone,hi,#angry,,,
2016-11-26T10:30:28.000Z,Twitter Web Client,"{'retweet_count': 25, 'reply_count': 0, 'like_count': 14, 'quote_count': 0}","सिंधिया किसानों से मिले, नोटबंदी के प्रभाव पर बिफर पडे किसान | #Scindia #Farmers #Angry #Impact #Notbandi| http://someurl",802459500481486848,288077673,802459500481486848,everyone,hi,#angry,,,
2016-11-18T20:56:03.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Is matlabi duniya me ek paan wala hi h jo puch ke chuna lagata hai.| #Angry,799717832032292864,3185876803,799717832032292864,everyone,hi,#angry,,,
2016-11-18T08:01:44.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",मखा भाईयो | | तमने इन #बिटोडे से मुँह वाली लडकियों के पीछे #गेडे मार-मार क इनके #भा बढा रख्खे नु ही । | | #feeling #angry — feeling angry,799522966983901184,757298277524115456,799522966983901184,everyone,hi,#angry,,,
2016-11-14T21:40:27.000Z,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",angry pusheen #TheMemebot #angry pusheen #Funny #Meme http://someurl http://someurl,798279453470298113,737394371809533952,798279453470298113,everyone,hi,#angry,,,
2016-11-10T05:37:34.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#SRK #SonamKapoor #angry #Bollywood| @someuser @someuser | शाहरुख खान से नाराज हुई सोनम कपूर| http://someurl http://someurl,796587581936963584,742252310479278080,796587581936963584,everyone,hi,#angry,,,
2016-11-07T12:41:21.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#Dharmyog_Foundation| #धर्मयोग #फाउंडेशन| #धर्मयोगी गुरुदेव | | #QOTD  #Hindi  #Quote  #Lifestyle  #Angry http://someurl,795607069319569408,591054826,795607069319569408,everyone,hi,#angry,,,
2016-11-04T07:37:18.000Z,MEGAPO.ST,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Tabatha http://someurl im #ceweksexy #duck #angry #modelo #cuteboys #fitnesstrainer,794443387470487552,2837163216,794443387470487552,everyone,hi,#angry,,,
2016-11-02T23:59:10.000Z,MEGAPO.ST,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Sasha http://someurl in #beautiful #fotografheryerde #angry #фитнеспитание  #gymgirl,793965707302158336,2835347628,793965707302158336,everyone,hi,#angry,,,
2016-10-24T01:29:01.000Z,Buffer,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",जानिए ऋषि ने 1 लाख अशर्फिया लेकर देश के राजा को क्या ज्ञान दिया।  #nss http://someurl #angry #charity http://someurl,790364438985572352,168504117,790364438985572352,everyone,hi,#angry,,,
2016-10-22T22:39:19.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Aisa hai beti, k zabaan sambhal k varna humne jese missile roki thi wese tumhe rok lenge. #BabaOmSwami #Angry #BiggBoss10  ✋✋ http://someurl",789959347170336768,789941125041774592,789959347170336768,everyone,hi,#angry,,"[{'type': 'quoted', 'id': '789958787390144512'}]",
2016-10-14T06:25:05.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",यार जब अनफॉलो ही करना रहता है तो फॉलो ही क्यों करते हो | #Angry,786815070260965377,505573989,786815070260965377,everyone,hi,#angry,,,
2016-10-11T08:31:45.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","अटलजी ने नहीं करने दी थी LOC क्राॅस, सेना थी नाराज़| #Atalji #LOC #army #angry http://someurl",785759780845387776,843529538,785759780845387776,everyone,hi,#angry,,,
2016-10-05T04:44:31.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",जिन्हे अपने बाप के बाप होने का भरोसा नही होता उन्हें ही देश की सेना पर भरोसा नही होता| sorry but | #angry Indian,783528271451394049,1245391111,783528271451394049,everyone,hi,#angry,,,
2016-10-03T15:01:41.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser dekh rhe hai n sir ye bollywood ke kuch aatankwadio ko jo bharat m rehkr v pak ka sath nibhate h| | #feeling #angry,782958809769709568,753516137602772992,782958809769709568,everyone,hi,#angry,75246346,,
2016-09-30T15:10:44.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Aaj ki raat delhi metro me kategi :(| #SevereDelay #Angry,781873924296548352,614700406,781873924296548352,everyone,hi,#angry,,,
2016-09-27T11:28:54.000Z,Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#AzamKhan #SupremeCourt #angry #Bulandshahr #Gangrape| बुलंदशहर गैंगरेप कांड में बयान देने पर SC नाराज, CBI से| http://someurl http://someurl",780730931703189504,742252310479278080,780730931703189504,everyone,hi,#angry,,,
2016-09-22T16:40:04.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",बी एस एन एल थ्री जी स्पीड बहुत स्लो है आज.?   #angry,778997301146550276,176159916,778997301146550276,everyone,hi,#angry,,,
2016-09-22T06:45:00.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",my dog name is Navaj but he is not Sharif kya kare kutta hai na | #UriAttack #angry #indianarmyselute,778847547951415296,145678084,778847547951415296,everyone,hi,#angry,,,
2016-09-21T20:12:39.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",http://someurl @someuser sir Jo apne bola tha woh Kar k dikhaye!!!! Bullet train nahi chahiye Pakistan barbad chahiye !!#angry,778688412949680130,772854241136406528,778688412949680130,everyone,hi,#angry,,,
2016-09-19T13:40:01.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Bahut Hui Jumle ki Sarkaar .. Abki Baar Pakistaan Pe Waar ..| | #Angry #UriAttack #EnoughIsEnough #AttackPakistan #BadlaLegaIndia| #56Inch,777864827016392708,140448571,777864827016392708,everyone,hi,#angry,,,
2016-09-19T10:14:38.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",गुस्से को कैसे काबू में करे -| http://someurl| #ControlAnger| #Hindi| #AngryBird| #Angry| #ControlAngerTechniques http://someurl,777813142457966592,2880006853,777813142457966592,everyone,hi,#angry,,,
2016-09-17T05:37:04.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#angry #bull #horns #across #body #pierce| सांड़ ने सींगों को शरीर में घुसाकर कर दिया आर-पार| http://someurl http://someurl,777018512959152128,742252310479278080,777018512959152128,everyone,hi,#angry,,,
2016-09-14T04:31:19.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",कश्मीर पर यूएनएचसीएचआर की टिप्पणी पर भारत नाराज| #IndiaHallaBol #HallaBol #India #angry #over #remarks #Kashmir... http://someurl,775914801189023744,361166604,775914801189023744,everyone,hi,#angry,,,
