reply_settings,public_metrics,created_at,id,conversation_id,source,author_id,lang,text,search_query,referenced_tweets,in_reply_to_user_id,geo
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T20:43:03.000Z,814934850029371392,814934850029371392,Twitter for iPhone,3207469035,nl,Niks zo lastig als ze uw post opendoen!!! #angry #doejeniet #privacy,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-15T12:05:31.000Z,809368789062131713,809368789062131713,Twitter Web Client,375699438,nl,#angry pussy teen lesbo cheerleader http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-13T17:52:09.000Z,808731246717181952,808731246717181952,Twitter Web Client,147278236,nl,Crying about #Aleppo Mensen schrijven hun afscheidstweet. En de wereld kijkt weer toe. Leren we dan nooit? #angry #sad,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-10T18:40:13.000Z,807656181791526913,807656181791526913,Instagram,185827006,nl,Dit is die wedstrijd agressie #badr🇲🇦 #vs #rico #music #producing #808 #mad #angry  #glory http://someurl,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-06T19:07:27.000Z,806213483251507201,806213483251507201,Facebook,43321487,nl,Ik denk dat ze boos is 😁 #echtelijkeruzie #kopnaarbeneden   #angry http://someurl,#angry,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-02T16:35:19.000Z,804725646043807744,804725646043807744,Tweetlogix,123219371,nl,. @someuser geeft het begrip hangry deze vakantie een nieuwe dimensie! Kan zo in de Snickers reclame... #honger #angry #hangry,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-02T14:18:03.000Z,804691099222736896,804691099222736896,Google,1699845913,nl,Khadoos Baap - Pakau TV Channel #angry #father #indian #Hindi #comedy #pakautv #new http://someurl,#angry,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-30T19:31:48.000Z,804045284552667136,804045284552667136,Twitter for iPad,3295431565,nl,RT @someuser @someuser Niet direct racistisch - betekent dat indirect racistisch? Het is verdomme maar een kinderfeest 😡 Jezus Chri...,#angry,"[{'type': 'retweeted', 'id': '804001305077436416'}]",,
everyone,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",2016-11-30T16:37:03.000Z,804001305077436416,803982851343519744,Twitter for Android,3057905576,nl,@someuser Niet direct racistisch - betekent dat indirect racistisch? Het is verdomme maar een kinderfeest 😡 Jezus Christus!!! #angry,#angry,"[{'type': 'replied_to', 'id': '803982851343519744'}]",1185436171,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-29T14:13:03.000Z,803602678823682048,803602678823682048,TweetDeck,142208193,nl,"Niet vandaag, maar morgen in huis. Nog een dag langer wachten op #FFXV #Angry @someuser",#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-11-23T12:43:42.000Z,801405865744101377,801405865744101377,Twitter for Android,709724814366351360,nl,En de architect blijft onze kelder maar uit ons hoofd praten 😠 Waarom toch! 😠 #bouwen #angry,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-17T17:12:19.000Z,799299137304817664,798842797994315777,Twitter for Android,3057905576,nl,"@someuser @someuser Euh, retweeten, dus. Auto word correction #angry",#angry,"[{'type': 'replied_to', 'id': '799294461587001344'}]",3057905576,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-11-14T06:31:59.000Z,798050828497977345,797131413472546818,Twitter for Android,3057905576,nl,@someuser @someuser Wil er iemand Jerry Afriyie terug naar Afrika trappen? Waarom gaat hij niet uit zichzelf terug? #angry,#angry,"[{'type': 'replied_to', 'id': '797131413472546818'}]",2720526287,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-11-11T02:59:13.000Z,796910119565033472,796910119565033472,MEGAPO.ST,2838933211,nl,Kiersten http://someurl  #likes4likes #contest #angry #boy #healthylifestyle #fitmotivation,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-10T23:08:12.000Z,796851982275330048,796851982275330048,Twitter for iPhone,49963985,nl,Alles gaat weer verkeerd..ik wil rust in het hoofd! #sad #angry #stressedout,#angry,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-11-10T15:55:08.000Z,796743000353341440,796743000353341440,Twitter Web Client,47280816,nl,"@someuser #dissapointed #angry Ik kan niet emailen omdat ik geen ordernummer heb ontvangen, geen email gehad. En telefonisch kom ik er ook niet",#angry,,58561993,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-09T02:03:18.000Z,796171272401145856,796169554590318597,Twitter for iPhone,253407636,nl,@someuser Neil Allen?  #angry,#angry,"[{'type': 'replied_to', 'id': '796169554590318597'}]",2986640033,
