id,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
814969318148554752,Twitter Business Experience,814969318148554752,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:00:01.000Z,😂 (instagram/tank.sinatra)| #dumb #stupid #idiot #explain #learn #understand #hate #angry http://someurl,968488794,en,#angry,,,
811600561493647364,Mobile Web (M2),811600561493647364,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T15:53:47.000Z,CHUVA LAZARENTA #Angry,811573240439205888,pt,#angry,,,
811599901176041472,Twitter Web App,811599901176041472,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T15:51:09.000Z,A unha resolve quebrar justamente próxima às festas de fim de ano :( #angry http://someurl,561506341,pt,#angry,,,
811322361807011840,Twitter for iPhone,811322361807011840,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-20T21:28:19.000Z,Ahahahahah 😂 Perdonate lo sfogo ma quando ce vó ce vó #funnyvideo #goodtimes #HairMoment #crazygirl #angry http://someurl,805565008109256704,pt,#angry,,,
811235076113596416,Twitter Web Client,811233395015610368,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-20T15:41:28.000Z,@someuser Vai tomar no cy merda de proxy que bloqueia até a mãe! Em casa eu vejo... #angry #rage,203133097,pt,#angry,"[{'type': 'replied_to', 'id': '811234648680529929'}]",216419887,
810979421314289664,Instagram,810979421314289664,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T22:45:35.000Z,"Cuidado, cão bravo. 😂 #dog #instadog #love #amor #amo #baby #princesa #princess #angry http://someurl",279304839,pt,#angry,,,
809980200574472192,Twitter Web Client,809896742372179970,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-17T04:35:03.000Z,@someuser a gi comprou um oculos igual o meuuu :( #chateda #angry,738867970923958272,pt,#angry,"[{'type': 'replied_to', 'id': '809979277349441536'}]",3234649595,
809576880017932288,Eu Sou Android,809576880017932288,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-16T01:52:24.000Z,#Angry #Birds #GO ##MOD APK| LINK: http://someurl| | Por Lissandro de Queiroz em Eu Sou ...| Tags: #AngryBir http://someurl,34299506,pt,#angry,,,
809547513434951680,Instagram,809547513434951680,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",2016-12-15T23:55:42.000Z,Você não é você quando está com fome!| #P&B #Angry? #merchandise? #free http://someurl,3421299286,pt,#angry,,,
809444393547628544,Twitter for Android,809444393547628544,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-15T17:05:56.000Z,>> Eu aqui pensando; abençoado aquele que inventou a #Leg feminina ....pelo amor viu rsr ...#Angry #QuintaDetremuraSDV,323544034,pt,#angry,,,
808008143624146944,Twitter for iPhone,808008143624146944,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",2016-12-11T17:58:48.000Z,EXCELENTE DOMINGO #angry #golfpuebla http://someurl,571309714,pt,#angry,,,
