id,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
814161654707613696,IFTTT,814161654707613696,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T17:30:39.000Z,Hummmm (Akuma voice) | #akuma #sketch #test #angry #red #hado #sfv #streetfighter #wacom #p... http://someurl http://someurl,116554010,tl,#angry,,,
814109842633854976,Facebook,814109842633854976,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T14:04:46.000Z,#My Twin| #Angry Birds| #My Partner In Crime_We Can Rob CBN| #My Clara| #My Delta MWME| #My Ndokwa Queen,3910844795,tl,#angry,,,
813793266994843648,Twitter for iPhone,813793266994843648,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T17:06:49.000Z,Reason I love mama Jin 😂😂😂| #angry#mom#mama#jin#cute http://someurl,813669580975456256,tl,#angry,"[{'type': 'quoted', 'id': '812760284834201604'}]",,
813245154299559936,Twitter for Android,813245154299559936,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-26T04:48:48.000Z,@someuser  angry on #SwamiOm 😂| #BiggBoss ka gussa bhi kitna cute hai n ☺😘 love you #BiggBoss #BB10 #angry #SwamiOm #jiotv http://someurl,735730857902624769,tl,#angry,,1652516689,
812699463957348352,Twitter for Android,812674246778306560,everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",2016-12-24T16:40:26.000Z,@someuser @someuser Dameng dame naman magchachat at papansin kase nag upload nanaman ng pic.  Kaya angry!  #WOWganda #angry HAHAHAHAHAH,2838030811,tl,#angry,"[{'type': 'replied_to', 'id': '812698951497306112'}]",441584608,
812403330890792964,IFTTT,812403330890792964,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T21:03:42.000Z,angry man #TheMemebot #angry man #Funny #Meme http://someurl http://someurl,737394371809533952,tl,#angry,,,
811802030255665152,Twitter for Android,811802030255665152,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 12, 'quote_count': 0}",2016-12-22T05:14:21.000Z,Galit ako sa systema 😠 #angry,1259434022,tl,#angry,,,
811570516343554049,Facebook,811570516343554049,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T13:54:24.000Z,damay damay pahamak bushitt| #angry,2921764681,tl,#angry,,,
811541173584138240,IFTTT,811541173584138240,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T11:57:48.000Z,angry taehyung #TheMemebot #angry taehyung #Funny #Meme http://someurl http://someurl,737394371809533952,tl,#angry,,,
810005774676148224,Twitter Web Client,810005774676148224,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-17T06:16:40.000Z,Sabihin mo na gusto mong sabihin sa akin kasi may limit din ang kayabangan mo!!!| #Angry,731734154170142721,tl,#angry,,,
809819373875630080,Twitter for Android,809819373875630080,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-16T17:55:59.000Z,What is wrong with @someuser today?? Yani #TTTT inakam 8 minutes the rest ni adverts?!!! Kwani imenunuliwa na SK Masha ama Ruto?? #Angry,921237409,tl,#angry,,,
808389190832582657,Twitter for Android,808389190832582657,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-12T19:12:56.000Z,#respect  why all tym army? netao ko bhejo. #angry,801086671223603204,tl,#angry,,,
805053330628059137,Twitter for Android,805053330628059137,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-03T14:17:25.000Z,Mailhan jud if namakak ang osa ka tawo oy! Makalagot baya na! Sakpan na mamakak pa! Hahay! | #sadlife #lie #angry,114969380,tl,#angry,,,
804710100371963905,Twitter Web Client,804710100371963905,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-02T15:33:33.000Z,#angry pussy pornxxxasian http://someurl,63567289,tl,#angry,,,
804297713818931200,Twitter for Android,804297713818931200,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-01T12:14:52.000Z,"Na btao jo pocha ha, ma ne bhi ni pochna ab.. 😭| | #Angry",3168709232,tl,#angry,,,
803643458439131137,TyronRemington,803643458439131137,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-29T16:55:06.000Z,#Angry Miyano is #cute Miyano | Tanaka-kun wa Itsumo Kedaruge #anime http://someurl,792869610647420928,tl,#angry,,,
802340399570415618,Facebook,802340399570415618,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-26T02:37:12.000Z,Nakakainis 😡😡😡. | #nakakapagud| #angry😠😠 — feeling crazy,800681547565187074,tl,#angry,,,
801418160121397249,Twitter Web Client,801415540908507136,everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",2016-11-23T13:32:33.000Z,@someuser sorry ka karon nana wa gyud ka gyud nanana urghhh! #feelingangry #angry #atm,711046050547523585,tl,#angry,"[{'type': 'replied_to', 'id': '801415698492903424'}]",1913610691,
800969217587560449,Twitter for Android,800969217587560449,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-22T07:48:37.000Z,Wow kinukumusta niya ako haha wow a! Naalala mo pala ako edi wow pop pop amazing clap clap! | #angry #bitter #moveon,793416201468715009,tl,#angry,,,
800957690734219264,Instagram,800957690734219264,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-22T07:02:49.000Z,#angry @ Major Ceniplex Ekamai Sukumwit http://someurl,343516082,tl,#angry,,,
800539135341568001,Twitter Web Client,800539135341568001,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-11-21T03:19:37.000Z,wew baka pagnakita naman c alena hindi matuloy| #angry http://someurl,799536029531336705,tl,#angry,"[{'type': 'quoted', 'id': '800310909931401216'}]",,
800517149240545280,MEGAPO.ST,800517149240545280,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-21T01:52:15.000Z,Janis http://someurl  #instagram #g #252;nayd #305;n #angry #swimwear #mtlfitness #breathe,2835347628,tl,#angry,,,
