reply_settings,geo,public_metrics,created_at,id,conversation_id,source,author_id,lang,text,search_query,in_reply_to_user_id,referenced_tweets
everyone,{'place_id': '204a435ce97d5de4'},"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T14:37:11.000Z,814117998222983168,814117998222983168,Twitter Web Client,2605597837,zh,怎麼可以讓我這麼生氣...| 好想揍人...| 我耖你媽的...| 很想直接把妳打到妳媽媽認不出來...| 😡😡😡| #ANGRY| #WTF| #fucking http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T03:00:04.000Z,810681072568541185,810681072568541185,Instagram,52764472,zh,公司部電腦又bsod啦 #好煩 #bsod #hkig #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-17T03:14:50.000Z,809960013779369989,809960013779369989,Instagram,2287021400,zh,我的貼圖haha #610 #houseling #housedancer #taiwan #hiphoplife #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-14T15:47:09.000Z,809062176807731201,809062176807731201,Instagram,1333635919,zh,牛！！妳可以跟我說這是甚麼臉嗎？| #why #you #look #angry http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-10T09:22:00.000Z,807515700256501760,807515700256501760,Instagram,2367920372,zh,明明是| 最期待的12月| 今年是怎樣啦？！| 跟你說又說懂| 說懂又做不好⋯| 到底是在沒心| 還是我對牛彈琴⋯| #fuck #angry #disappointed #blame| #me... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-08T06:26:02.000Z,806746641050939392,806746641050939392,Instagram,268079853,zh,完全不知道在浪費我多少人生| #angry#what?#SOB#人生浪費#趕快結束#日子討厭#心情#我選擇錯誤的一條線 http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-02T14:12:30.000Z,804689703807152128,804689703807152128,Instagram,1731141380,zh,#ihateviuTV #👎🏼| 廣告多就算了😡😡| 為什麼要把我的BTS切掉👎🏼👎🏼| 超生氣😭😭| #너무해 #angry #crazy #嬲 #怒 #diu #😡 #cry #妖 #20161202 http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-28T11:11:52.000Z,803194696071671809,803194696071671809,Instagram,167042195,zh,沒有買到CD pro2| 誰能比我更blue| #bluemonday #ihatemyboss #angry #annoying #是德華 #藍色星期一 #用無間道來撫慰我的心靈 #老闆走開 http://someurl,#angry,,
everyone,"{'place_id': '00180402799fed03', 'coordinates': {'type': 'Point', 'coordinates': [121.51718352, 25.0476864]}}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-20T14:54:32.000Z,800351626766610432,800351626766610432,Instagram,1608533828,zh,乾乾乾！！！！！！！| 到底在幹麻阿我，煩死了😭😭😭😭| 記錯時間，錯過車，連折數都浪費了，然後又心悸，到底在搞什麼啊⋯| -| -| #Sad #Angry #Stupid #Taiwan... http://someurl,#angry,,
everyone,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-18T10:42:57.000Z,799563537895030784,799563537895030784,Instagram,3604724773,zh,喜😝怒😡哀😢楽😊| | #happy #angry #sad #enjoy http://someurl,#angry,,
