lang,conversation_id,id,created_at,public_metrics,author_id,source,text,reply_settings,search_query,in_reply_to_user_id,geo,referenced_tweets
en,814983183234113537,814983183234113537,2016-12-30T23:55:07.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",808879655260487680,Twitter for iPhone,If you were a fly I would swat you dead! 🤔 #pettypeople #annoyed,everyone,#annoyed,,,
en,814980869714837504,814980869714837504,2016-12-30T23:45:55.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",81781401,Twitter for iPhone,"Yet again, my order from @someuser is WRONG. I gave them another chance, but they blew it! #annoyed #badservice",everyone,#annoyed,,,
en,814980672951435264,814980672951435264,2016-12-30T23:45:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",796965071788216320,Twitter for iPhone,Mom asked me to take a day off today so we can do something but instead we sitting at home not doing anything 🙄🙄#annoyed,everyone,#annoyed,,,
en,814980024273108992,814980024273108992,2016-12-30T23:42:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",108795497,Twitter Web App,Thats so frustrating! #annoyed,everyone,#annoyed,,,
en,814977157751390208,814977157751390208,2016-12-30T23:31:10.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",15702161,Twitter Web Client,@someuser Spamming the timeline... #annoyed,everyone,#annoyed,2893971,,
en,814963839263444994,814963839263444994,2016-12-30T22:38:15.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",139110622,Twitter for iPhone,"Just had the worst experience with Uber. Got the notification he was here, then when we found him, he drove off #annoyed",everyone,#annoyed,,,
en,814963534509592576,814963534509592576,2016-12-30T22:37:02.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",38610932,Twitter for iPhone,"After being 30 minutes delayed, @someuser spends an email saying it will be 2-3 hours late. Thanks for the good timing!! #Annoyed",everyone,#annoyed,,,
en,814961333015871488,814961333015871488,2016-12-30T22:28:17.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",333610784,Twitter for iPhone,Cant even describe how frustrated I am with @someuser @someuser responded to my email by their solution still didnt work. #annoyed,everyone,#annoyed,,,
en,814960274625138688,814960274625138688,2016-12-30T22:24:05.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",66194041,Twitter for iPhone,After Christmas shopping is an exercise in futility when the only sizes left are XS. 😒😑😒😑 #Annoyed,everyone,#annoyed,,{'place_id': '00ab941b685334e3'},
en,814959820767981568,814959820767981568,2016-12-30T22:22:17.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",314540319,Facebook,Wasted my day. |     #annoyed 😡😤😡,everyone,#annoyed,,,
