source,conversation_id,author_id,reply_settings,id,text,created_at,public_metrics,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
MEGAPO.ST,808803979291463680,2792782749,everyone,808803979291463680,#nailart  en http://someurl Dianna  #bund #227;o  #candycamera  #vscofood  #annoyed #farmtotable,2016-12-13T22:41:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,807841031299407872,2931419277,everyone,807841031299407872,Trump=PeñaNieto #dumptrump2020 #dumptrump #annoyed #corruptatitsbest #whoelectedhim #dying http://someurl,2016-12-11T06:54:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,807224099370110976,2792782749,everyone,807224099370110976,#traveller  es http://someurl Helena  #model  #pr_100x35  #fitmom  #annoyed #quebec,2016-12-09T14:03:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,807159197515284480,2792782749,everyone,807159197515284480,#cancer  es http://someurl Charin  #bikinigirl  #earth_escape  #armywife  #annoyed #doglover,2016-12-09T09:45:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,806304628916842496,727972596113760256,everyone,806304628916842496,Neta es mucho pedir que quiten las pesas cuando acaben de usar las máquinas 🙄🙄🙄🙄 #annoyed,2016-12-07T01:09:38.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,805897634770776064,741214771,everyone,805897634770776064,"Cuando un tonto coge un camino,el camino se acaba y el tonto sigue #cabezoneria #AsíPorqueYoLoDigo #AscoDeGenteSinArgumentos #annoyed #angry",2016-12-05T22:12:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,805622513967497216,2794386663,everyone,805622513967497216,#gaybear  os http://someurl Andree  #perfeitinha  #cottoncandy  #foodlover  #annoyed #personalchef,2016-12-05T03:59:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,805319578310033408,2794386663,everyone,805319578310033408,#pizza  as http://someurl Perri  #followforlike  #photomondial  #homecook  #annoyed #dailyfrenchie,2016-12-04T07:55:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,804159117900316672,189726311,everyone,804159117900316672,Cada vez que abro ese grupo me doy cuenta de la calidad de gente cono la que trato 😒 #annoyed,2016-12-01T03:04:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",es,#annoyed,,,
Twitter for iPhone,803450774378446848,263776943,everyone,803450774378446848,Frustración nivel no-encuentro los-controles-de-la-tele. #Annoyed,2016-11-29T04:09:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter Web Client,803291751683387393,52202886,everyone,803291751683387393,Twitter de chiste porque no sirve para nada -_- 0 reach #annoyed http://someurl,2016-11-28T17:37:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,803039252497870848,1328450898,everyone,803039252497870848,Los niños mal educados me cagan la madre. They may be small but they sure as hell arent cute 🙄🙄| #Annoyed,2016-11-28T00:54:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,802955166773231616,1325069744,everyone,802955166773231616,Saben eso del dicho de mejor solo que mal acompañado?... | Ok... Eso!!!| #annoyed,2016-11-27T19:20:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",es,#annoyed,,,
Twitter Web Client,802929423339163648,2817678134,everyone,802929423339163648,Estilo lindo árbol Navidad fondo - http://someurl #vector #psd #annoyed http://someurl,2016-11-27T17:37:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",es,#annoyed,,,
Mobile Web (M2),801424021128704000,744138082098814976,everyone,801424021128704000,#SUNDERBANS #IN #W.BENGAL #ENVIRONENT #HAS #BEEN #VERY #BADLY #AFFECTED.#THE #ENVIRONMENTAL #COURT #WAS #MUCH #ANNOYED #FOR #NOT #FOLLOWING,2016-11-23T13:55:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",in,#annoyed,,,
Twitter for Android,801183455853875200,604914103,everyone,801183455853875200,Enchumbao y soleao. Jódete día de mierda. #annoyed,2016-11-22T21:59:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,798711926926606336,101911709,everyone,798711926926606336,Oficialmente odio la temporada de beis porque ni siquiera puedo llegar a mi casa de tanto trafico... #annoyed,2016-11-16T02:18:57.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,798210958783053824,2802760539,everyone,798210958783053824,Micaela http://someurl es #chest #hatillo #sicilia #breakfast #beer #annoyed,2016-11-14T17:08:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,797713921822130176,2792782749,everyone,797713921822130176,Colleen http://someurl es #bomdia #earth_escape #gay #icecream #foodnetwork #annoyed,2016-11-13T08:13:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,797695071315443712,2794386663,everyone,797695071315443712,Micaela http://someurl of #babygirl #candycamera #bearlife #foodpics #labordayweekend #annoyed,2016-11-13T06:58:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,797152575103627269,2366337664,everyone,797152575103627269,Esta alergia para cuando mas o menos se me va? 😑 #annoyed,2016-11-11T19:02:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,796612922617249792,2837268440,everyone,796612922617249792,Gracia http://someurl un #model #ig_japan #beefjerky #foodlover #vegans #annoyed,2016-11-10T07:18:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,796608996589314048,547094167,everyone,796608996589314048,"¿Quien está chingando tanto en mi ask?| Si tienen el valor para preguntarme cosas asi, también téngalos para decirme quien es!! 😒 #annoyed",2016-11-10T07:02:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,796179341180694529,3102716232,everyone,796179341180694529,Me choca gente entremetida 😒. #annoyed,2016-11-09T02:35:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,{'place_id': '89bac4213b1b5525'},,
MEGAPO.ST,795864198593052673,2791463091,everyone,795864198593052673,Colleen http://someurl es #babygirl #wonderful #hermosas #foodun #tagspormegustas #annoyed,2016-11-08T05:43:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,795813877862776832,2792782749,everyone,795813877862776832,Charin http://someurl os #followforlike #peoplecreatives #tequiero #foodstagram #animallovers #annoyed,2016-11-08T02:23:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,795549672978915328,2794386663,everyone,795549672978915328,Micaela http://someurl or #likeback #earth_escape #delicious #eeeeeats #teatime #annoyed,2016-11-07T08:53:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,795530793141620736,2791463091,everyone,795530793141620736,Glenda http://someurl en #bund #227;o #yummy #nailart #meatballs #pr #annoyed,2016-11-07T07:38:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter Web Client,794729493550235649,93336030,everyone,794729493550235649,MySQL sacandome canas como siempre !!!! #Annoyed,2016-11-05T02:34:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,793070805278138368,2837268440,everyone,793070805278138368,Eleen http://someurl ok #bomdia #puertoricogram #family #deliverymanaus #frenchbulldoglovers #annoyed,2016-10-31T12:43:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,792114497368580097,2791463091,everyone,792114497368580097,Salomi http://someurl en #dance #freedomthinkers #amigas #cumana #frenchbulldoglife #annoyed,2016-10-28T21:23:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Instagram,790703713635622914,106334541,everyone,790703713635622914,Quinn| | #GayRomance #IllustratedRomance #malemodel #male #model #passion #annoyed #blackandwhite... http://someurl,2016-10-24T23:57:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",is,#annoyed,,,
Twitter for iPhone,790246628250624000,1267583220,everyone,790246628250624000,Después que tú gastas gasolina y todas esa mierda 😁👌🏽 #Annoyed 😑,2016-10-23T17:40:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
MEGAPO.ST,789314809695236097,2792782749,everyone,789314809695236097,Gracia http://someurl in #sexybaby #followwhen #sicilia #manaus #dogoftheday #annoyed,2016-10-21T03:58:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter Web App,788805886714052609,4535066430,everyone,788806401237790720,@someuser ya paso un año! 😑 #annoyed,2016-10-19T18:17:56.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,"[{'type': 'replied_to', 'id': '788805886714052609'}]",830252618
MEGAPO.ST,787911879771451393,2794386663,everyone,787911879771451393,Arlina http://someurl en #bust #candycam #baublebar #bananaleaves #bullieslife #annoyed,2016-10-17T07:03:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,786309806399197184,54930718,everyone,786309806399197184,Dicen que el que #espera #desespera y yo ando que me arranco los cabellos #burocracia #annoyed #horror #muerome #muero #helpplease #rescueme,2016-10-12T20:57:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,{'place_id': '824a305dcc9ef250'},,
Twitter for Android,785912655668129792,125506289,everyone,785912655668129792,No hay nada más molesto que el niño von el que vienes se le quede viendo a todas las que se le cruzan. 🙅 #annoyed,2016-10-11T18:39:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,785436186022146049,189726311,everyone,785436186022146049,Cuando se te ocurren los argumentos despues de que ya te llamaron la atención #annoyed 😒,2016-10-10T11:05:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,783479542245654529,360669302,everyone,783479542245654529,No doy una #Annoyed,2016-10-05T01:30:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,783377212791599108,57827211,everyone,783377212791599108,Que no se pierda la linda costumbre de perder el DUI todas las semanas #annoyed,2016-10-04T18:44:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,782293133291757568,256206754,everyone,782293133291757568,Estoy a dos de golpear a alguien 😬😒 #annoyed #ihatepeople,2016-10-01T18:56:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter Web Client,780580811481370624,391783307,everyone,780580811481370624,PUEDES MOSTRAR TUS IMPUESTOS ANTES DE QUE TERMINE EL AUDIT GADDAMNIT #annoyed,2016-09-27T01:32:22.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,778322892400447488,1202572459,everyone,778322892400447488,Hoy no fue mi día #annoyed 🙄🙄,2016-09-20T20:00:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,777287019970097152,30095291,everyone,777287019970097152,Para qué tienen la camiseta del Real Madrid si no tienen el parche de la Undécima?? #annoyed,2016-09-17T23:24:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,776700684427067392,602108539,everyone,776700684427067392,De esas veces que tu suegra se pone peda y se pone de impertinente. Ughhh ni cuando yo empese a tomar. #rantdesuegras #pissed #annoyed 😡😠,2016-09-16T08:34:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,775892918628343808,452618905,everyone,775892918628343808,Hay gente que simplemente no le agarra el pedo a Snapchat y sube pura babosada cada 15 minutos. 😪 #annoyed #AF,2016-09-14T03:04:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,775446516357926913,751650147541540869,everyone,775446516357926913,Dos cosas que me caen de la patada: las mentiras y que me ignoren #annoyed,2016-09-12T21:30:31.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,774423450974683136,76189089,everyone,774423450974683136,Para eso mejor no hubiera contestado el teléfono 🙄 #annoyed,2016-09-10T01:45:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,773492143058890753,216049591,everyone,773492143058890753,Yo no debería tener que levantarme a las 6:30am a llevar a mis hermanastros a la escuela. Not my responsibility. #annoyed.,2016-09-07T12:04:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,773308073578532864,770089217686925312,everyone,773308073578532864,Pa cuando???  #ANNOYED http://someurl,2016-09-06T23:53:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,770801816862793728,1151366077,everyone,770844075071270912,@someuser @someuser @someuser @someuser  Exactomundo | #Damnthem Im so #Annoyed 😩😜😨,2016-08-31T04:42:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",es,#annoyed,{'place_id': '76c1bb41d3de7ff1'},"[{'type': 'replied_to', 'id': '770815491447328769'}]",356110140
Twitter for iPhone,770439540469272576,303549903,everyone,770439540469272576,Aveces la ayuda viene de quien menos lo esperas🙄🙄 aveces los amigos no están cuando más los necesitas #annoyed😞,2016-08-30T01:54:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,768166585760526336,59380494,everyone,768166585760526336,Para ser mujer no le agarras mucho a eso de las hormonas jaja 🤔😜 #annoyed,2016-08-23T19:22:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,767610546761834496,33440797,everyone,767610546761834496,"El querer darse una #vacación de #Facebook cerrándolo un tiempo, NO significa que la gente ha sido bloqueada. ¡Aprendan a usar FB! #annoyed",2016-08-22T06:33:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,767363033245114368,291984055,everyone,767363033245114368,"Desde las 8 de la mañana un DOMINGO! Que es el día de descanso,  ps por si no lo sabían @someuser #annoyed http://someurl",2016-08-21T14:09:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",es,#annoyed,{'place_id': '00698bbe577bad5b'},,
Twitter for Android,766388576749772800,175819265,everyone,766388576749772800,compartir la publicación literal mas de 100 veces .. y q gane alguien q solo compartió 4 veces..... #annoyed #eranparamidespedida #homemade,2016-08-18T21:37:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,{'place_id': '009924a469d7ace1'},,
Twitter for Android,766294859770585088,193175830,everyone,766294859770585088,No puedo con la gente que mastica como vaca...😷 #annoyed,2016-08-18T15:25:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,765283733742186496,27553869,everyone,765283733742186496,Todo el día tratando que me den el nùmero de mi querrella #annoyed 🙄,2016-08-15T20:27:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Instagram,764913060444340224,721394153729441792,everyone,764913060444340224,Bueno igual me obligaron a levantarme... #enojado #annoyed #yanada #Sunday #domingo #selfie... http://someurl,2016-08-14T19:54:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Instagram,764639358947254272,452778860,everyone,764639358947254272,Destinos turísticos = familias| Familias = muchos engendros. | #annoyed #annoyedface @ Aeropuerto... http://someurl,2016-08-14T01:46:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,"{'coordinates': {'type': 'Point', 'coordinates': [-86.86958313, 21.03387813]}, 'place_id': '6eb95eddb81a6b4b'}",,
Twitter Web Client,764604491752677376,157825084,everyone,764604491752677376,El dueño del edificio donde vivo va a montar todo el zoológico aquí. #annoyed http://someurl,2016-08-13T23:28:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,764094669093376000,50513375,everyone,764094669093376000,Increible en esta casa cualquier cosa causa ruido. #annoyed,2016-08-12T13:42:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,763820172088008704,173701507,everyone,763820172088008704,"Like, BITCH!!!! Para ti, con la vida q llevas, la semana entera es un fucking eterno weekend!!! #annoyed",2016-08-11T19:31:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",es,#annoyed,,,
iOS,763436119815880704,92367423,everyone,763436119815880704,#techsupport #ihatethis #annoyed #lol #wow http://someurl by indrexjanajana #phhhoto http://someurl,2016-08-10T18:05:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,763221819532906496,179826258,everyone,763221819532906496,"Me molesta el tipo de gente q lo único q hace es quejarse todo el tiempo,será q creen q a punta de quejas cambiaran al mundo o que?#annoyed",2016-08-10T03:53:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,762896292309639168,4178235206,everyone,762896292309639168,"Just when I thought I can save one of my friendships, la pendeja decide ser aún más pendeja de lo que ya está #annoyed",2016-08-09T06:20:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,{'place_id': '6f24e28976abe656'},,
Twitter for Android,760696728957968385,2743995877,everyone,760696728957968385,Puñeta kayo @someuser 9 free fb messages in a minute talaga!! #globe #annoyed #globeph #globefreefb #NTCPH #NTC http://someurl,2016-08-03T04:40:07.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,760638438592753664,48776946,everyone,760638438592753664,La comida es carísima aquí😑 #annoyed,2016-08-03T00:48:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,760277766734503936,283657619,everyone,760277766734503936,"No debe haber alguien con un humor tan cambiante, de tenerle afecto a alguien en segundos no puedo verle ni escucharle o leerle 😒😒#annoyed",2016-08-02T00:55:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for Android,759478008247836672,205039590,everyone,759478008247836672,Disfrutaba de mi soledad en mi casa escuchando música clásica hasta que al puto vecino se  le ocurrió poner su música buchona #Annoyed,2016-07-30T19:57:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,757966978409697281,459820474,everyone,757966978409697281,Hacen una tormenta en un vaso de agua 🙄. #annoyed #👋🏻bye,2016-07-26T15:53:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter Web App,757459287702732801,607598761,everyone,757459287702732801,1 am. La hora perfecta para empezar recordar estupideces y mirar al techo. #grr #annoyed,2016-07-25T06:15:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,756357444033445888,234623679,everyone,756357444033445888,Urghhh!! So #annoyed,2016-07-22T05:17:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,756319361921536001,25129370,everyone,756319361921536001,Me cae tan mal que no me salga Tazo en los fritos. #mexicankidprobs #annoyed,2016-07-22T02:46:02.000Z,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",es,#annoyed,,,
Twitter for iPhone,756309745238028288,529013983,everyone,756309745238028288,@someuser porque tienen que pasar el debate de trump en 34? #annoyed #trumpisanidiot,2016-07-22T02:07:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,{'place_id': 'c84cc6061e2af8da'},,40924038
Twitter for Android,756263026248953856,67464096,everyone,756263026248953856,@someuseril oh Lord....ya or hubieran dado un galletaso a Andy con esos gritos chillantes!! #annoyed #wheremyearplugsat,2016-07-21T23:02:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#annoyed,,,
