public_metrics,created_at,id,text,reply_settings,conversation_id,source,author_id,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-26T17:33:11.000Z,802565878449577984,I haaaaaaaaaate Samoan faalavelaves! 🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅🙅 #Annoyed,everyone,802565878449577984,Twitter for Android,2249876874,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-24T04:11:04.000Z,801639245995646976,"आईसीसी से नाराज बीसीसीआई, विरोध दर्ज कराया| http://someurl| #Annoyed #BCCI #ICC #NewsCricket #ProtestFiled http://someurl",everyone,801639245995646976,Twitter Web Client,575211943,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-11-01T15:59:59.000Z,793482727236534272,Log bhai-zoned hote hain.| Aur may Fav-zoned hogayi hun. #Annoyed,everyone,793482727236534272,Twitter Web Client,79351343,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-27T09:19:08.000Z,791569914007912448,"#Nationalhighway24 #delay #PMModi #annoyed #UttarPradesh| NH-24 में देरी से नाराज, @someuser दी नसीहत| http://someurl http://someurl",everyone,791569914007912448,Twitter Web Client,742252310479278080,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-10-17T10:57:12.000Z,787970714884149248,jab git dhoka deta hai toh koi apna madat k liye nahi hota hai... #annoyed,everyone,787970714884149248,Twitter Web Client,121673675,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-09-25T07:36:26.000Z,779947657275990016,#7starCable var @someuser ka disat nahi😣😣😡😡 #annoyed,everyone,779947657275990016,Twitter for iPhone,148363934,hi,#annoyed,{'place_id': '7929cea6bd5b32bd'},,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-09-07T17:42:54.000Z,773577297471369216,#Feeling #Annoyed| #Million #Dollar #Question| Kinta Ka Janwar Liya| #EidSeason| #EidSpecial,everyone,773577297471369216,Twitter for Windows,2374385054,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-08-20T15:45:11.000Z,767024689549979648,@someuser @someuser @someuser delayed & counting.जब ट्रेन आयी ही नहीं तो जायेगी कैसे| #annoyed #frustrating http://someurl,everyone,766956893331791872,Twitter for Android,2500983758,hi,#annoyed,{'place_id': '317fcc4b21a604d5'},"[{'type': 'replied_to', 'id': '766997260722843648'}]",2500983758
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-19T07:06:40.000Z,766531811539165184,@someuser @someuser aur tu wo Chaman hai jo khatam hai!! #annoyed,everyone,766097856746827778,Twitter Web Client,2201326992,hi,#annoyed,,"[{'type': 'replied_to', 'id': '766097856746827778'}]",737520046461722624
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-08-05T19:31:37.000Z,761645854927257600,Goli mar bhaijaay ma .... #Annoyed,everyone,761645854927257600,Twitter for iPhone,2932159776,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-06T08:03:43.000Z,750601106015789056,yeh kaisa EID Lunch hai jis k liye zabardasti jaagna par raha hai| #annoyed Eid Mubarak,everyone,750601106015789056,Twitter for Android,146051045,hi,#annoyed,{'place_id': '00cc0d5640394308'},,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-22T13:19:13.000Z,723501412571877376,#Annoyed #Aggression #We_Want_justice_need_justice| Sri Mata Chand Kaur Ji de Katila nu Jaldi farhan Vaaste... http://someurl,everyone,723501412571877376,Facebook,331546936,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-21T12:00:05.000Z,723119111308382209,kuch logon ki birthday ki khushi unkay ghar walon se zada unky dosto ko hoti he #irritating #annoyed,everyone,723119111308382209,Twitter Web Client,369111214,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-04-11T10:02:32.000Z,719465650394017792,आज कल लोग वैवाहिक स्टेटस तो यूँ पूछ लेते हैं कि मानो मौसम का हाल पूछ रहे हों। | | #annoyed,everyone,719465650394017792,Twitter for Android,128956570,hi,#annoyed,{'place_id': '317fcc4b21a604d5'},,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-23T04:47:12.000Z,712500923424092161,मोदी को गॉड गिफ्ट बताने पर संघ बीजेपी से नाराज़ #RSS #Annoyed #BJP http://someurl http://someurl,everyone,712500923424092161,hindi.news24online.com,34206701,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-14T18:31:41.000Z,698937673361264640,Mere saath vaala roommate bhi NanPoora din woofers pe do hi gaane sunta rehta ha......BaazigarPyar kar#Annoyed,everyone,698937673361264640,Twitter for Windows Phone,3140696803,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2016-01-30T18:21:02.000Z,693499175623921664,कभी कभी मेरे दिल में खयाल आता हैकुछ चीजें होती तो कैसा होताकुछ चीजें नहीं होती तो कैसा होता......#Feeling #annoyed #Disturbed #अस्वस्थ,everyone,693499175623921664,Twitter for Windows Phone,1545565861,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-01-25T21:27:17.000Z,691734108251262976,HA GAYE. #annoyed,everyone,691734108251262976,Twitter Web Client,39237011,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-01-04T17:16:57.000Z,684060964904386561,Itny din baad uni khulii or Sir b ni ay | Ewain neend kharab ki aa k...| #annoyed #campus,everyone,684060964904386561,Twitter for Android,2264916027,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2015-11-11T16:20:13.000Z,664477740817600512,#2MinSilence4Those who say Jo biwi nhe sambhal saka Mulk kaisy sanbhaly ga#Annoyed,everyone,664477740817600512,Twitter for Windows Phone,2367319538,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2015-11-07T18:06:04.000Z,663054826930999296,Yaar kuch log pagalpanti ki hadd hote hai!! Want to give them a slap! #Annoyed,everyone,663054826930999296,Twitter Web Client,3123558913,hi,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2015-11-05T09:35:50.000Z,662201646987026432,I think IK ne Reham Khan se shaadi ni ke the balky upny sath usdin 1adad poochhal lgaya tha #annoyed,everyone,662201646987026432,Twitter for Android,2180770163,hi,#annoyed,,,
