lang,conversation_id,id,created_at,public_metrics,author_id,source,text,reply_settings,search_query,geo,referenced_tweets,in_reply_to_user_id
pt,812175774639947776,812175774639947776,2016-12-23T05:59:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",778084823076306945,Instagram,#selfie?? Sorta... #Kona #rescuedog #bulliesofinstagram #dfw #adoptdontshop #annoyed... http://someurl,everyone,#annoyed,,,
ca,804574811204780032,804574811204780032,2016-12-02T06:35:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",312913382,Twitter SMS,Beneficial passengers... #ANNOYED,everyone,#annoyed,,,
is,801358914998702081,801358914998702081,2016-11-23T09:37:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2802760539,MEGAPO.ST,#gathering   http://someurl Glenda  #bomdia  #tourism  #breakfast  #annoyed #pr,everyone,#annoyed,,,
fr,801055927495430144,801055927495430144,2016-11-22T13:33:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2837268440,MEGAPO.ST,#gayboy  es http://someurl Francoise  #model  #earth_escape  #vscotaiwan  #annoyed #layover,everyone,#annoyed,,,
nl,796883419850539008,796883419850539008,2016-11-11T01:13:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2792782749,MEGAPO.ST,Vanda http://someurl is #dance #team_jp #sicilia #foodlover #buhi #annoyed,everyone,#annoyed,,,
sv,796210258926596097,796210258926596097,2016-11-09T04:38:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2794386663,MEGAPO.ST,Vanda http://someurl at #lovesexy #yum #wonders #burger #culanary #annoyed,everyone,#annoyed,,,
pt,795669167596781568,795669167596781568,2016-11-07T16:48:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2791463091,MEGAPO.ST,Vanda http://someurl ok #sexybaby #santiagodechile #weightloss #armywife #pr #annoyed,everyone,#annoyed,,,
en,795151035924770816,795151035924770816,2016-11-06T06:29:14.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",1067096616,Twitter for iPhone,🙄 #annoyed part 53062047037,everyone,#annoyed,{'place_id': '01d4e349481265e8'},,
es,794712868356837377,794712868356837377,2016-11-05T01:28:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2791463091,MEGAPO.ST,Essy http://someurl os #nice #retrica #gaylook #caribbeanlife #nomad #annoyed,everyone,#annoyed,,,
pt,794215850760949760,794215850760949760,2016-11-03T16:33:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2791463091,MEGAPO.ST,Michaelina http://someurl os #bomdia #yummy #incredible #cookinuptrouble #comfortfood #annoyed,everyone,#annoyed,,,
es,792919794647494656,792919794647494656,2016-10-31T02:43:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2837268440,MEGAPO.ST,Essy http://someurl os #amor #liveauthentic #unhas #homecook #doglover #annoyed,everyone,#annoyed,,,
pt,790837361231953920,790837361231953920,2016-10-25T08:48:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2792782749,MEGAPO.ST,Vittoria http://someurl os #boa #fotografdukkanim #baublebar #deliverymanaus #beer #annoyed,everyone,#annoyed,,,
es,789157519507742720,789157519507742720,2016-10-20T17:33:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2794386663,MEGAPO.ST,Samaria http://someurl es #followforfollow #cottoncandy #followmyig #vscotaiwan #cheflou #annoyed,everyone,#annoyed,,,
pt,787842599688237056,787842599688237056,2016-10-17T02:28:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2837268440,MEGAPO.ST,Micaela http://someurl os #bomdia #photomondial #hermosas #fresh #bullieslife #annoyed,everyone,#annoyed,,,
is,786993305229877248,786993305229877248,2016-10-14T18:13:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2794386663,MEGAPO.ST,Glenda http://someurl  #boatardee #candycrush #gathering #manaus #layover #annoyed,everyone,#annoyed,,,
pt,786880004521156608,786880004521156608,2016-10-14T10:43:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2791463091,MEGAPO.ST,Glenda http://someurl as #bund #227;o #catalunyaexperience #delicious #eating #vegans #annoyed,everyone,#annoyed,,,
pt,786552918354853889,786552918354853889,2016-10-13T13:03:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2794386663,MEGAPO.ST,Helena http://someurl as #likeforlike #cameraplus #maquiagem #foodstagram #marine #annoyed,everyone,#annoyed,,,
en,776063063472480260,776063063472480260,2016-09-14T14:20:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",774443678513278979,Twitter for Android,Ahist! | #annoyed,everyone,#annoyed,,,
pt,773392447737040896,773392447737040896,2016-09-07T05:28:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",328949040,Twitter for iPhone,#Annoyed Gnite. 😊,everyone,#annoyed,{'place_id': '3df4f427b5a60fea'},,
pt,769297368802033664,769297368802033664,2016-08-26T22:16:00.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",43448870,Twitter for Android,jogaram lure no pokestop aqui do lado de casa. só vem pidgey nessa casseta. #annoyed,everyone,#annoyed,,,
tl,768685111332081664,768685111332081664,2016-08-25T05:43:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2939964662,Instagram,Ha haha haha #ninja #pink #friends #annoyed http://someurl,everyone,#annoyed,,,
pt,761882203735330816,761882203735330816,2016-08-06T11:10:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",42996917,Twitter for iPhone,★BOM DIAAA★| | #Quote #Bitch #BadBitch #EyeRoll #FacePalm #Annoyed #Grumpy #NotAmused #Serious #PurseFirst #BBBH #WTF http://someurl,everyone,#annoyed,{'place_id': 'd16815010421ff73'},,
en,756474475764445184,756474475764445184,2016-07-22T13:02:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",151319825,Twitter for iPhone,Sisters. #annoyed,everyone,#annoyed,{'place_id': '18810aa5b43e76c7'},,
pt,748267240538185729,748267240538185729,2016-06-29T21:29:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",549436891,Instagram,😭 #annoyed Dedito luxado #ReposoObligado http://someurl,everyone,#annoyed,,,
es,726057580275990528,726057580275990528,2016-04-29T14:36:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",283035367,Instagram,#annoyed #winter #weonlyhavetwoseasons #winterandsummer #ihatesnow #snowisstupid @ Colorado... http://someurl,everyone,#annoyed,,,
pt,717120382050967552,717120382050967552,2016-04-04T22:43:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",714833705374773249,Twitter Web Client,"ta fazendo o q?| trabalhando| ainda?| sim| nossa.| | Se num tem nada pra fala comigo, não puxa conversa caceta. #annoyed #irritado #puto",everyone,#annoyed,,,
