lang,created_at,public_metrics,reply_settings,text,id,author_id,conversation_id,source,search_query,geo,in_reply_to_user_id,referenced_tweets
tl,2016-12-29T15:56:23.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",everyone,buwiset! walang filter ang bibig.| #annoyed #pissed #disturbed,814500321506390016,739409547828199425,814500321506390016,Twitter Web Client,#annoyed,,,
tl,2016-12-29T11:34:58.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"Ay, galit si ate. Naistorbo siya habang kumakain. Susubo na dapat siya, eh. 😄😂 #annoyed ✌🏼️ http://someurl",814434532384501760,130827728,814434532384501760,Instagram,#annoyed,,,
tl,2016-12-26T09:29:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Yung moment na misan parang gusto mong magsisi #annoyed,813315850375557120,721484982,813315850375557120,Twitter for iPhone,#annoyed,,,
tl,2016-12-23T12:42:36.000Z,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 17, 'quote_count': 0}",everyone,Grabe sobrang luto ng Miss Universe kasi lahat ng winners are all from Earth. | | #annoyed,812277225584140289,2377957752,812277225584140289,Twitter for Android,#annoyed,,,
tl,2016-12-23T11:05:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"Minsan ka na nga lang magsasaya with your friends,ayaw ka pa nilang pagbigyan| | #unlucky| #annoyed",812252886314995713,2427176653,812252886314995713,Facebook,#annoyed,,,
tl,2016-12-22T10:10:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"dear facebook,| stop showing falana aadmi liked dhimkana page...#absurd #annoyed",811876636350181376,171853438,811876636350181376,Facebook,#annoyed,,,
tl,2016-12-19T02:15:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"#Annoyed kitty, #touchy kitty, #grouchy #ball of #fur. #Moody kitty, #Grumpy Kitty, grrr, grrr, grrr. -@someuser",810669829120266240,2568114271,810669829120266240,Twitter Web Client,#annoyed,,,
tl,2016-12-15T17:07:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,So fed up with all your questions....| Isa pa sasapakin na talaga kita....| #stresssawork| #annoyed,809444898956931073,793966017630216193,809444898956931073,Twitter for Android,#annoyed,,,
tl,2016-12-14T13:50:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#Confussedd.?? #Sad ?? #Irritated ?? #Annoyed ?? #Depressed ?? #Lonley ??..| #Reason pta nhi .. Bs feeling hai... http://someurl,809032906039443456,173620163,809032906039443456,Facebook,#annoyed,,,
tl,2016-12-14T13:30:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#Confussedd.?? #Sad ?? #Irritated ?? #Annoyed ?? #Depressed ?? #Lonley ??..| | #Reason pta nhi .. Bs feeling hai :(... http://someurl,809027883117121536,173620163,809027883117121536,Facebook,#annoyed,,,
tl,2016-12-10T10:06:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"Ang daming tao na sa una lang magaling tsk tsk tsk, damn!!! | | #annoyed",807526922032795648,730378437941059584,807526922032795648,Twitter for Android,#annoyed,,,
tl,2016-12-07T14:07:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Di ko alam kung dapat pa ba kong mag isip e 😂😏 kingina kase imposible talaga mangyari na mawalan ka 😏😶 #Annoyed #PissedOff,806500498488590336,1159504458,806500498488590336,Facebook,#annoyed,,,
tl,2016-12-03T03:29:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,Waking up to a Power cut in Dehiwala??!😫 #SriLanka #powercut #annoyed #whyontheweekend,804890295032684549,3192425923,804890295032684549,Twitter for iPhone,#annoyed,{'place_id': '173c2bb9d42baaa5'},,
tl,2016-11-29T14:41:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,#fiestaplop   http://someurl Katuscha  #fitgirl  #peoplecreatives  #manaus  #annoyed #airport,803609744485285888,2837268440,803609744485285888,MEGAPO.ST,#annoyed,,,
tl,2016-11-25T13:17:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"I AM GRATEFUL, totoo. PERO DONT PUT WORDS ON MY MOUTH.. iba ang pinaglalaban at adhikain ko.. ibang iba sa INAAKALA niyo.. #Annoyed",802139220194144256,2656947992,802139220194144256,Twitter for Android,#annoyed,,,
tl,2016-11-22T16:25:40.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",everyone,Delegation of task score? og naa pay negative mao na akong i.score| asa ang hustisya? #annoyed,801099336725581824,300600619,801099336725581824,Twitter Web Client,#annoyed,,,
tl,2016-11-20T06:46:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Masawa ka nmn manakit! Minamahal ka naman binabalewala mo pa! Yung pagmamahal mo wag mo lang basta sabhin gawin mo!| #annoyed !!,800228859069091840,2729457924,800228859069091840,Twitter Web App,#annoyed,,,
tl,2016-11-19T14:44:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Gusto ko tandem nila Gladys Guevarra & Boobsie. Wag lang hayaan mag-isa si Boobsie baka maagawan ng eksena ang ibang tao. #Annoyed,799986610817232897,347312619,799986610817232897,Twitter for Windows Phone,#annoyed,,,
tl,2016-11-19T10:39:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Aba matinde! Ika na talaga...Cguru ing middle name mu Discartes neh? #annoyed 😠😠😠,799925037474004992,2813277330,799925037474004992,Twitter for Android,#annoyed,,,
tl,2016-11-16T06:38:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Daisi http://someurl an #lapdance #ig_myshot #tequiero #lamb #tagspormegustas #annoyed,798777190900871168,2794386663,798777190900871168,MEGAPO.ST,#annoyed,,,
tl,2016-11-16T00:48:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Katuscha http://someurl is #dancarina #pr #gayargentina #icecream #losangeles #annoyed,798689075213565953,2791463091,798689075213565953,MEGAPO.ST,#annoyed,,,
tl,2016-11-15T13:52:36.000Z,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 12, 'quote_count': 1}",everyone,Mejo k-HB fans of other artists na gmgwa ng VS. yt vids to praise their idol then bash SG. User lng mga Bes...😏 #annoyed,798524101308485632,552678989,798524101308485632,Twitter for Android,#annoyed,,,
tl,2016-11-14T15:03:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,Malanie http://someurl is #chest #cottoncandy #baublebar #cthlife #airport #annoyed,798179472155508736,2791463091,798179472155508736,MEGAPO.ST,#annoyed,,,
