public_metrics,created_at,id,text,reply_settings,conversation_id,source,author_id,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-12T00:16:07.000Z,797231462768459776,一大清早就被打乱生活 #annoyed,everyone,797231462768459776,Twitter for Android,776695170993524736,zh,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-15T16:51:46.000Z,743123848367865857,一直落淚的夜晚。| Cant stop my tears falling down. | #depression #annoyed #pills #troublesome #crying... http://someurl,everyone,743123848367865857,Instagram,265980744,zh,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-14T02:22:13.000Z,742542629850611712,最近好煩Nothing goes smooth| 搞砸好多事，成績沒起色| 想趕快考上NYU| 心如止水一直讀書，不再患得患失| #sorryStaci| #annoyed| | 下雨嘩啦啦 http://someurl,everyone,742542629850611712,Twitter for Android,2519690503,zh,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-10T12:58:49.000Z,741253282639794177,壓力大到想去死了| #tired #stress #somuch #goaway #annoyed #upset #dark #friday http://someurl,everyone,741253282639794177,Instagram,378727184,zh,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-10T11:18:25.000Z,741228019340222464,#feels #annoyed 😭😭😖😖😖😖 @ 新雞隆 http://someurl,everyone,741228019340222464,Instagram,229752877,zh,#annoyed,"{'coordinates': {'type': 'Point', 'coordinates': [120.80906681, 24.43041859]}, 'place_id': '010edf1d421121b0'}",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-09T14:58:58.000Z,740921133860573184,#feels #annoyed #bts #epilogue #taipe 😭😭😖😖😖😖 @ 新雞隆 http://someurl,everyone,740921133860573184,Instagram,229752877,zh,#annoyed,"{'coordinates': {'type': 'Point', 'coordinates': [120.80906681, 24.43041859]}, 'place_id': '010edf1d421121b0'}",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-05-23T14:40:09.000Z,734755802234359808,別哭了，這沒什麼的。| #alone #annoyed #badmood #cheermeup #cry #crying #depressed #GetInstaLike #goin... http://someurl http://someurl,everyone,734755802234359808,IFTTT,727957950556450817,zh,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-29T10:25:18.000Z,725994360857223168,想想想想放空| 但已經在放空| #annoyed  #嘻嘻嘻 #哈哈哈 | | 去完成另一半！| iris_yi056 yun80102 http://someurl,everyone,725994360857223168,Instagram,1115089964,zh,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-03-08T03:06:58.000Z,707039883081043968,全世界都長的一副不順心的模樣| 到底煩不煩啊| #fuck #this #annoyed #folly http://someurl,everyone,707039883081043968,Instagram,725565554,zh,#annoyed,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2015-12-27T12:07:59.000Z,681084106789285889,一堆426，整趟就都這一號表情。| #annoyed #stylishstickers @ 饒河街歡光夜巿 Raohe Street... http://someurl,everyone,681084106789285889,Instagram,2370355771,zh,#annoyed,"{'coordinates': {'type': 'Point', 'coordinates': [121.57292297, 25.05017281]}, 'place_id': '00180402799fed03'}",,
