id,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
814352727811751936,Twitter for Android,814352727811751936,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2016-12-29T06:09:54.000Z,En Qué piensas si a nadie le importas ...| #sad #tumblr #frasestumblr #fotos tumblr #depressed #jovenes #adolecentes #final #death http://someurl,814298449633951744,es,#depressed,,,
814350934088286208,Twitter for Android,814350934088286208,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2016-12-29T06:02:47.000Z,"No Importa Lo Que Digas , Al final Todos Te Olvidan | #tumblr #fotostumblr #frases #sad #jovenes #adolecentes #palabras #depressed http://someurl",814298449633951744,es,#depressed,,,
814345618483216384,Twitter for Android,814345618483216384,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-29T05:41:39.000Z,Suele sentirse el Efecto a Largo plazo #tumblr #sad #depressed #jovenestumblr #fotostumblr #adolecentes #frasestumblr http://someurl,814298449633951744,es,#depressed,,,
813835525941559300,Twitter Web Client,813835525941559300,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-27T19:54:44.000Z,No! No! No!!! #depressed #CarrieFisher #childhoodmemories http://someurl,25500715,es,#depressed,,,
813506803036200960,Instagram,813506803036200960,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-26T22:08:30.000Z,Homo sapiens #sea #balticsea #raushen #blacknwhite #instagood #depressed #webstigram #prussia... http://someurl,2372550870,es,#depressed,,,
813372254322966530,Instagram,813372254322966530,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-26T13:13:51.000Z,"Depresión post navidad #depressed #gymtime💪 @ Gimnasio Sportlife, Sede Bories http://someurl",100017808,es,#depressed,"{'coordinates': {'type': 'Point', 'coordinates': [-70.9037541, -53.15727156]}, 'place_id': '00aae48175646039'}",,
813306002686832640,Twitter for iPhone,813176018454257664,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-26T08:50:36.000Z,"@someuser a mi al fin este año no, pero la que me espera para año nuevo. 😓 Legit, ya quiero tener :( #Depressed",38043647,es,#depressed,,"[{'type': 'replied_to', 'id': '813176018454257664'}]",148202412
812897014358765568,Twitter Web Client,812897014358765568,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-25T05:45:25.000Z,No vino mi familia y se quedó la botella de champagne enfriando. :( #Sad #Depressed,351933392,es,#depressed,,,
811777955286437888,Twitter for iPhone,811777955286437888,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-22T03:38:41.000Z,Voy a vomitar diario 😂 #depressed,159274372,es,#depressed,,,
811329799876739072,Twitter for iPhone,811329799876739072,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T21:57:52.000Z,Casi me muero pensé q me había agregado a snap el pibe q me encanta pero al final era otro ;( #sad #depressed,2567560206,es,#depressed,,,
811244217410486276,Twitter for Android,811244217410486276,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T16:17:48.000Z,Odio tener mucho sueño porque me pongo #depressed y es solo porque no puedo dormir ahre,363045731,es,#depressed,,,
811065404281864192,Twitter for iPad,811065404281864192,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-20T04:27:15.000Z,"Mas mierda no me puedo sentir; mi depresión, soledad y las fechas decembrinas no son una buena combinación #depressed 😞",1161248582,es,#depressed,,,
810909764515495937,Twitter for iPhone,810909764515495937,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-19T18:08:48.000Z,Soñé que me subía a unas puntas de ballet y bailaba como una diosa 😔#Depressed,41703303,es,#depressed,,,
810658631574286337,Twitter Web App,810658631574286337,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-19T01:30:53.000Z,Moría esta mejor que yo...#depressed,237962626,es,#depressed,,,
