reply_settings,public_metrics,created_at,id,conversation_id,source,author_id,lang,text,search_query,in_reply_to_user_id,geo,referenced_tweets
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-20T22:30:09.000Z,800466285993857024,800466285993857024,Twitter for Android,795255373636702208,hi,"Bewafaaon ki mehfil lagay gi ajj, Waqt par ajana mehmaan-e-khaas ho tum.!😑| #Down #depressed #fuckedup😣",#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-14T17:06:27.000Z,786976473173274624,786976473173274624,Twitter for Android,714316638317772800,hi,@someuser bhaijaan| Is baar aam admi ke.liye thi entry jo select kiye wo to ache khase dikhte hai mera video nhi dekha kya #depressed,#depressed,132385468,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",2016-10-11T08:06:30.000Z,785753426470678529,785753426470678529,Twitter Web Client,118045793,hi,आज फिर से कोई तेरी याद दिला गया ||| नाम तेरा लेके वो एहसास फिर से जगा गया .....#badmood #deadinsisde #depressed #break,#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-10-05T15:05:11.000Z,783684466367692800,783684466367692800,Twitter for Android,783336451828318212,hi,@someuser account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",2016-09-09T17:42:48.000Z,774302045876654081,774302045876654081,Instagram,269182124,hi,amai bhashaili rey 😂😂😂😔😔😖😖😖😭😭😭| |  #sad #depressed #depression #love #grunge #alone #suicide... http://someurl,#depressed,,"{'place_id': '6a432d7e9a987731', 'coordinates': {'type': 'Point', 'coordinates': [88.41543719, 22.58191806]}}",
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-12T09:52:51.000Z,752802896337596416,752802896337596416,Twitter for Android,585899305,hi,Humari pehli nahi horahi aur ek kaptan hay pata nahi kitni shadiya kar chuka hai #depressed,#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-07-02T05:11:19.000Z,749108168655941634,749108168655941634,Twitter Web Client,2935748226,hi,ज्यादा निगरानी से बच्चें हो सकते है ‘ डिप्रेशन ’ का शिकार| http://someurl| #depressed #childrenshealth #Indians,#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-23T07:33:48.000Z,745882535167688704,745882535167688704,Facebook,1920548102,hi,#depressed #quote #reality #selfwritten | | सुना है बिक रहा है इश्क़ बाजार मैं आज| जाओ उस इश्क़ से पूछो वफ़ा भी साथ देते हो ?,#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-17T02:22:57.000Z,743629980026929152,743629980026929152,Twitter for iPhone,1562885479,hi,"Aj unhi se baat krne k liye lafz nhn, jo kabhi hunara Passeord hua karte the.! #brokenhearted #fosuckedup #depressed 😞😓😢😔🙇🏻",#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-11T12:34:30.000Z,741609554031546368,741609554031546368,Twitter for Android,433370459,hi,आज सही चलती जिंदगी की गाडी मे अचानक से एक पल मे तूफ़ान सा आ गया और सब कुछ बिखर बिखर सा गया ।#How #WhyOnlyMe #depressed #tensed #किस्मतकीमार?,#depressed,,,
