source,conversation_id,author_id,reply_settings,id,text,created_at,public_metrics,lang,search_query,referenced_tweets,geo,in_reply_to_user_id
Twitter for iPhone,808043625062010880,323503916,everyone,808043625062010880,Heb een unfollower op tumblr waar is mijn #antidepressiva #depressed #sad #girl #hurt #notgoodenough #hatemylife #ugh #nmbs #pieterloridon,2016-12-11T20:19:47.000Z,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 19, 'quote_count': 0}",nl,#depressed,,,
MEGAPO.ST,799305132555075584,2835347628,everyone,799305132555075584,Kiersten http://someurl ok #videobokep #gm #depressed #boy #frenchbulldogs #gym,2016-11-17T17:36:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
MEGAPO.ST,799030072653053952,2838933211,everyone,799030072653053952,Kiersten http://someurl en #cewek #odat #depressed #mashaallah #cuteboys #afterworkout,2016-11-16T23:23:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
MEGAPO.ST,796020238160687104,2799084203,everyone,796020238160687104,Kiersten http://someurl  #bokepindonesia #breakfast #depressed #спортэтожизнь #teamcln #stronggirl,2016-11-08T16:03:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
MEGAPO.ST,795300484601016324,2799084203,everyone,795300484601016324,Kiersten http://someurl en #hot #bir_dakika #depressed #спортэтожизнь #happyfridayhave #happyvibes,2016-11-06T16:23:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
MEGAPO.ST,793187105879056384,2799084203,everyone,793187105879056384,Kiersten http://someurl  #natural #hayatakarken #depressed #hashtags #abslast #fitaddict,2016-10-31T20:25:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
Twitter for Android,792490127599755264,792483841734836224,everyone,792490127599755264,Is er iemand nederlands? #dutch #depressed #unhappy #cutter,2016-10-29T22:15:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
Twitter for iPhone,791214103452844032,549166951,everyone,791214103452844032,Het leven duurt me te lang | Dankbaar voor alles fat ik heb mogen ontvangen #dierenliefde #vriendschap #woning etc ..#depressed #sad #lonely,2016-10-26T09:45:16.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
MEGAPO.ST,790524027945177088,2835347628,everyone,790524027945177088,Kiersten http://someurl me #likes4likes #anlatistanbul #depressed #modelfit #stayfit #tomatoes,2016-10-24T12:03:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",nl,#depressed,,,
MEGAPO.ST,788972818662825984,2835347628,everyone,788972818662825984,Kiersten http://someurl me #girl #aniyakala #depressed #excercise #ddob #fitbody,2016-10-20T05:19:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
MEGAPO.ST,788056769855651841,2839528435,everyone,788056769855651841,Kiersten http://someurl on #follow #objektifimdenyansiyanlar #depressed #hashtags #bouledoguefrancais #wbff,2016-10-17T16:39:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
MEGAPO.ST,787494061745799169,2799084203,everyone,787494061745799169,Stevana http://someurl an #instagram #smiles #depressed #fitt #ddob #selfienation,2016-10-16T03:23:09.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
Twitter for Android,787352518548414464,2170618255,everyone,787352518548414464,het doet gewoon pijn om Siem de Jong in een Psv shirt te zien. #depressed  #psvher,2016-10-15T18:00:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",nl,#depressed,,,
Twitter Web Client,782503229351464961,14753186,everyone,782503229351464961,#depressed sex lingerie nude teen http://someurl,2016-10-02T08:51:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",nl,#depressed,,,
Twitter for iPhone,780721778419200000,144110593,everyone,780721778419200000,Drang om te bloggen of video maken maar er komt niks deftig uit 🙄 #depressed,2016-09-27T10:52:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",nl,#depressed,,,
