source,text,reply_settings,lang,conversation_id,id,author_id,created_at,public_metrics,search_query,geo,in_reply_to_user_id,referenced_tweets
Twitter for iPhone,我很累 很累 很累了...| | #exhausted #depressed #anxious| #neverjudgeme #when| #udununderstandmypain| | 當你並不愛她 為何纏著她？| 你們互相傷害不緊要 為何害我？| 你們互相糾纏不關我事 為何苦苦追擊？ http://someurl,everyone,zh,814463348112691200,814463348112691200,187188926,2016-12-29T13:29:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,每个人都会犯错，不给于任何一次机会真的好吗？#workinglife #depressed #almostcometotheend... http://someurl,everyone,zh,813731041626165248,813731041626165248,180753568,2016-12-27T12:59:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,這是在憂鬱幾點🕦| 現在有什麼心事💭| #mystery #depressed #cat #catsofinstagram #whatshappening http://someurl,everyone,zh,786592559040647168,786592559040647168,477134000,2016-10-13T15:40:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Twitter for iPhone,為何我滿意的工作，不能快點出現呢？（還有男人）我好鬱悶喔...😞😞😞#우울 #むっつり #depressed http://someurl,everyone,zh,783741046039588864,783741046039588864,782191148928413696,2016-10-05T18:50:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#depressed,,,
Plurk,【天氣】 #颱風 #黑噗 #typhoons #depressed| 於是週三跟諮商師的約會又要泡湯了，在我最需要她的時候[表情_33]| http://someurl| 好難過，總之明天要記得先打電話... http://someurl,everyone,zh,775358355065929728,775358355065929728,442739119,2016-09-12T15:40:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#depressed,,,
IFTTT,有冇人同我飲返杯| #🍻| #depressed | 這些機會不是我的| #wannagetdrunk #Loftus #Uchitel20 #TripleCrown http://someurl http://someurl,everyone,zh,773555266549841920,773555266549841920,123259749,2016-09-07T16:15:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,一瞬間🏹| 腦筋一片空白| 無限的難過跟心痛啊~| 拜託~😭🙈💔💔💔💔💔| #depressed #heartbreak #제발 #ㅠㅠ http://someurl,everyone,zh,772007358792892417,772007358792892417,342585969,2016-09-03T09:44:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Twitter for Android,"突然发现2016年, 过了一半了。| #depressed",everyone,zh,748393622559666177,748393622559666177,38189515,2016-06-30T05:51:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
IFTTT,細看別人描寫的高中生活| 我突然驚覺原來我真的錯過的了很多| #depressed  #lonely by ycp2222 http://someurl,everyone,zh,736805702472208384,736805702472208384,711529311845617664,2016-05-29T06:25:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#depressed,,,
IFTTT,別哭了，這沒什麼的。| #alone #annoyed #badmood #cheermeup #cry #crying #depressed #GetInstaLike #goin... http://someurl http://someurl,everyone,zh,734755802234359808,734755802234359808,727957950556450817,2016-05-23T14:40:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,好想以毒攻毒 炸咗隻 #左腳| 又係你呀左邊 好想廢咗你| 好想廢咗我自己| 唉| #depressed #blue #down... http://someurl,everyone,zh,732367031094235136,732367031094235136,58658630,2016-05-17T00:28:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,"{'place_id': '0118e53a43a7db78', 'coordinates': {'type': 'Point', 'coordinates': [114.13106259, 22.37887344]}}",,
IFTTT,击Instagram tags 击| #Edit #Depressed #SocietySucks #AHS #TagsForLikes #S4S #Comment #Selfie #F4F #LikeForFollow #Like... http://someurl,everyone,zh,726534855119491072,726534855119491072,711529311845617664,2016-04-30T22:13:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#depressed,,,
Linkis: turn sharing into growth,老是覺得自己很糟糕|  #然後她就死掉了 #awful #arttherapy #depressed #draw http://someurl,everyone,zh,720854842894196736,720854842894196736,442739119,2016-04-15T06:02:42.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
IFTTT,.| {omfg}| .| .| .| .| 击Instagram tags 击| #Edit #Depressed #SocietySucks #AHS #TagsForLikes #S4S #Comment #Selfie #F4F #Li... http://someurl,everyone,zh,718567940434628612,718567940434628612,711529311845617664,2016-04-08T22:35:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,有一陣子了...| 該做的都做了| 該努力都努力過了| 再怎麼樣都不曾放棄過| 但...| 真的急了、累了，也煩了...| #fuckingnoclue #stressful #depressed... http://someurl,everyone,zh,715229674096476162,715229674096476162,183574932,2016-03-30T17:30:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Facebook,都已长得不美了，还要玩过敏？！今天被逼临时推了两场主持工作，收入又变少了...唉！命里有时终须有，命里无时莫强求...| | #skinallergic #painful #depressed #sad... http://someurl,everyone,zh,705388947199799297,705388947199799297,97705545,2016-03-03T13:46:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Twitter for iPhone,天氣。心情。一樣| | #taiwan #hengchun #kenting #cold #wintry #winter #落山風 #depression #depressed http://someurl,everyone,zh,690812055314542592,690812055314542592,2966092512,2016-01-23T08:23:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,{'place_id': '0015605113e11028'},,
IFTTT,New #quote : 天啊...我睡不著......... #isonomia #challenge #sad #depressed #depression #lonely #sadness #broken #cry #quote #hap... http://someurl,everyone,zh,683392913049542657,683392913049542657,1126331382,2016-01-02T21:02:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Vine for Android,令人憤慨的不是受苦，而是受這苦沒理由！#蘇打綠 #sodagreen #song #badthings #happened #dragmedown #depressed http://someurl,everyone,zh,667026817182732291,667026817182732291,3584552780,2015-11-18T17:09:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
IFTTT,WOW check out the great photo by @someuser http://someurl 有些事放心底就好| 因為人都很現實| | 不過至少時間會讓人習慣一切🎈| | #depressed#fa... http://someurl,everyone,zh,664048205861167104,664048205861167104,2310612985,2015-11-10T11:53:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,我不說...不代表我不知道| 你的憤怒，其實是   懦弱| | Depressed| Helpless| | #in #dark #listen #wind #and#wings| #depressed... http://someurl,everyone,zh,661425628097462276,661425628097462276,3845981534,2015-11-03T06:12:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,我幅A2的海報交左啦。。。| 有啲唔舍得😂😂| #海報 #海報設計 #poster #assignment #title係 #depressed http://someurl,everyone,zh,657130115818586112,657130115818586112,278912765,2015-10-22T09:43:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,20151002| 哭，| 就代表懦弱。| 但有沒有人想過，| 哭，| 是最能釋放壓力和負面情緒的方法。| #cry #depressed #stressful http://someurl,everyone,zh,649952199406190596,649952199406190596,3037410788,2015-10-02T14:20:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,今天本来就好难过...结果居然还.......freshman nightmare all over again #Sad #Depressed #Iphone6P #ScreenRuined... http://someurl,everyone,zh,640508866510372864,640508866510372864,3246676621,2015-09-06T12:56:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,似乎 漸行漸遠了| #depressed #depression #sad #sis #sister #friend #feel #feeling #upset #5th #September #2015... http://someurl,everyone,zh,639909601236897792,639909601236897792,147818010,2015-09-04T21:15:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,难道 我们的关系 真的在走向绝境吗...？| #depressed #relationship #picperday http://someurl,everyone,zh,635757503670812672,635757503670812672,2268244398,2015-08-24T10:16:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
IFTTT,@someuser posted 跑步邊望著天空| 還是沒見著流星雨😩| #running #sky #shootingstar #upset #depressed http://someurl,everyone,zh,631509017148424192,631509017148424192,2239992254,2015-08-12T16:54:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,總有辦法強大自己的心志，現實生活傷害一個人是沒有寶物掉下來的，只會讓更多人知道內心有多軟弱。 #life #work_hard #taipei #MRT #news #depressed... http://someurl,everyone,zh,623296551495036928,623296551495036928,2466070063,2015-07-21T01:00:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,無論發生了什麼事| 日子還是一樣得過| 這種感覺糟糕透頂| | 想試著開朗的對待...| I fuck up everything!| | #depressed #everything http://someurl,everyone,zh,614430761341595649,614430761341595649,196571070,2015-06-26T13:51:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,是考完太絕望嗎我😖😖😖| 不過其實也不差拉😄😊😄| 希望這次不會跟上次差太多（跪求🙇🙏| #depressed #ACT #newhairstyle http://someurl,everyone,zh,609698629352353793,609698629352353793,565468387,2015-06-13T12:27:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,gloomy body1 #gloomy #depressed #body #human @ 佛山岭南天地 http://someurl,everyone,zh,604331193492992000,604331193492992000,427969437,2015-05-29T16:59:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,"{'place_id': '00059b04495a7e37', 'coordinates': {'type': 'Point', 'coordinates': [113.10967993, 23.03210992]}}",,
Instagram,无论伤口再痛泪再流，最终还是自己一个人在痛～😔 #内伤 #depressed http://someurl,everyone,zh,588359348205813760,588359348205813760,352198769,2015-04-15T15:12:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
Instagram,只能一直催眠自己不期不待就不會受傷害 #depressed http://someurl,everyone,zh,586589137421074432,586589137421074432,63130968,2015-04-10T17:58:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#depressed,,,
