id,conversation_id,public_metrics,text,reply_settings,created_at,author_id,source,lang,search_query,in_reply_to_user_id,referenced_tweets,geo
814198127544639490,814198127544639490,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Haan chaahe log tumhari baja den..| | Tum to bas chutiya bante raho har baar...| #shahidbiordinaryhinikla| #disappointed http://someurl,everyone,2016-12-28T19:55:35.000Z,4891013319,Twitter for Android,hi,#disappointed,,,
814043808723861504,814043808723861504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Yahi hota raha toh jyada din nahi bache h satta me...#Disappointed http://someurl,everyone,2016-12-28T09:42:22.000Z,2178140528,Twitter for Android,hi,#disappointed,,,
812537823609786370,812537823609786370,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","@someuser Team Paytm Bhai Log Ek Team Reply karne k liye bhi rakh lo, Sab log Newspaper front page Ad  design kar rahe honge. #disappointed",everyone,2016-12-24T05:58:08.000Z,151806973,Twitter for Android,hi,#disappointed,2475273985,,
811114993219473408,811114993219473408,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Ajj Tu Tu Gia Sab Kuch Batany Kay Bad Bhi Yeh Haal Hai Aur Yehi Kuch Sunnay Ko Mila Hai... #disappointed,everyone,2016-12-20T07:44:18.000Z,121369750,Twitter for Android,hi,#disappointed,,,
810879047559446530,810879047559446530,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Hum kab in sharifon aur zardarion k chungal se azaad hon ge 😓#disappointed,everyone,2016-12-19T16:06:44.000Z,757143872178884609,Twitter for iPad,hi,#disappointed,,,
810201024426311685,810201024426311685,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Tareef hajam nai hoti @someuser poor speeds #disappointed,everyone,2016-12-17T19:12:31.000Z,1875263820,Twitter for Android,hi,#disappointed,,,
810161000167055360,810161000167055360,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Gaurav abhi to galti accept kar lo yar | Abhi tum plan ko so called thought kah rehe | #disappointed| #BB10WeekendKaVaar #BB10 | #BiggBoss10,everyone,2016-12-17T16:33:29.000Z,4037387919,Twitter for Android,hi,#disappointed,,,
809692553268396032,809692553268396032,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Ye kia team hai yaar ye top 5 me deserve nahi kartay #Disappointed   #AUSvPAK,everyone,2016-12-16T09:32:02.000Z,562854705,Twitter Web Client,hi,#disappointed,,,
809001469441515521,809001469441515521,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#Year, #smartphone, #Disappointed| इस साल के ऐसे #स्मार्टफोन जिन्होंने किया #निराश, देखें ये तस्वीरें| http://someurl http://someurl",everyone,2016-12-14T11:45:55.000Z,742252310479278080,Twitter Web Client,hi,#disappointed,,,
807508213214101504,807508213214101504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@someuser @someuser जी, | आपने बहुत ही ज्यादा बैंकों पर विश्वास रखा, सरकार कमजोर लग रही है सहकारवालों के सामने !| #disappointed http://someurl",everyone,2016-12-10T08:52:15.000Z,2876919012,Twitter Web Client,hi,#disappointed,471741741,"[{'type': 'quoted', 'id': '807439096515686400'}]",
