reply_settings,public_metrics,source,author_id,text,created_at,id,conversation_id,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,3033523228,Alcohol free merlot... #disappointed #inevitable #pregnantatchristmas,2016-12-24T18:46:50.000Z,812731275660431360,812731275660431360,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,77587984,Kom je in de ochtend op social media en zie je hoe een vrouw wordt gestenigd in een video. Hoe walgelijk kan de mens zijn.  #disappointed,2016-12-15T08:53:47.000Z,809320540339138561,809320540339138561,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2606048982,Achter deurtje 6 v mn #adventskalender v @someuser zit...niks :-( omdat het vandaag ook #sinterklaas is en trop is teveel? #disappointed,2016-12-06T21:34:10.000Z,806250405999112197,806250405999112197,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,226881642,Geen reply op my message van @someuser nie. Veg dit regtig soveel moeite? Nie gedink dit kan so wees nie... #disappointed,2016-12-05T06:28:37.000Z,805660125780475904,805660125780475904,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",IFTTT,2855521766,GeorginaGrogan_: RT Debzjs: Down.| | #disappointed http://someurl,2016-11-18T21:36:06.000Z,799727909770502145,799727909770502145,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,766361072496435200,Schrap de geschiedenislessen maar want we leren blijkbaar niet uit het verleden 😒 #Elections2016 #disappointed,2016-11-09T06:45:35.000Z,796242310803636224,796242310803636224,nl,#disappointed,,,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,3340908196,RT @someuser WTAF!!!! 😔 #disappointed http://someurl,2016-11-08T07:11:33.000Z,795886460448735232,795886460448735232,nl,#disappointed,"[{'type': 'retweeted', 'id': '795885051636551680'}]",,
everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,381284575,WTAF!!!! 😔 #disappointed http://someurl,2016-11-08T07:05:57.000Z,795885051636551680,795885051636551680,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,58895110,"Nou ja zeg! Bestel je wat bij @someuser in Brugge, krijg je dit! Bezorger had honger onderweg?! #sad #disappointed #dominosbrugge http://someurl",2016-10-26T20:42:11.000Z,791379420762300421,791379420762300421,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for BlackBerry®,609423323,"@someuser ag nee Snotkop! My oudste seun(20) sal mal wees daaroor, my meisiekind kan dit beslis nie kyk of luister nie.#disappointed",2016-10-17T14:29:34.000Z,788024156428337152,788024156428337152,nl,#disappointed,,54218663,
everyone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,234041463,RT @someuser: Stevige val gemaakt. Te veel last van de grote schaafwonden door het zout en de zon die er hard op stond. #disappointe...,2016-10-13T16:56:25.000Z,786611560365961216,786611560365961216,nl,#disappointed,"[{'type': 'retweeted', 'id': '786581180997132288'}]",,
everyone,"{'retweet_count': 2, 'reply_count': 6, 'like_count': 8, 'quote_count': 2}",Twitter for iPhone,1019728819,Stevige val gemaakt. Te veel last van de grote schaafwonden door het zout en de zon die er hard op stond. #disappointed http://someurl,2016-10-13T14:55:42.000Z,786581180997132288,786581180997132288,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",TweetDeck,14131361,@someuser @someuser Geen grote klappers? #disappointed :-),2016-10-12T19:55:43.000Z,786294297507328000,786099889327529985,nl,#disappointed,"[{'type': 'replied_to', 'id': '786101532643196928'}]",71361252,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,262782001,No TV in Ksrtc fly bus #disappointed #ksrtc,2016-10-07T18:27:10.000Z,784460071736442880,784460071736442880,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,299524609,"Zeg,  @someuser ik zit helemaal klaar om #Westworld op te starten,  staat ie nog niet op on demand. Wrom niet? #disappointed",2016-10-03T20:29:40.000Z,783041347745935361,783041347745935361,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,3300834729,@someuser Dat is niet gillen... Gillen is meer van AAAAAAAAAHHHH of ehm... YEAAAAAHHHH ofzoiets... Niet gil... #disappointed,2016-09-26T16:18:22.000Z,780441393143709696,780438994563858432,nl,#disappointed,"[{'type': 'replied_to', 'id': '780441115883364353'}]",3290355735,
everyone,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 2, 'quote_count': 0}",Twitter for Android,1695969434,"Nieuw #glasvezel abo van @someuser  met 50 mbps, maar nu dit... #disappointed #internot #Vodafone #watnu? http://someurl",2016-09-22T12:08:24.000Z,778928935165976576,778928935165976576,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,95843270,"@someuser Hey, jullie teller telt niet achteruit op de site! #sad #disappointed #transfers",2016-09-16T21:30:31.000Z,776896069313654785,776896069313654785,nl,#disappointed,,28295885,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2510362109,"Wat regtig bad is,  is die felt dat ons teen n swak Wallabies span verloor het.... Baie bekommerd oor ons Bokke #disappointed",2016-09-10T14:41:47.000Z,774618880991981568,774618880991981568,nl,#disappointed,,,
everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 1}",Twitter for iPad,772414582585450498,"@someuser uw klantenservice laat me wachten sinds eind mei, dampkap kapot 2 weken na installatie #disappointed #siemens #tech",2016-09-04T12:56:03.000Z,772417942583644160,772417942583644160,nl,#disappointed,,166125336,
everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",Twitter for Android,75575484,Dus @someuser kondigt Disney weken aan... En draait dan ongeveer 1x per week een film in het Engels op een doordeweekse dag 😕 #disappointed,2016-09-02T10:07:36.000Z,771650777848745985,771650777848745985,nl,#disappointed,,,
