id,conversation_id,public_metrics,text,reply_settings,created_at,author_id,source,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
814674834613366784,814674834613366784,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",May mga tao talagang sa una lang magaling. #disappointed 😣😒,everyone,2016-12-30T03:29:51.000Z,740505494415015936,Twitter for iPhone,tl,#disappointed,,,
814499697641459712,814499697641459712,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",i-Dota nalang! #disappointed,everyone,2016-12-29T15:53:55.000Z,2611781010,Twitter Web Client,tl,#disappointed,,,
814383666520420353,814383666520420353,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Minsan lang ako mabadtrip, pag pangit ang tulog at gising ko...| | #1DAY| #DISAPPOINTED — feeling hungry",everyone,2016-12-29T08:12:51.000Z,842659338,Facebook,tl,#disappointed,,,
814273577218408448,814273577218408448,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Pinagkakatiwalaam ka namin ganyan pala ang turing mo sa amin :( :3| #Disappointed,everyone,2016-12-29T00:55:23.000Z,382050898,Facebook,tl,#disappointed,,,
814117639119216640,814117639119216640,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}","Yan! Dyan ka magaling, Hija... ang ipasa ang responsibilidad sa iba #disappointed | | - choz. http://someurl",everyone,2016-12-28T14:35:45.000Z,3184337522,Twitter Web Client,tl,#disappointed,"[{'type': 'quoted', 'id': '814116968835870721'}]",,
813948160666050560,813948160666050560,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Un bang nag e4t kang mabigyan silang lahat ng gifts. Pro sau ni isa walang nag effort mag bigay.Lalo na sa taong ini expct mo #disappointed,everyone,2016-12-28T03:22:18.000Z,3312830834,Twitter for iPhone,tl,#disappointed,,,
813890643495768064,813890643495768064,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Sabing wag na umasa na papansinin ka nung taong pinagtanongan mo iba sila sikat sila eh?| #disappointed,everyone,2016-12-27T23:33:45.000Z,3318597116,Twitter for Android,tl,#disappointed,,,
813551816348758016,813551816348758016,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",akala ata ng bubwit Arinola nya ung pc ko -_- GG motherboard hayss #disappointed #sanamakuhangwarranty,everyone,2016-12-27T01:07:22.000Z,544476705,Facebook,tl,#disappointed,,,
813033447081930752,813033447081930752,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Careless mo banda dun! 😒 #disappointed,everyone,2016-12-25T14:47:33.000Z,43076123,Twitter for Android,tl,#disappointed,,,
813025664211132416,813025664211132416,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Bakit walang Vince and Kath and James dito sa SM Novaliches?? Excited pa man din kami!!! #disappointed #mmff2016 http://someurl,everyone,2016-12-25T14:16:38.000Z,270255662,Twitter Web App,tl,#disappointed,,,
813022835140497408,813022835140497408,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Lain gd ya ang sa fb story nila...  Tani amu nlg gd tu gnfollow...  #disappointed,everyone,2016-12-25T14:05:23.000Z,3129734479,Twitter for Android,tl,#disappointed,,,
813005548903727106,813005548903727106,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Ipinagkatiwala ko sayo pero iyon pala may ginagawa ka na palang mali! Let See! | | #Disappointed — feeling pissed off,everyone,2016-12-25T12:56:42.000Z,459724812,Facebook,tl,#disappointed,,,
812544098280280064,811136980016840704,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser are u really a Dr? #disappointed.  fee tuli kumukutu,everyone,2016-12-24T06:23:04.000Z,58543882,Twitter for Android,tl,#disappointed,"[{'type': 'replied_to', 'id': '811136980016840704'}]",543683501,
812255184860479488,812255184860479488,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}","bat ganito na mga nangangaroling ngayon?? nung bata pa ako, w/ harmony & second voice pa kami ng pinsan ko pag nangangaroling #DISAPPOINTED",everyone,2016-12-23T11:15:01.000Z,1188762338,Twitter Web Client,tl,#disappointed,,,{'place_id': '53df18e21825a89c'}
811745089382916097,811745089382916097,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Nahh pagmata nakuh wa na diay ! | Wa najuy ney lami :(| | #Disappointed,everyone,2016-12-22T01:28:05.000Z,3667761140,Facebook,tl,#disappointed,,,
811740556409782273,811740556409782273,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",May mga tao talagang magaling lang sa umpisa.| | #disappointed,everyone,2016-12-22T01:10:04.000Z,807787374184833024,Twitter for Android,tl,#disappointed,,,
811553967981236224,811553967981236224,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Ang alat ko magluto forevs huhuhuhu #disappointed,everyone,2016-12-21T12:48:38.000Z,601945514,Twitter for Android,tl,#disappointed,,,
811365920820129797,811365920820129797,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Ikaw na po yung pinaka da best, ikaw na rin ang lovable... | #flirt| #disappointed — feeling disappointed",everyone,2016-12-21T00:21:24.000Z,977651803,Facebook,tl,#disappointed,,,
811177199281709058,811177199281709058,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Dont expect na gagawin nila sayo yung ginagawa mo sa kanila. #Disappointed,everyone,2016-12-20T11:51:29.000Z,3605090474,Twitter for Android,tl,#disappointed,,,
