id,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
813715377465229313,Facebook,813715377465229313,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T11:57:18.000Z,अतिक्रमण हटाने पहुंचे बुल्डोजर के सामने लेटी महिलाएं| #Jabalpur #women #down #bulldozer http://someurl,843529538,hi,#down,,,
811238664600752128,hindi.news24online.com,811238664600752128,everyone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 6, 'quote_count': 1}",2016-12-20T15:55:44.000Z,"सोना हुआ इतना सस्ता, चादीं की कीमतों में भी गिरावट #gold #silver #prices #down http://someurl http://someurl",34206701,hi,#down,,,
811005972739223553,hindi.news24online.com,811005972739223553,everyone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-20T00:31:06.000Z,तलाक लेकर दूसरी शादी करने वाली महिला को तालिबान ने गोली मारी ! #taliban #shoot #down #woman http://someurl http://someurl,34206701,hi,#down,,,
809419004477603840,Instagram,809419004477603840,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-15T15:25:03.000Z,गोली देना बंद करो| :P| | #paytm #down http://someurl,2978472774,hi,#down,,,
808837063797862401,Tweet Old Post,808837063797862401,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-14T00:52:38.000Z,Akhilesh Yadav’s #Mercedes #Benz ‘Vikas Rath’ #breaks #down on Lohia Path http://someurl #vikasrath #akhileshyadav,738369719091273729,hi,#down,,,
807098108467216385,Twitter Web Client,807098108467216385,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-09T05:42:38.000Z,सेंसेक्स 457 और निफ्टी 145 अंक बढ़कर बंद| | http://someurl| | #auto #banking #down #Nifty #sensex #StockMarket http://someurl,3193974744,hi,#down,,,
806797116722933760,Instagram,806797116722933760,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-08T09:46:36.000Z,"#Down @ Miyajima Island, Hiroshima Japan http://someurl",2485586124,hi,#down,,,
806032180149448704,Twitter for Android,806032180149448704,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-06T07:07:01.000Z,Dosron ko #hakeer samjo gy to khud hakeer ho jao gy ..... So #burah samj k apna #level kyon #down kren aur kyon #magror hon .......!,4881742227,hi,#down,,,
804056836420665344,Facebook,804056836420665344,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-11-30T20:17:43.000Z,#Beautiful #memories of @someuser #wedding #one  #day #left #another #down its seen ab kis ki #baree hai... http://someurl,116789057,hi,#down,,,
802530894703538182,Facebook,802530894703538182,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-11-26T15:14:10.000Z,#one #man #down — drinking masala chai,334135355,hi,#down,,,
