conversation_id,created_at,reply_settings,text,author_id,source,id,public_metrics,lang,search_query,in_reply_to_user_id,geo,referenced_tweets
814933541079359488,2016-12-30T20:37:51.000Z,everyone,#retrospectiva2016 @someuser sofre #impeachment e nós compartilhamos sua dor com @someuser na paródia #Down http://someurl http://someurl,4838314685,Twitter for iPhone,814933541079359488,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",pt,#down,,,
814148839330484225,2016-12-28T16:39:44.000Z,everyone,A Amanda tem a maior cara de #down 😂😂😂😂 @someuser,779452907469074437,Twitter for Android,814148839330484225,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",pt,#down,,,
813812838942785536,2016-12-27T18:24:35.000Z,everyone,x pornos #down porn http://someurl,787180048147222528,Twitter Web Client,813812838942785536,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#down,,,
813357072041574400,2016-12-26T12:13:32.000Z,everyone,Bom dia ao amor verdadeiro | #rhuanlindodotio #amormaior #amorquenaosemede #down,191592932,Facebook,813357072041574400,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#down,,,
812371714688552960,2016-12-23T18:58:04.000Z,everyone,Se a #steam #down! Vá para #overwatch - #LeagueOfLegends - #heroesofthestorm - #Battlefield1 e retorne para gastar toda sua grana #steamdown,73711686,Twitter Web Client,812371714688552960,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",pt,#down,,,
812363255217881088,2016-12-23T18:24:27.000Z,everyone,pelo visto o problema com o steam é complicado... http://someurl #steam #down,123263551,Twitter Web Client,812363255217881088,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#down,,,
812357453044125702,2016-12-23T18:01:24.000Z,everyone,Valves #Steam #Network #is #Down http://someurl #Steam http://someurl,723206326168391681,Trendspostr,812357453044125702,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",et,#down,,,
812343269820612608,2016-12-23T17:05:02.000Z,everyone,Está @someuser #caido. #SteamIsDown #Steam #down #Caido,731699558,Twitter for Android,812343269820612608,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",es,#down,,,
812178145700880384,2016-12-23T06:08:54.000Z,everyone,@someuser #infinitum #down  líder #dorado #verfollow http://someurl,844590541,Twitter for iPhone,812178145700880384,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#down,268449905,,
811986935749234693,2016-12-22T17:29:06.000Z,everyone,Professora do IFPE desenvolve um curso de Língua Inglesa voltado para pessoas com #Síndrome de #Down. | | Leia a... http://someurl,506323519,Facebook,811986935749234693,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#down,,,
811875784780615680,2016-12-22T10:07:25.000Z,everyone,Éramos Crianças Esperando Amanhecer 🎶💘| #smile #friends #up #down #like4like #maneva #lembrancas... http://someurl,4493562147,Instagram,811875784780615680,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#down,,,
811350475391909888,2016-12-20T23:20:02.000Z,everyone,Que beijinho doce foi ele quem trouxe de longe pra mim 💋😻| | #juju #down #cromossomodoamor... http://someurl,733138292,Instagram,811350475391909888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#down,,,
811085272549048320,2016-12-20T05:46:12.000Z,everyone,"esse meu final de ano promete ser metade up metade down, alá olhos de forrest whitaker 👀#upside #down #RARARA http://someurl",65383510,Twitter for Windows Phone,811085272549048320,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#down,,"{'place_id': 'd13775d10c08f835', 'coordinates': {'type': 'Point', 'coordinates': [-54.61740125, -20.44050791]}}",
