created_at,source,public_metrics,text,conversation_id,author_id,id,reply_settings,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
2016-12-27T04:55:17.000Z,TweetMag1c MusicEdition,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#Rock #DOWN TOWN  #SUGAR BABE #NewPlaying #BGM #MUSIC #Japan BLOG:RockMaMa☆AKI→ http://someurl,813609171216044032,2476820617,813609171216044032,everyone,tl,#down,,,
2016-12-25T02:22:08.000Z,TweetMag1c MusicEdition,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#Rock #DOWN TOWN (Live)  #SUGAR BABE #NewPlaying #BGM #MUSIC #Japan BLOG:RockMaMa☆AKI→ http://someurl,812845853836656640,2476820617,812845853836656640,everyone,tl,#down,,,
2016-12-23T15:50:05.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",#Steam ist #down ... hmpf #steamdown,812324408522108930,42399726,812324408522108930,everyone,tl,#down,,,
2016-12-23T00:39:49.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bleach doujin porn #down load sex movie http://someurl,812095331089453059,1392819432,812095331089453059,everyone,tl,#down,,,
2016-12-21T13:39:52.000Z,TweetMag1c MusicEdition,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#なうぷれ #DOWN TOWN (Live)  #SUGAR BABE #NewPlaying #BGM #MUSIC #Japan #BLOG RockMaMa☆AKI→ http://someurl,811566861506617344,2476820617,811566861506617344,everyone,tl,#down,,,
2016-12-20T04:06:15.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",hairyerotica org #down load porn video http://someurl,811060117709930497,74643822,811060117709930497,everyone,tl,#down,,,
2016-12-19T14:03:52.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@someuser #0 brettina shipper talaga to #hands #down,810847663151157249,728201332981555200,810848126206521345,everyone,tl,#down,"[{'type': 'replied_to', 'id': '810847663151157249'}]",2999356728,
2016-12-19T02:09:09.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",GUSTO KO MAKALIMUTAN ANG NANGYARE KAGABI 😨| | #DOWN — feeling scared,810668262555910145,275387549,810668262555910145,everyone,tl,#down,,,
2016-12-18T08:07:41.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","DUBETICA×AKM | sizeL| | ¥45,800+tax| | #千葉鑑定団湾岸習志野店 #デュベティカ #AKM #down jacket http://someurl",810396099974414336,2655844998,810396099974414336,everyone,tl,#down,,,
2016-12-16T11:50:05.000Z,erased12280494,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#UPDATE #4-Tata #patriarch #plays #down #talk #of #imminent #exit #from #Tata #Trusts http://someurl http://someurl,809727293111332865,724665080923717632,809727293111332865,everyone,tl,#down,,,
2016-12-16T05:50:40.000Z,erased12280494,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#UPDATE #2-Tata #patriarch #to #step #down #as #chairman #of #Tata #Trusts #- #report http://someurl http://someurl,809636842618372096,724665080923717632,809636842618372096,everyone,tl,#down,,,
2016-12-16T00:01:40.000Z,Linkis: turn sharing into growth,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Please #Shut #Down the Yulin Dog #Meat #Festival in GuangXi China - Sign the... http://someurl via @someuser,809549015553544192,3238834748,809549015553544192,everyone,tl,#down,,,
2016-12-15T11:31:21.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Good night🌠💤| #sick😷 #down #fuckin #free #night @ Toyonaka, Osaka http://someurl",809360190613098497,2398656600,809360190613098497,everyone,tl,#down,,,
2016-12-14T23:53:40.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",10Kings&5Queens PangCover ? Pili ako . #Down,809184615785078785,2634176318,809184615785078785,everyone,tl,#down,,,
2016-12-14T14:09:18.000Z,TweetMag1c MusicEdition,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#DOWN TOWN  #SUGAR BABE #NewPlaying #BGM #MUSIC #Japan #BLOG RockMaMa☆AKI→ http://someurl 　#アメーバマイスター　　#今聴いてる,809037555064655872,2476820617,809037555064655872,everyone,tl,#down,,,
2016-12-11T06:58:40.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Nagpa kamatay Jud sya sa dagat. Ky gipa asa ra. Huhu ka ng dili kabalo mo langoy. | | #Suffered| #Down| #why?? — watching Star Movies,807842017631817728,2179038933,807842017631817728,everyone,tl,#down,,,
2016-12-07T10:31:28.000Z,MEGAPO.ST,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Shaylyn  http://someurl #down #braid #lluvia #autumn #bondno9 #share,806446020402024448,2800821015,806446020402024448,everyone,tl,#down,,,
2016-12-06T10:15:12.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}","Yung sasabihan ka na| | ...ikaw na yata ang pinaka malungkot na nagbirthday na nakita ko| | Tapos, hindi mo matanggihan.| | #down",806079536098115584,1440566580,806079536098115584,everyone,tl,#down,,,
2016-12-05T16:19:05.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#Down Payment Se Kahin Zeada(90%,80%,70%,Waghera)Hota Hai,WHA.Arifshah USA 5-5",805808722026954752,375926277,805808722026954752,everyone,tl,#down,,,
2016-12-03T00:40:41.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Anu Ka d2 ngauN ??| SingLe 👉 10Likes 👈| TakEn 👉 5LikEs 👈| #COmment| #Down😘😘,804847792963325952,798365884284739585,804847792963325952,everyone,tl,#down,,,
2016-11-29T11:34:36.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",", kung kiLaLa Mo Talaga Ako Give a Name Ng taong MahaL na mahaL ko | | #comment| #down",803562803021905920,4266295100,803562803021905920,everyone,tl,#down,,,
2016-11-24T15:18:33.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","#down #hotel #building #pattern #room @ Mandarin Oriental, Singapore http://someurl",801807224523792384,51737180,801807224523792384,everyone,tl,#down,,,"{'coordinates': {'type': 'Point', 'coordinates': [103.85844, 1.29063]}, 'place_id': '58a4c3a0d54e1400'}"
