source,text,reply_settings,lang,conversation_id,id,author_id,created_at,public_metrics,search_query,geo,in_reply_to_user_id,referenced_tweets
Instagram,"失守了！弟弟也焼到39度從托兒所接回來了😭😭😭#インフルエンザa型 #我が家 #三人目 #sad #down #ak的北海道生活 @ Obihiro, Hokkaido http://someurl",everyone,zh,813672877874675712,813672877874675712,402598957,2016-12-27T09:08:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Instagram,冬至快樂| 著羽絨暖笠笠過節🎅| #winter #downjacket #down #warm #keepwarm #trendy #ootd #tecgaroutdoor... http://someurl,everyone,zh,811426496065708032,811426496065708032,4627965500,2016-12-21T04:22:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Instagram,#✌️ 最近的心情真的很燥很累了 #😀 #down #sad #tired #累 #情绪 http://someurl,everyone,zh,808894520809156610,808894520809156610,3390506565,2016-12-14T04:40:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Instagram,能不能忘掉那些傷人的事...？| #vscocam #20161121 #galaxys2 #1210 #escape #down http://someurl,everyone,zh,800711975495831552,800711975495831552,599945257,2016-11-21T14:46:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Instagram,藍瘦香菇。| #透支| #down http://someurl,everyone,zh,788235802702589952,788235802702589952,884714514,2016-10-18T04:30:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Facebook,【 新品抵達 － 英國 MONTANE 羽絨外套 】| | #RCOutfitters #Montane #Down #DownJacket #DownVest #PEAQ #HyperDRYEco #Pertex... http://someurl,everyone,zh,785337321239576580,785337321239576580,220201238,2016-10-10T04:33:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Instagram,#rainbow | 看不到也好看到也好| #그리워해요| | 一大堆刪掉的話| 有時候突然 #down #damn| #areufuckingkiddingme http://someurl,everyone,zh,785114321491820544,785114321491820544,582499195,2016-10-09T13:46:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#down,,,
Instagram,航拍重庆大剧院🏰 | ，| ，| ，| ，| #chongqing #重庆 #china #dji #djiphantom3 #drone #city #life #travel #down #blue... http://someurl,everyone,zh,784982908113223680,784982908113223680,1929203833,2016-10-09T05:04:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
WeChat app,4 suku round| 9mnt| #down| [难过][抓狂]| #knp ni,everyone,zh,784361100078829568,784361100078829568,808901948,2016-10-07T11:53:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
WeChat app,4 suku | 9mnt| #down| [难过][抓狂]| #knp ni,everyone,zh,784361012946345984,784361012946345984,808901948,2016-10-07T11:53:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Twitter Web Client,好好在肝 Udacity 的，竟然挂了。#udacity #down http://someurl,everyone,zh,783684130093412354,783684130093412354,4741756639,2016-10-05T15:03:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Instagram,"#the #first #time #to #stand #upside #down #so #excited @ The Bund in Shanghai, China 上海外滩 http://someurl",everyone,zh,781841939519905792,781841939519905792,295579524,2016-09-30T13:03:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,"{'place_id': '01a20da949498784', 'coordinates': {'type': 'Point', 'coordinates': [121.48577604, 31.24059273]}}",,
Instagram,#upside #down #mirrors @ 台北車站(Taipei Main Station) http://someurl,everyone,zh,781813104686534656,781813104686534656,65836523,2016-09-30T11:09:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,"{'place_id': '00180402799fed03', 'coordinates': {'type': 'Point', 'coordinates': [121.51633273, 25.0466789]}}",,
Instagram,知道你们、辛苦啦💦💦 | 让我们好好期待着台湾之旅🇹🇼 | 好好的放松一下🙆🏻🙆🏻👭👭| 加油😻💪🏻 #counting #down #countingdown #holiday #trip... http://someurl,everyone,zh,780369183188127744,780369183188127744,374362677,2016-09-26T11:31:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
iOS,0125 無法醉倒昏睡。暈。#down,everyone,zh,777559223873921024,777559223873921024,248736833,2016-09-18T17:25:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Twitter Web Client,＃iPhone ＃sales ＃down | 苹果手机销售量 http://someurl,everyone,zh,766293760284045312,766293760284045312,728084127941939201,2016-08-18T15:20:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Twitter Web Client,#Chinese #lenders #profit growth slows #down| http://someurl| | #CBRC: #BankingSystem #2Q2016| http://someurl [中国银行业监督管理委员会],everyone,zh,763820484513464321,763820484513464321,1291851170,2016-08-11T19:32:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Instagram,牠總是在這裡等待| 等什麼呢？| [跟我很好的一隻貓]| | #miss#릴리story #cat #love #mood #down http://someurl,everyone,zh,763354073701593088,763354073701593088,2244920870,2016-08-10T12:39:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Instagram,誰也沒有辦法預測自己的未來是怎樣的...| 但現在的路是你自己選的...| 我想做的就是珍惜，珍惜還是珍惜...| #20160802 #down #confusing #suddenly #but... http://someurl,everyone,zh,760453414606299136,760453414606299136,957782486,2016-08-02T12:33:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Instagram,"有时候心情会突然很低落, 不想说话也不想动。 别人问起, 也不知道该怎样回答。 我不是假装沉默, 我只是大姨妈来..😔 #down #mood #on #menstrualperiod http://someurl",everyone,zh,758269920048218112,758269920048218112,440580269,2016-07-27T11:56:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Twitter for iPhone,「看看下面！」| 「下次下次，下次大概可以~」| 「說什麼下次！我說下面呀！(哭)」| #icon #drawing #熊美美 #下 #down #bear http://someurl,everyone,zh,755424508954107904,755424508954107904,14566509,2016-07-19T15:30:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
Instagram,#sadtoseeitend | 今次返嚟，我 #失去 咗 一個 呢段日子裡面 我一直 視如 我的 #所有 嘅 #掌上珍寶！| 😔| | #痛 #冇咗 | #down #upset... http://someurl,everyone,zh,742353330685501440,742353330685501440,4201574726,2016-06-13T13:50:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#down,,,
