created_at,source,public_metrics,geo,text,conversation_id,author_id,id,reply_settings,lang,search_query,referenced_tweets,in_reply_to_user_id
2016-12-30T23:56:36.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '69ae3b3b99c42508'},Look at these #beautiful #pictures of our model! Were #super #excited! Call now to #reserve your new #home! (855)277-7106 http://someurl,814983558108483588,740277517840310272,814983558108483588,everyone,en,#excited,,
2016-12-30T23:54:46.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,Surprised the boyfriend with flights to Belgium for #GRASSPOP #gmm #Belgium #Dessel #summertime #excited http://someurl,814983094914662400,164405707,814983094914662400,everyone,en,#excited,,
2016-12-30T23:53:40.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,Also the final book of Brotherhood of blood by Kathi Barton just came out #squeee #excited #COYER,814982818178748416,186234644,814982818178748416,everyone,en,#excited,,
2016-12-30T23:51:21.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",{'place_id': '01864a8a64df9dc4'},#HappyNewYear to all of our supporters. Were super #excited to bring you something fresh and new in #2017 watch this space and bring it on! http://someurl,814982238320226304,780884752265949184,814982238320226304,everyone,en,#excited,,
2016-12-30T23:50:30.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",,"@someuser @someuser P A R T Y! NYE is SATURDAY and I got sequins, weed and big hair. Im so ready to get my party on! #Excited",814979968388083712,22869375,814982024251351040,everyone,en,#excited,"[{'type': 'replied_to', 'id': '814981528362962944'}]",38611008
2016-12-30T23:50:07.000Z,Hootsuite,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,@someuser So #excited to #plan your #CA #cannabis #regulation #workshops http://someurl #crop #agriculture #cultivate http://someurl,814981927988039681,768478289992167424,814981927988039681,everyone,en,#excited,,4805921413
2016-12-30T23:49:54.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '07d9db0f79484001'},Prepping for tomorrow night... biggest party in the 757... #excited,814981871419478016,3968402937,814981871419478016,everyone,en,#excited,,
2016-12-30T23:48:20.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,Cant wait to see my brother and his family soon!! 💃🏾💃🏾💃🏾💃🏾 #FBF #Family #Excited #Nieces... http://someurl,814981479327498240,25704895,814981479327498240,everyone,en,#excited,,
2016-12-30T23:47:11.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}","{'coordinates': {'type': 'Point', 'coordinates': [-118.3824779, 34.0734651]}, 'place_id': '3b77caf94bfc81fe'}",Loading in for our #NYE #gig in this #beautiful #beverlyhills spot! @someuser #excited... http://someurl,814981187441717249,1475601661,814981187441717249,everyone,en,#excited,,
2016-12-30T23:46:16.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,#excited 12 hours till the commercial media tell us all we should be on a diet  #Newyear #MMXVII,814980955265900544,939812042,814980955265900544,everyone,en,#excited,,
2016-12-30T23:42:01.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,"Omg, the boy is coming to Cedar Rapids this weekend. Keeping cool is not happening. Repeat. IS NOT HAPPENING. #excited #imisshisface",814979886200881152,32438233,814979886200881152,everyone,en,#excited,,
2016-12-30T23:34:59.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '54e862bb3ff2f749'},@someuser @someuser  just ordered envy #excited,814583359410208768,520873658,814978118284931073,everyone,en,#excited,"[{'type': 'replied_to', 'id': '814583359410208768'}]",2367641090
2016-12-30T23:33:36.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,Blood test confirmed today ITS A GIRL! #babygirl Stark it is! #happy #excited #newadventures http://someurl,814977767628570628,549923934,814977767628570628,everyone,en,#excited,,
2016-12-30T23:32:43.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,Waiting for the .@someuser vs @someuser game like #excited #GoJays http://someurl,814977546668441600,195787900,814977546668441600,everyone,en,#excited,,
2016-12-30T23:32:19.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,Tomorrow at MIDNIGHT we will go LIVE! Grand Opening of http://someurl #excited #dreamalive #friendship http://someurl,814977446684585984,809139978034876416,814977446684585984,everyone,en,#excited,,
2016-12-30T23:26:50.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,Rowdy Ronda Rousey fights tonight! #excited,814976067119304705,566354802,814976067119304705,everyone,en,#excited,,
2016-12-30T23:26:41.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",{'place_id': 'a586c0a0034ff5a4'},Food ✅ Drinks ✅ House Ready ✅ Family ✅ Closest Friends ✅ hosting first New Years Eve party at our home 2morrow nite...😜🙌🏻👏🏻😀 #excited,814976030322622464,453430532,814976030322622464,everyone,en,#excited,,
2016-12-30T23:22:10.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",,#throwback 🙌🏻 cant wait to get back into pre season!! Roll on 2017 ⚽⚽ #excited #newseason #hardwork http://someurl,814974892256989184,440396169,814974892256989184,everyone,en,#excited,,
2016-12-30T23:17:16.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",,While working on another comic project I finally found the style Im going with my animations!! #excited #staytuned 😃,814973660163346432,103084200,814973660163346432,everyone,en,#excited,,
2016-12-30T23:16:27.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,All these previews that @someuser keeps sharing is making me really excited for his birthday and the release of Us! #cantwait #excited,814973454592122880,596988406,814973454592122880,everyone,en,#excited,,
2016-12-30T23:15:32.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,We got the coconuts! #excited for the #belizeinternationalyogafestival #belize #yoga #coconut... http://someurl,814973222504595457,709775112724066304,814973222504595457,everyone,en,#excited,,
2016-12-30T23:13:50.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,Played the early @someuser slate heavy and have 0 Avery Bradley shares....#excited,814972794043822080,180817046,814972794043822080,everyone,en,#excited,,
2016-12-30T23:12:59.000Z,Twitter Web Client,"{'retweet_count': 62, 'reply_count': 0, 'like_count': 107, 'quote_count': 2}",,Less than 24 hours until kick off!! #RollTide #excited #CFBPlayoff #Alabama http://someurl,814972579819700224,2176345659,814972579819700224,everyone,en,#excited,,
2016-12-30T23:12:45.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,@someuser I hope so my love!!! #Excited,814972076499095552,209625624,814972521292382208,everyone,en,#excited,"[{'type': 'replied_to', 'id': '814972424127152128'}]",19357636
2016-12-30T23:10:56.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,@someuser @someuser it be Redz and he follows Seb - freaky dude - looks a goal scorer stats wise - 1 goal every other game #excited,814962247781023744,34752191,814972064352391169,everyone,en,#excited,"[{'type': 'replied_to', 'id': '814969343205396482'}]",2219883528
2016-12-30T23:08:08.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,@someuser just paid a visit to the old mailbox. #hot #excited #printsareforkids #boasting http://someurl,814971361600925696,155877300,814971361600925696,everyone,en,#excited,,38518860
2016-12-30T23:06:27.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,rhonda rousey fighting tonight! i want to watch it! #Rousey #FridayFeeling #excited,814970936776654848,27364778,814970936776654848,everyone,en,#excited,,
2016-12-30T23:05:09.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,Have our keys! Two hours til we officially take possession of the new house. #excited,814970609310388225,256136084,814970609310388225,everyone,en,#excited,,
2016-12-30T23:01:29.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,Day 4 of remodel! #changes #fthenorm #excited #northhollywood #studiocity #pilates #fitness #health #new #fun... http://someurl,814969688333713408,942156265,814969688333713408,everyone,en,#excited,,
2016-12-30T23:00:19.000Z,Hootsuite,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,@someuser So #excited to be #planning your #CA #cannabis #regulation #workshops http://someurl #investor #transportation http://someurl,814969392886927360,768478289992167424,814969392886927360,everyone,en,#excited,,4805921413
2016-12-30T22:57:56.000Z,Twitter Web Client,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",,@someuser @someuser @someuser @someuser @someuser @someuser HELL YA!! That VIDEO was amazing!! #excited,814428690901766144,911520552,814968792455544832,everyone,en,#excited,"[{'type': 'replied_to', 'id': '814968490406871040'}]",3785797529
2016-12-30T22:54:56.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,Should we #stepout at all #tonight? I dont get #excited for much but #recording and making... http://someurl http://someurl,814968040613957633,101589322,814968040613957633,everyone,en,#excited,,
2016-12-30T22:54:51.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,Should we #stepout at all #tonight? I dont get #excited for much but #recording and making #beats.... http://someurl,814968019290034176,101589322,814968019290034176,everyone,en,#excited,,
2016-12-30T22:54:48.000Z,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,Should we #stepout at all #tonight? I dont get #excited for much but #recording and making... http://someurl,814968006589747200,101589322,814968006589747200,everyone,en,#excited,,
2016-12-30T22:53:12.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",{'place_id': '76005bfcf3a8f575'},@someuser EVERY SATURDAY 8.30am. Contact Chris on 07870862204 #dreambig #enjoylife #excited,814966844369027072,764935661854097408,814967601659052032,everyone,en,#excited,"[{'type': 'replied_to', 'id': '814967100091617280'}]",764935661854097408
2016-12-30T22:51:02.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,Excited to see this movie 😄. #friday #movie #excited @someuser http://someurl,814967055921414144,275853267,814967055921414144,everyone,en,#excited,,
