public_metrics,source,created_at,id,geo,conversation_id,text,author_id,lang,reply_settings,search_query,referenced_tweets,in_reply_to_user_id
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T20:54:00.000Z,814937606953672704,{'place_id': '29e23b65669fa93b'},814937606953672704,Lista para mí #Reik weekend en #Marzo !😉🎵 @someuser @someuser @someuser @someuser #ReikEnMexicali #ReikEnTijuana !😍 #excited !,116385052,es,everyone,#excited,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T20:09:33.000Z,814926417523683328,,814926417523683328,Ya listo para regresar a Chihuahua. #Excited,338593920,es,everyone,#excited,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,2016-12-30T11:49:30.000Z,814800576944992261,,814800576944992261,Australian visa granted 🌍✈️😃🙌🏻 #32days #excited,22390935,es,everyone,#excited,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T10:59:43.000Z,814788049041260544,,814788049041260544,"Último del año, disfrútalo!!!😍😘 #byebye2016 #finishing #excited #enjoyit #lastfriday #loveit❤️... http://someurl",3289784033,es,everyone,#excited,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter Web Client,2016-12-30T03:23:53.000Z,814673336236175360,,814673336236175360,Sólo unas pocas horas más! #Excited,1535609462,es,everyone,#excited,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-29T21:53:24.000Z,814590166576889856,,814590166576889856,"Después de mucho, me acaban de dar una noticia feliz #excited",126478309,es,everyone,#excited,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-29T21:24:27.000Z,814582879275614208,,814582879275614208,Hello #CDMX | First time en la Ciudad de Mexico.. #excited | #Vacation #Holidays #Mexico #WithHim... http://someurl,21695115,es,everyone,#excited,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-29T21:13:56.000Z,814580234175578112,{'place_id': 'e342de30841352bf'},814580234175578112,¿Quién tiene mañana Skype con Ámsterdam? #excited #letsmakeitshine http://someurl,26579948,es,everyone,#excited,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Facebook,2016-12-29T20:01:32.000Z,814562014601195520,,814562014601195520,"02.01.17 @someuser YAAH MUUL @ Punta Del Este, Uruguay 😀😀😀| #Techno #Excited http://someurl",343232861,es,everyone,#excited,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-29T19:06:59.000Z,814548284387848193,,814548284387848193,Muñeco año viejo is probably the greatest yet weirdest traditions ever. | #Excited,318877022,es,everyone,#excited,,
