source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,referenced_tweets,in_reply_to_user_id,geo
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2776157803,#Girls #excited #Romance इन जगहों को छूने से लड़की हो जाएगी आपसे संबंध बनाने को बेताब http://someurl http://someurl,814102138015993856,814102138015993856,hi,everyone,2016-12-28T13:34:09.000Z,#excited,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2542853210,Beharampur mein agar koi khaas hai toh vo ek ghulaam hai!! @someuser #wow #excited 💃💫,813830238098444288,813830238098444288,hi,everyone,2016-12-27T19:33:43.000Z,#excited,,,
Mobile Web (M2),"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",801289093946736641,@someuser @someuser ROHAN| KAABIL BHATNAGAR aa raha hu darega nahi na.#excited,812666172365828100,812665869935329280,hi,everyone,2016-12-24T14:28:08.000Z,#excited,"[{'type': 'replied_to', 'id': '812665869935329280'}]",1543290144,
Twitter for Android,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",737920164,Jiska hame thha intezar voh ghadi aa gayi #excited 🙌🙌😘😘😘😘 #IndianidolWithkaranWahi  @someuser,812632006697754625,812632006697754625,hi,everyone,2016-12-24T12:12:23.000Z,#excited,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808315654474321920,Jab GauBani Met| Tab kya hua ??? #Excited #bb10,812324670418472960,812324670418472960,hi,everyone,2016-12-23T15:51:08.000Z,#excited,,,
Facebook,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",561875659,Are dil chota mat kar...| National level ke CHAMPION se hara hai tu....| #DANGAL #Excited| #FirstDialogue,811784537193725953,811784537193725953,hi,everyone,2016-12-22T04:04:50.000Z,#excited,,,
Twitter for Android,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",3311071909,Wahians ka khali nhi jata koi vaar| Jab mil jate h hum sb yaar| Ab bilkul bhi nhi hota intzaar| #IndionIdol m baki din sirf charr #Excited http://someurl,811139765856825344,811139765856825344,hi,everyone,2016-12-20T09:22:45.000Z,#excited,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3311071909,Manch nhi yai rishta h jo bharat ko bharat se jodta h or wohi rishta h jo hume 5 din bad karan wahi se milayega  #Excited fr #IndianIdol http://someurl,810782147464364032,810782147464364032,hi,everyone,2016-12-19T09:41:42.000Z,#excited,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1351527390,#Excited| #BairavaaAudioFromDec23 IlayaThalapathy #VIJAY @someuser  @someuser @someuser http://someurl,809593947731464192,809593947731464192,hi,everyone,2016-12-16T03:00:13.000Z,#excited,,,
Twitter Web Client,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}",2472691999,I Dont Think So Sumaira Chor k Jaye Gi🤔Kion k Sumaira Abhi Bh Shooting Kar Rai Hai 😜@someuser @someuser #WaadaDay #EXCITED😍 http://someurl,809006264042881024,809006264042881024,hi,everyone,2016-12-14T12:04:58.000Z,#excited,,,
Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1144819880,@someuser jee jee zaroor #excited,808413675065319424,808407751189757952,hi,everyone,2016-12-12T20:50:14.000Z,#excited,"[{'type': 'replied_to', 'id': '808413487743504384'}]",3289165026,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2955684032,"#Dhruvatime  #excited — watching Dhruva (2016 film) at Pvr Cinemas,vijayawada http://someurl",808001429998882816,808001429998882816,hi,everyone,2016-12-11T17:32:07.000Z,#excited,,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",804921554668752896,@someuser Ye Kuch Mazedaar Lag Raha Hai #AIB #Excited 😍,807854079967903745,807471106617524224,hi,everyone,2016-12-11T07:46:36.000Z,#excited,"[{'type': 'replied_to', 'id': '807471106617524224'}]",14120922,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",791338735816159237,Bandook ki goli aur miyanbhai ki boli jab chalti hai  | Tab insaan darta baad mein hai aur marta pehle hai...| #RaeesTrailer #excited @someuser,807644946719248384,807644946719248384,hi,everyone,2016-12-10T17:55:35.000Z,#excited,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",154772985,@someuser Karan Wahi 😎 The Host #KaranWahi #IndianIdol #excited @someuser,806880017342955521,806792943164157952,hi,everyone,2016-12-08T15:16:01.000Z,#excited,"[{'type': 'replied_to', 'id': '806792943164157952'}]",145592277,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",797725136048693251,http://someurl| Trailor of Raees.. Releasing on 25th Jan 2017 Aa raha hu😍😍😙😘😘| Baniye ka dimag aur miyabhai ki daring.. #Excited,806434734272188416,806434734272188416,hi,everyone,2016-12-07T09:46:38.000Z,#excited,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1646265049,"अभी देल्ही एयरपोर्ट पहुँच चुके हैं, आज हरियाणा में  दिन भर मिलेंगे सैकड़ों युवाओं से और #CashlessEconomy #ecommerce पे होगी चर्चा #excited http://someurl",805755615377313792,805755615377313792,hi,everyone,2016-12-05T12:48:03.000Z,#excited,,,
