id,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
814959960329224196,Twitter for Android,814959960329224196,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:22:50.000Z,Ze weten het wel de spanni g erin te houden bij het darten zeg. En doorademen maar weer... #wkdarts #gooobarney #excited,418085432,nl,#excited,,,
814908229973135364,Twitter Web Client,814908229973135364,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T18:57:16.000Z,Laat 2017 maar komen!!! #newyear #excited #change,2272087717,nl,#excited,,,
814848529038528513,TweetDeck,814848529038528513,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",2016-12-30T15:00:03.000Z,Nog maar een half uur en dan begint de #VEED100 weer!! Wie gaat er kijken?? #EXCITED,4044893122,nl,#excited,,,
814817843405590528,Twitter Web Client,814817843405590528,everyone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T12:58:07.000Z,"Hey Beauties! | We zijn volop bezig met het in elkaar steken van nieuwe workshop, dus hou onze pagina zeker in de gaten! #excited",803915860360515585,nl,#excited,,,
814188954924777473,Twitter Web Client,814188954924777473,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T19:19:08.000Z,Wachten op 892: Ordinary World van Duran Duran #Excited #Top2000 @someuser,3191630890,nl,#excited,,,
814046415760584704,Instagram,814046415760584704,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-28T09:52:44.000Z,"Vandaag even geen post, want wij hebben vakantie. 😏👌🏼 maar eh.. Nog 5 dagen! #release #excited... http://someurl",807113793331490817,nl,#excited,,,
814035682784059392,Twitter for iPhone,814035682784059392,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-12-28T09:10:05.000Z,Morgen naar 3 huizen gaan kijken! #nextstep #buyingahouse #excited 🏠🏠🏠,524690426,nl,#excited,,,
813857394665066497,Twitter for iPhone,813857394665066497,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-27T21:21:38.000Z,"Als er nog iemand nieuwjaar gaat vieren in Leuven, let me know! 😏🎉 #excited #doei2016",3597848363,nl,#excited,,,
813830861288312832,Twitter Web Client,813830861288312832,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-27T19:36:12.000Z,"Alweer een halfjaar geleden dat @someuser mijn #nfc #rfid #chip plaatste, binnenkort een nieuwe #excited (: #piercingutrecht http://someurl",2678096911,nl,#excited,"[{'type': 'quoted', 'id': '740602157167194112'}]",,
813809928574042113,Twitter for Android,813764892851367936,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-27T18:13:01.000Z,@someuser bekijken we die zaterdag nog eens? 😂😂 #excited,2772551085,nl,#excited,"[{'type': 'replied_to', 'id': '813764892851367936'}]",2177941841,
813741269587398656,Twitter for Android,813741269587398656,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-27T13:40:11.000Z,@someuser. Cool Soos Koos Kombuis is nou op @someuser !!Whoohoo!!#30Des #hierkomons #HKGK #excited #love #aweh #myhartklopdoomdoom xxx❤❤,800269401966526464,nl,#excited,,54218663,
813667580858761216,Twitter for iPhone,813667580858761216,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2016-12-27T08:47:23.000Z,"Zooooooooo veel zin in donderdag, vrijdag en zaterdag!! Donderdag shoppen, vrijdag kutten en zaterdag 💣 W/ @someuser #excited",235283687,nl,#excited,,,
813296820977893376,TweetDeck,813296820977893376,everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",2016-12-26T08:14:07.000Z,"Na 2,5 maand blessureleed is het vanavond nog eens tijd voor een wedstrijd #excited",1292104970,nl,#excited,,,
813152230912167937,Twitter for Android,813152230912167937,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-25T22:39:34.000Z,Morgen naar #RougeOne met mijn kleine leerling. #excited,276025548,nl,#excited,,,
813100824431824897,Twitter for Android,813091693675347968,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-25T19:15:17.000Z,@someuser jy sal cope..het al agter gekom jy kom reg met min slaap. Vroulief sal sorg dat alles reg loop #excited #suchablessing,544268917,nl,#excited,"[{'type': 'replied_to', 'id': '813091693675347968'}]",111278246,
813057999333949440,Twitter for Android,812975431968325632,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",2016-12-25T16:25:07.000Z,http://someurl voor het eerst in 15 jaar samen😱 #Excited,440055720,nl,#excited,"[{'type': 'replied_to', 'id': '812975431968325632'}]",440055720,
812340651559976960,Twitter for iPhone,812340651559976960,everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-12-23T16:54:38.000Z,Onderweg naar @someuser @someuser in het sportpaleis #excited  😍🎉🎉,584675818,nl,#excited,,,
812208446061903872,Twitter for Android,812208446061903872,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-23T08:09:18.000Z,‘De Brusselse derby? Dat is van de eerste  tot laatste minuut genieten’ http://someurl #matches today #excited #RWDM,2767438048,nl,#excited,,,
812180007858606080,Twitter for iPhone,812180007858606080,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2016-12-23T06:16:18.000Z,Helemaal klaar vr de laatste werkdag van het jaar. We eindigen met een persconferentie over de plannen v de Terhills site. #excited @someuser,966521280,nl,#excited,,,
812013782767718404,Twitter for Android,810449843164446720,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-22T19:15:46.000Z,@someuser @someuser wanneer post je uw selectie? #excited,90138057,nl,#excited,"[{'type': 'replied_to', 'id': '810488128771387392'}]",90138057,
811977171665321984,TweetCaster for Android,811971707409932288,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-22T16:50:18.000Z,@someuser Gvm Thaaan Nenaikiren!!!| #Excited #FingerCrossed #ENPT,707535189,nl,#excited,"[{'type': 'replied_to', 'id': '811971707409932288'}]",465359257,
811809360066347008,Twitter for iPhone,811809360066347008,everyone,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 5, 'quote_count': 0}",2016-12-22T05:43:28.000Z,Vannacht in mijn droom een plan gemaakt om die steile pistes af te komen en dat ga ik straks uitvoeren!!! #excited #rip #icandodit,15157472,nl,#excited,,,
811635192611926017,Twitter for iPhone,811635192611926017,everyone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-21T18:11:24.000Z,"RT @someuser Hoi, @someuser en ik gaan naar t Groninger museum om @someuser techecken #excited",1404315523,nl,#excited,"[{'type': 'retweeted', 'id': '811578802857975808'}]",,
