lang,conversation_id,id,created_at,public_metrics,author_id,source,text,reply_settings,search_query,geo,referenced_tweets,in_reply_to_user_id
pt,814719428004814848,814719428004814848,2016-12-30T06:27:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",36218157,Twitter for iPhone,So ... a sequel to Sicario?!?! #excited| Soldado (2017) - IMDb http://someurl,everyone,#excited,,,
es,814534285248053248,814534285248053248,2016-12-29T18:11:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",17435513,Instagram,#excited #Smudgie #songwriting #katyperry #song #brewing #music #batcave #day🎶❤️💃🏻 @ Toronto... http://someurl,everyone,#excited,"{'place_id': '3797791ff9c0e4c6', 'coordinates': {'type': 'Point', 'coordinates': [-79.3464, 43.6479]}}",,
pt,814497416531603456,814497416531603456,2016-12-29T15:44:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",606671831,Twitter for Android,I am Supercalifragilisticexpialidocious 😅 #Happy #love #smile #funny #TX #excited #life MC http://someurl,everyone,#excited,,,
es,813872575730384904,813873569394491392,2016-12-27T22:25:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2295947412,Twitter for Android,@someuser espanholada tonight #happy #excited #bestnight,everyone,#excited,,"[{'type': 'replied_to', 'id': '813873181677289472'}]",714242283743408130
pt,813788734957056000,813788734957056000,2016-12-27T16:48:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2220187170,Instagram,#StarWars #Battlefront #Excited #Gamer Eventualmente estará listo😍 http://someurl,everyone,#excited,,,
pt,813739096472371200,813739096472371200,2016-12-27T13:31:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",300878018,Twitter for iPhone,Mt Apo 2017 #excited,everyone,#excited,,,
pt,813468397828718593,813468397828718593,2016-12-26T19:35:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",184000497,Instagram,Que diferença faz??| Pisou em algo??| | #happy #smile #fun #instahappy #sohappy #happier #excited... http://someurl,everyone,#excited,"{'place_id': '97bcdfca1a2dca59', 'coordinates': {'type': 'Point', 'coordinates': [-43.2167, -22.9833]}}",,
pt,813117876626460673,813404320754495489,2016-12-26T15:21:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",617229952,Twitter Web Client,"@someuser SIMMM! Vai ser muito bom, regado de muita prosperidade 🙏  #excited",everyone,#excited,,"[{'type': 'replied_to', 'id': '813402608937431040'}]",1853169884
pt,813253551602466816,813253551602466816,2016-12-26T05:22:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2910875305,Facebook,BORA| #excited,everyone,#excited,,,
es,813000519664840704,813000519664840704,2016-12-25T12:36:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",364160626,Instagram,SSSSSSSSSANTAAAAAAA!!!!!!| 🎅🎅🎅🎅🎅🎅| #christmas #santa #tree #presents #excited http://someurl,everyone,#excited,,,
