lang,reply_settings,source,public_metrics,created_at,text,conversation_id,id,author_id,search_query,in_reply_to_user_id,referenced_tweets,geo
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T13:36:51.000Z,Just got home from Baclaran. Mauli gid kami sa Antique!❤| #vacationleave #excited,814827594361077760,814827594361077760,178338040,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T12:58:02.000Z,May masayang bata na naman sa End of January ☺☺☺☺☺☺☺ #Excited,814817825751638016,814817825751638016,970105826,#excited,,,
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T12:25:14.000Z,Naks..hihihi #excited😍 #soon❤ #family👪 http://someurl,814809570589585409,814809570589585409,4771827547,#excited,,,
tl,everyone,Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T09:28:12.000Z,infer naman sa mga teasers talaga.. di puchu-puchu lang.. #excited,814765018180886528,814765018180886528,39478626,#excited,,,
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T09:14:55.000Z,Goodbye Cebu! | Ang pagbabalik ni Ghera the Explorer. | #gheratravels #travels #excited http://someurl,814761675673006081,814761675673006081,72720772,#excited,,,
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T08:12:59.000Z,@someuser Hennz! San ka naa? #Excited na kame sa #AskHenz,814746089836269569,814746089836269569,776710892150927360,#excited,766203035454476288,,
tl,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-30T00:02:16.000Z,@someuser Ndi napo kami makapaghintay ate jing #excited,814509544365621248,814622596670967808,808204943173644288,#excited,539584900,"[{'type': 'replied_to', 'id': '814509544365621248'}]",
tl,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-12-29T19:23:26.000Z,@someuser @someuser Nano 7.0 = January 12th #excited,814551930731163652,814552424371191809,32172045,#excited,87809737,"[{'type': 'replied_to', 'id': '814551930731163652'}]",{'place_id': '9883a4be0cbd497c'}
tl,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-29T19:20:15.000Z,#opera #maribor #turandot #excited #nightout @ Opera Balet SNG Maribor http://someurl,814551623615680512,814551623615680512,123312758,#excited,,,"{'place_id': '58f54743b1a62911', 'coordinates': {'type': 'Point', 'coordinates': [15.64390057, 46.55936359]}}"
tl,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-29T15:06:36.000Z,Kailan ba ipapalabas yung pelikula ni Derek Ramsay na Piracy is a Crime? Kasi puro trailer lang napapanood ko. #Excited,814487790670921728,814487790670921728,41779886,#excited,,,
