source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,geo,referenced_tweets,in_reply_to_user_id
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4659344672,原來坐快車| | 真的會吐🐰😆| | #Fast #cars #speed #games #Excited @ 大鵬灣國際賽車樂園 PEN BAY Motorsports Land http://someurl,813756196754636800,813756196754636800,zh,everyone,2016-12-27T14:39:30.000Z,#excited,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",176789761,#today #breakfast #milo #汤圆 #happy #wendesday #yummy #delicious #excited #lovely 冬至快乐！ http://someurl,811354715376087040,811354715376087040,zh,everyone,2016-12-20T23:36:53.000Z,#excited,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",176789761,#yummy #delicious #湯圓 #enjoy #happy #excited 宵夜，吃得好饱！ http://someurl,811215281951412224,811215281951412224,zh,everyone,2016-12-20T14:22:49.000Z,#excited,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",176789761,#japan #food #tamagoyaki #streetfood #enjoy #life #happy #sunday #excited 沒想到怎麼好吃！ @ Mid Valley... http://someurl,810461315223330816,810461315223330816,zh,everyone,2016-12-18T12:26:49.000Z,#excited,"{'place_id': '7b02fbddf4d9f2c6', 'coordinates': {'type': 'Point', 'coordinates': [101.67717932, 3.11776618]}}",,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",176789761,#morning #happy #wednesday #breakfast #donuts #excited #working #day 吃饱了，就要努力做工 @ Big Apple... http://someurl,808818380325015553,808818380325015553,zh,everyone,2016-12-13T23:38:23.000Z,#excited,"{'place_id': 'f30e31bb15041ef7', 'coordinates': {'type': 'Point', 'coordinates': [101.63225604, 3.2206422]}}",,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",208483540,呵呵，買到了| 誰敢來試試吖。。| | #Happy| #Excited http://someurl,807931579305754624,807931579305754624,zh,everyone,2016-12-11T12:54:33.000Z,#excited,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4812058627,明天体验圣神 #excited,807625269758468096,807625269758468096,zh,everyone,2016-12-10T16:37:23.000Z,#excited,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",176789761,#gift #china #lovely #happy #friday #excited 老闆中国旅遊买回來的手信，太捧了！ http://someurl,807249184034127872,807249184034127872,zh,everyone,2016-12-09T15:42:58.000Z,#excited,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3043434270,下雪了❄️但雨來的太急把積雪都沖融了。| 今日首發嚐雪任務失敗😩| #snow #excited #freeze #winter http://someurl,805809049694568448,805809049694568448,zh,everyone,2016-12-05T16:20:23.000Z,#excited,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",4812058627,在这虽然没有下过雪 | 这并不代表没有圣诞 ! | #EXCITED #CHRISTMAS #CAROLING,803208763352039424,803208763352039424,zh,everyone,2016-11-28T12:07:46.000Z,#excited,,,
