source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,in_reply_to_user_id,geo,referenced_tweets
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2868853186,Leider wird es.doch nix mit besserem Internet und wird vorerst alles so bleiben tut mir leid #sadness #angry #badday,814847944281255936,814847944281255936,de,everyone,2016-12-30T14:57:43.000Z,#angry,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",272865028,"Ich bin heute so schlecht gelaunt, aus mir könnte man min. fünf Disney-Bösewichte machen... #angry #gereizt",814089284504403968,814089284504403968,de,everyone,2016-12-28T12:43:05.000Z,#angry,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1168581818,@someuser Der Kleine Lord wird um 10 Minuten verschoben. Eine wichtige Person muss gestorben sein. #angry Was soll das: Primetime für den Depp?,812377503360761856,812377503360761856,de,everyone,2016-12-23T19:21:04.000Z,#angry,556842058,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",93940706,Fahndung nach Tunesier #Breitscheidplatz Als Gefährder eingestuft MIT Duldung und darf sich frei im Land bewegen #wütend #angry #sprachlos,811527002012483584,811527002012483584,de,everyone,2016-12-21T11:01:29.000Z,#angry,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2442462627,Schleichts eich olle. #angry,811113267791806464,811113267791806464,de,everyone,2016-12-20T07:37:27.000Z,#angry,,{'place_id': '3078869807f9dd36'},
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",785199481746759680,Nix geileres wie wenn in der Wohnung nebenan dauerhaft gebohrt wird 😣 Schwarzarbeit geht eben nur an Wochenenden 😡😡😡 #angry #hate,810093796646092800,810093796646092800,de,everyone,2016-12-17T12:06:26.000Z,#angry,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2947811,"Hey @someuser : Wenn ihr nach der Anmeldung die Website wegen der Mailbestätigung sperrt, dann schickt auch eine raus!! #angry #wastemytime",809488291577917441,809488291577917441,de,everyone,2016-12-15T20:00:22.000Z,#angry,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",242063709,hentai tubeporn #angry pussy http://someurl,809460897085149184,809460897085149184,de,everyone,2016-12-15T18:11:31.000Z,#angry,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1548916566,michel viet porn #angry dragon porn http://someurl,809059910092787712,809059910092787712,de,everyone,2016-12-14T15:38:08.000Z,#angry,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",307323074,#angry dragon porn video julie bowen weeds sex http://someurl,807602742541905921,807602742541905921,de,everyone,2016-12-10T15:07:53.000Z,#angry,,,
