reply_settings,lang,conversation_id,author_id,public_metrics,id,text,source,created_at,search_query,in_reply_to_user_id,referenced_tweets,geo
everyone,de,814714224056352769,20713429,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814714224056352769,8ter Dienst am Stück reicht.                  #nurse #selfie #exhausted #annoyed #nightshift... http://someurl,Instagram,2016-12-30T06:06:22.000Z,#annoyed,,,
everyone,de,809087166076874752,1533788232,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",809087166076874752,"Leute die sagen ich tweete zu wenig, lernt zwischen den Tweets zu lesen.| #Improve #Annoyed",Twitter Web Client,2016-12-14T17:26:27.000Z,#annoyed,,,
everyone,de,803625805007896576,96801858,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",803625805007896576,Eduroam op PXL zo traaaag... :-( #annoyed,Twitter Web Client,2016-11-29T15:44:57.000Z,#annoyed,,,
everyone,de,802924057284878338,137327750,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",802924057284878338,"Ich versteh nicht wieso sich Win7 von DVD installieren lässt, aber Win10 nicht vom USB-Stick. #annoyed",Twitter for iPhone,2016-11-27T17:16:27.000Z,#annoyed,,,
everyone,de,799644764584996868,2897712861,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",799644764584996868,Wieso chönd gwüssi lüt ned ihres ghirn ischalte #annoyed,Twitter for Android,2016-11-18T16:05:43.000Z,#annoyed,,,
everyone,de,797341443291496448,747829748752125953,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",797341443291496448,"Sogar eine Arbeitskollegin hat gesagt, dass ich heute echt fertig aussehe. Ich hasse es, krank zu sein.| #annoyed| #needsleep",Twitter for Android,2016-11-12T07:33:08.000Z,#annoyed,,,
everyone,de,794150633666412544,2837950822,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",794150633666412544,"Wollte mich eigentlich endlich mal bei @someuser anmelden, aber die Bestätigungs-Mail kommt auch beim 20. Mal senden nicht an😠| #wtf #annoyed",Twitter Web Client,2016-11-03T12:14:00.000Z,#annoyed,,,
everyone,de,790787482514296832,557582434,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",790787482514296832,Ich hasse es auf Handwerker warten zu müssen .... können die nicht einmal dann kommen wann sie kommen sollen ... #annoyed,Twitter Web Client,2016-10-25T05:30:02.000Z,#annoyed,,,
everyone,de,789505470134300672,2213085913,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789505470134300672,Inktober 16 : wet #inktober #inktober2016 #wet #art #artist #draw #drawing #annoyed #what? http://someurl,Instagram,2016-10-21T16:35:47.000Z,#annoyed,,,
everyone,de,788555367798026240,788544498104020993,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",788555367798026240,Kaleb died #annoyed,Twitter for iPhone,2016-10-19T01:40:24.000Z,#annoyed,,,
everyone,de,784343004190572544,2179192542,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",784343004190572544,@someuser @someuser 10CHF #auftragspauschale für 2min Buchung am Schalter???Das macht mich sauer!! #servicefee #sbb #annoyed,Twitter for iPhone,2016-10-07T10:41:59.000Z,#annoyed,77270181,,
everyone,de,781597046021230593,747829748752125953,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",781597046021230593,"Ich habe eine natürliche Abneigung gegen Attentionwhores. Dont try to hard, gurl. #annoyed",Twitter for Android,2016-09-29T20:50:31.000Z,#annoyed,,,
everyone,de,781459624541188096,11801332,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",781459624541188096,Kleingeister #annoyed  http://someurl,Twitter for iPhone,2016-09-29T11:44:27.000Z,#annoyed,,,
everyone,de,780753727871389696,1219182902,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",780753727871389696,Kann man das Während du weg warst Das könnte dir gefallen etc. irwie abschalten? #twitter #settings #annoyed,Twitter for Android,2016-09-27T12:59:29.000Z,#annoyed,,,
everyone,de,778838509562032128,1360126668,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",778838509562032128,haare sind so lang geworden >< #annoyed,Twitter for Android,2016-09-22T06:09:05.000Z,#annoyed,,,
everyone,de,778585125995089920,38401057,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",778586866274689024,@someuser is etwa schon wieder dieser Schwachsinn von Steak und Blowjob Tag oder wie? #annoyed,TweetDeck,2016-09-21T13:29:09.000Z,#annoyed,1255219932,"[{'type': 'replied_to', 'id': '778586069998731264'}]",
everyone,de,776150266118832128,2281085899,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",776150266118832128,Aufgrund von Bauch aua geh ich jetzt schon ins Bett. #FeelsBadMan #blödesBauchaua #annoyed,Twitter for Windows,2016-09-14T20:06:58.000Z,#annoyed,,,
everyone,de,769895711764803584,948567026,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",769895711764803584,kann man matte displays glänzend machen? >.> #annoyed,Twitter Web Client,2016-08-28T13:53:36.000Z,#annoyed,,,
everyone,de,766220675602317312,22711964,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",766220675602317312,#Internet wird überbewertet! Danke  @someuser #BackToBasics #DoWhatYouCant #annoyed,Twitter for iPhone,2016-08-18T10:30:19.000Z,#annoyed,,,{'place_id': 'e99b714fe65be4fb'}
everyone,de,762134184097755136,1012628251,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",762134184097755136,#annoyed#feedup#sickifbullshit!!!,Twitter for iPhone,2016-08-07T03:52:03.000Z,#annoyed,,,
everyone,de,759726471610896385,44837274,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",759726471610896385,"was soll man denn machen bei den ganzen Ausländern, homosexuellen und Schmarotzern? | | Das Maul halten und sich verpissen? | | #annoyed",Twitter for Android,2016-07-31T12:24:40.000Z,#annoyed,,,
everyone,de,759374775722643456,3141942916,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",759374775722643456,Just went on a 35 min walk and caught zero Pokémon #annoyed,Twitter for iPhone,2016-07-30T13:07:09.000Z,#annoyed,,,
