geo,public_metrics,created_at,id,text,reply_settings,conversation_id,source,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id
"{'coordinates': {'type': 'Point', 'coordinates': [90.37293434, 23.79704681]}, 'place_id': '001aff55522d96c9'}","{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2016-12-07T15:34:05.000Z,806522175045832705,"#Fantastic #tea #time #aweaome #kazipara #kazi_hotel #testy @ Kazipara । কাজীপাড়া, মিরপুর, ঢাকা । http://someurl",everyone,806522175045832705,Instagram,2311029625,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-10-09T17:51:29.000Z,785175869610455040,"##ক্রিকেট অনিশ্চয়তার চরম সত্য, তা আরও একবার প্রমাণ করলো #বাংলাদেশ। | | #Fantastic #Victory !!! #Mind #Blowing... http://someurl",everyone,785175869610455040,Facebook,1532950574,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-06-24T16:00:03.000Z,746372322106314752,মেসি? কে অথবা কি? | | #Agressive | #Angry| #Adamant| #Beautiful| #calm| #cute| #Dazzling | #Efficient| #Fantastic | #Great... http://someurl,everyone,746372322106314752,Facebook,3305671442,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-28T22:15:25.000Z,725810677181456389,"ছোট, মজবুত এবং ক্লিয়ার লাউড মিউজিক!| | শাওমির পোর্টেবল ব্লুটুথ স্পিকা ... #invention #fantastic #gadget",everyone,725810677181456389,137 Social Rabbit,4257566115,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-26T14:10:45.000Z,724963933107396608,আর মাত্র কয়েক ঘণ্টা বাকি!| | সবাইকে অশেষ ধন্যবাদ আমাদের নতুন ওয়েবসাইট এ এক ঝা ... #wow #fantastic #cool http://someurl,everyone,724963933107396608,137 Social Rabbit,4257566115,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-07T23:03:18.000Z,718212583807979520,ছবিতে ক্লিক করে ঘরে বসেই আপনার পছন্দের পণ্য অর্ডার করুন। পণ্য হাতে ... #fantastic #technology #absurd http://someurl,everyone,718212583807979520,137 Social Rabbit,4257566115,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-05T10:37:38.000Z,717300154399858688,ভাবুনতো এর চেয়ে কমদামে কোনো কিছু কি পাওয়া সম্ভব ? আপনার আপনজনকে উপহা ... #technology #fantastic #cool,everyone,717300154399858688,137 Social Rabbit,4257566115,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-03T01:22:05.000Z,716435569270792192,"যেকোন কিছু যখন তখন,, সেলাই করেই দেখুন।| | 4 IN 1 MINI SEWING MACHINE| | 1 ... #wow #technology #fantastic",everyone,716435569270792192,137 Social Rabbit,4257566115,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-04-02T15:53:26.000Z,716292463661592576,"নূতন সব ফিচার, ফিঙ্গার প্রিন্ট আনলক, বিশাল ব্যাটারি, দুর্দান্ত ক্যা ... #fantastic #gadget #invention http://someurl",everyone,716292463661592576,137 Social Rabbit,4257566115,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-03-20T12:06:54.000Z,711524414156836864,#Diplomatic | | #Friendly| | #Fantastic| | #Powerful| | #Courageous| | #faithful | | #energetic | আমি এত ভালো কেমনে কি ??? http://someurl,everyone,711524414156836864,Facebook,4236357700,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-18T19:14:03.000Z,700397888195686400,আপনাদের রিভিউ রেটিং-এ আমাদের অবস্থান। ২৫৭ টি ফাইভ স্টার আর ১০০ টি ওয়ান স্টার। ... #ios #fantastic #iphone http://someurl,everyone,700397888195686400,146 Social Rabbit,3036808727,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-17T05:57:48.000Z,699835115405500416,টোনা-টুনি উতসবের গ্যাজেট কম্বো অফার চলছে এখনো! মাত্র ২৮০০ টাকায় পাচ্ছ ... #wow #technology #fantastic http://someurl,everyone,699835115405500416,137 Social Rabbit,4257566115,bn,#fantastic,,
,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-02-17T04:50:56.000Z,699818287731994625,"টনা-টুনি অফারে রেডমি নোট থ্রি, সঙ্গে পিস্টন থ্রি, ব্যাক কাভার ও টেম্পারড গ ... #crazy #wow #fantastic http://someurl",everyone,699818287731994625,357 Social Rabbit,4819500808,bn,#fantastic,,
