source,conversation_id,author_id,text,reply_settings,created_at,id,public_metrics,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
Twitter Web Client,800770170251710466,375888588,শব্দ নিয়ে খেলায় অনেক মজা । | #Feeling #Great,everyone,2016-11-21T18:37:40.000Z,800770170251710466,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",bn,#great,,,
Facebook,796021850014937088,171559081,#Great nd #Brave Decisions #PM_Modi just চুমু চুমু চুমু অনেক দিন থেকে ভাবছিলাম আপনি সেটা বাস্তব করলেন... পুরাতন... http://someurl,everyone,2016-11-08T16:09:33.000Z,796021850014937088,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#great,,,
Facebook,756137044980539392,1361974537,আজকে গিয়েছিলাম Notification এর জন্য ......! শুনলাম কেউ কেউ নাকি JOB করতেও আছে । | #great | #Khaleduzzaman Rahel —... http://someurl,everyone,2016-07-21T14:41:34.000Z,756137044980539392,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#great,,,
Facebook,751620280292782080,1940044176,বাড়ি থেকে বের হবো।| ##rainstart| ##great| :(,everyone,2016-07-09T03:33:33.000Z,751620280292782080,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#great,,,
Facebook,746372322106314752,3305671442,মেসি? কে অথবা কি? | | #Agressive | #Angry| #Adamant| #Beautiful| #calm| #cute| #Dazzling | #Efficient| #Fantastic | #Great... http://someurl,everyone,2016-06-24T16:00:03.000Z,746372322106314752,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#great,,,
Facebook,734328193922924544,1962555745,দেশে ইন্টারন্যাশনাল ব্যক্তিত্ব আনার ধুম পড়ে গেল! | #congo| #Coool| #Great!!!,everyone,2016-05-22T10:20:59.000Z,734328193922924544,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#great,,,
Facebook,712496296863600640,2816978220,#Great News | তাসকিনের নিষেধাজ্ঞা প্রত্যাহার,everyone,2016-03-23T04:28:49.000Z,712496296863600640,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#great,,,
Twitter for iPhone,698822871167033345,3282275006,🏏🏏 অনূর্ধ্ব ১৯ বিশ্বকাপের ম্যান অব দ্য টুর্নামেন্ট হয়েছেন বাংলাদেশের অধিনায়ক মেহেদী হাসান মিরাজ| #Great #Proud,everyone,2016-02-14T10:55:30.000Z,698822871167033345,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",bn,#great,{'place_id': '00c9dce9572c38d2'},,
Mobile Web (M2),698820327921491969,880385257,অনূর্ধ্ব ১৯ বিশ্বকাপের ম্যান অব দ্য টুর্নামেন্ট হয়েছেন বাংলাদেশের অধিনায়ক মেহেদী হাসান মিরাজ| #Great #Proud,everyone,2016-02-14T10:45:24.000Z,698820327921491969,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",bn,#great,,,
Twitter for Android,697059669462757376,55301164,"মাথাপিছু আয় বৎসরে ১২৪ ডলার বেশী হয়ে ১৩১৪ ডলারে উন্নিত হলো । চারটিখানি কথা না, বড় ধরণের অর্জনই বলা চলে ।| http://someurl| #Great",everyone,2016-02-09T14:09:10.000Z,697059669462757376,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#great,{'place_id': '001aff55522d96c9'},,
Facebook,681422337900556289,781133965,আমার একটা লাগবে ... :3 #great #creative http://someurl,everyone,2015-12-28T10:32:00.000Z,681422337900556289,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#great,,,
Twitter Web Client,647019495836381184,819130177,ভাই-বোনের কীর্তিতে চোখ কপালে দুনিয়ার| http://someurl| #RollerSkaters #Billy #Emily #wheelie #Great #EiSamay http://someurl,everyone,2015-09-24T12:07:23.000Z,647019495836381184,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#great,,,
