created_at,source,public_metrics,text,conversation_id,author_id,id,reply_settings,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
2016-07-06T17:27:12.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","কুয়াকাটা আসলে,,,| #রং&রিং#দুইটিই| #free| #hopeful| #lol#to| @someuser http://someurl",750742909461278720,744017414531194880,750742909461278720,everyone,bn,#hopeful,,,
2016-07-05T20:05:30.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","শেখার কোনও শেষ নেই আর পাকার কোনো বয়স নেই, তাই পাকুন আর শিখুন ॥| #2G #internet #Patience #Hopeful #employment http://someurl",750420360235978753,3366291135,750420360235978753,everyone,bn,#hopeful,,,
2016-03-26T03:24:47.000Z,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",প্রতি রাতেই একটা সুন্দর সকালের প্রত্যাশায় নিদ্রায় যাই !| কিন্তু অধিকাংশ সকালই আর সুন্দর বা অনুকূলে থাকে না !| | #Hopeful,713567345168359425,1181171480,713567345168359425,everyone,bn,#hopeful,{'place_id': 'e7a411bac68f57b1'},,
2016-03-06T18:48:30.000Z,Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",অনেকেই লিখেছে Its Over! | | No Dear ! Its not over yet ... টাইগারদের ফাইনাল ফাইটিং তো সবে শুরু !! #Hopeful :D,706552048473530368,2856280637,706552048473530368,everyone,bn,#hopeful,,,
2016-03-06T16:51:12.000Z,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","বাংলাদেশ ১৫ ওভার শেষে ১২০/৫ , ইন্ডিয়ারা কতো রানে বুক করলে ভাল হয় guys, tell me :D| #Feeling #Hopeful | #Best #Is... http://someurl",706522532095139840,230729509,706522532095139840,everyone,bn,#hopeful,,,
2015-10-30T19:39:37.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","পেছনে তাকিয়ে হাঁটলে হোঁচট অনিবার্য। সোজা তাকিয়ে গটগটিয়ে হেঁটে যাও মেয়ে, পেছনে কেউ নেই,কিচ্ছু নেই!| #FeelingHappy #LoveMyLife #Hopeful",660179268182257664,4065620898,660179268182257664,everyone,bn,#hopeful,,,
2015-10-30T07:29:09.000Z,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",সিদ্ধান্তটা ভুল ছিল উপলদ্ধি করলে যেকোনো মুহূর্ত থেকেই জীবন কে নতুন করে শুরু করা যায়!! :)| #FeelingHappy #LoveMyLife #Hopeful,659995439249272832,4065620898,659995439249272832,everyone,bn,#hopeful,,,
2015-09-03T16:00:25.000Z,Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",এক ঘন্টার পড়ার পর আধা-ঘন্টা মোবাইল টিপানোর অভ্যাসটা যেদিন যাবে সেদিন-ই মনে হয় ভালো স্টুডেন্ট হবো। #hopeful :(,639467993341165570,969882787,639467993341165570,everyone,bn,#hopeful,,,
2015-06-12T21:36:44.000Z,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",তবুও আশা থাকুক নিকোটিনে ক্ষত হওয়া বুকে.....!!|  #Hopeful,609474438577287169,1921574858,609474438577287169,everyone,bn,#hopeful,,,
2015-03-26T06:43:45.000Z,Mobile Web (M2),"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@someuser ওইদিন মাঠে ৬এর বন্যা হইসিলো!আজকেও যেন ওয়াটসন এইটাই করে। #hopeful,580979511669358593,478442960,580983460136779777,everyone,bn,#hopeful,,"[{'type': 'replied_to', 'id': '580981413584855040'}]",532607094
