source,conversation_id,author_id,reply_settings,id,text,created_at,public_metrics,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
Twitter Web Client,812314399385886721,65438891,everyone,812314399385886721,"যদি আকাশের গায়ে কান না পাতি, তোমার কথা শুনতে পাবোনা| যদি বাতাসকে আমি ছুঁয়ে না দেখি, তোমার শরীর স্পর্শ পাবোনা।| তোমার কথা শুনতে পাবোনা..#Sad",2016-12-23T15:10:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Facebook,807236842236088320,3519664273,everyone,807236842236088320,নারী জাতি হেডফোনের মত...| যতই ভাজ করে রাখি না কেন গিট্টা লাগবেই :( | | #Sad but #True 😒,2016-12-09T14:53:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Twitter for Android,804234713657393152,768559150590754816,everyone,804234713657393152,মাঝে মাঝে মনেহয় twitter কবির অভাব নাই but কবিতা পড়ার লোকের বড়ই অভাব #sad,2016-12-01T08:04:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Facebook,804197096316370944,2951826030,everyone,804197096316370944,"মুলত আবাল তারাই যারা #sad পোস্ট এও #Like দেয়,,,,!!!",2016-12-01T05:35:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Twitter Web Client,799161857017643008,739053070932287488,everyone,799161857017643008,#SAD NEWS@someuser ৰাজ্যপাল এছ কে সিনহা আৰু নাই| অসমৰ ৰাজ্যপাল আছিল এছ কে সিনহা | দিল্লীত দেহাৱসান প্ৰাক্তন ৰাজ্যপালজনৰ,2016-11-17T08:06:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Twitter for Android,798129144772997120,3282275006,everyone,798129144772997120,নাফীস-মালানের তাণ্ডবে বরিশালের সহজ জয়!!!! #sad Chittagong,2016-11-14T11:43:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",bn,#sad,,,
Twitter for Windows,797660603917602816,2429928446,everyone,797660603917602816,"ব্যাঙ্কের লাইনে হার্ট অ্যাটাক, হাসপাতালে মৃত্যু কৃষকের http://someurlWhos responsible here @someuser ? Nobody I guess #sad.",2016-11-13T04:41:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Instagram,785839114075664384,2463853416,everyone,785839114075664384,শুভ বিজয়ার প্রীতি শুভেচ্ছা ও অভিনন্দন...| #pujo #bijoya #lastday #dugga #festive #sad http://someurl,2016-10-11T13:46:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Mobile Web (M2),776621749731491840,2756175334,everyone,776621749731491840,এইভাবে খেলাটা নষ্ট হবে চিন্তাও করিনাই।। #sad,2016-09-16T03:20:28.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",bn,#sad,,,
Twitter for Android,770795275120062464,715847387584073728,everyone,770795275120062464,"আনন্দ ভাগকরলে কমে না,| বরং দুঃখ ভাগ করলে কমে যায়।| কিছু মানুষ নিরন্তর ব্যাথা দিয়ে থাকে,|  নিরবে হৃদয়ের উৎকৃষ্ট জায়গায়।| | filling #Sad",2016-08-31T01:28:08.000Z,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 41, 'quote_count': 0}",bn,#sad,,,
Twitter for Android,766721577740279808,2790034738,everyone,766721577740279808,"আমি বৃষ্টি মেখেছি,| আমি ভিজে গেছি অবিরল | আমার দুঃখ গুলো কাগজের নৌকা,|  কেউ দেখেনি চোখের জল 😢 (m@someuser #kobita #sad",2016-08-19T19:40:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Twitter for Android,764769181979975680,715847387584073728,everyone,764769181979975680,"নিষ্ঠুর পৃথিবীর নিষ্ঠুর ধারা,| সমাজটা আজ মানবতার অবক্ষয়ে ভরা।| মানুষের মন কেন এতো বিষাক্ত?| সমাজের নিষ্ঠুরতায় আমি মর্মাহত।| | feeling #Sad",2016-08-14T10:22:36.000Z,"{'retweet_count': 3, 'reply_count': 5, 'like_count': 57, 'quote_count': 0}",bn,#sad,,,
Twitter Web Client,764372365157380096,164176032,everyone,764372365157380096,"হৃদি ভেসে যায় অলকানন্দা জলে| অতল, তোমার সাক্ষাত পেয়ে চিনতে পারিনি বলে | হৃদি ভেসে গেল অলকানন্দা জলে| করো আনন্দ আয়োজন করে পড়ো | #luv #sad",2016-08-13T08:05:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Instagram,759329498026221568,244932681,everyone,759329498026221568,ফিলিং - মন খারাপ ।| #zishaoun | #selfie| #photo| #insta| #bd| #sad| #fb http://someurl,2016-07-30T10:07:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Twitter Web Client,757976743072309248,3145354891,everyone,757976743072309248,তুমি যদি আমায় একবার আমায় বুঝতে!| এত দুঃখ আমি রাখবো কোথায়?| #SAd,2016-07-26T16:31:52.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 1}",bn,#sad,{'place_id': '9f4e63426a3f3da2'},,
Facebook,755907426046578688,2253849156,everyone,755907426046578688,রিলেশন কি তখন বুঝা যায় | যখন সেই মানুষেক সাথে কথা হয় না ।| | #SaD,2016-07-20T23:29:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",bn,#sad,,,
Facebook,755673751140835328,2253849156,everyone,755673751140835328,"যদি কোনো মেয়ে বলে , তুমি আমার থেকে ভালো মেয়ে ডিসার্ব করো | তাহলে বুঝবেন আপনার দিন শেষ,সে আপনার থেকে ভালো একজন পেয়ে গেছে!! | #sad",2016-07-20T08:00:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",bn,#sad,,,
Twitter Web Client,754030819031658497,3033259416,everyone,754030819031658497,সুখ আর দুঃখ দুটিকে এক পাল্লায় মাপলে; দুঃখের পাল্লাটা অনেক ভারী হবে| সুখ সহ্য করা সহজ কিন্তু দুঃখ সহ্য করা অনেক কটিন ;| #Happy #Sad,2016-07-15T19:12:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",bn,#sad,,,
Twitter Web Client,754009080448950272,594676291,everyone,754009080448950272,#salman #contro #sad বক্তব্য ‘বিকৃত’ হওয়ায় ব্যথিত সলমন http://someurl http://someurl,2016-07-15T17:45:48.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",bn,#sad,,,
