id,source,conversation_id,reply_settings,public_metrics,created_at,text,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id,geo
814983038530715648,GrabInbox,814983038530715648,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:54:32.000Z,3516 Click: http://someurl #fuck #fucks #porn #video #videos #vidz #XXX #free #fine #feel #Fucking #Fucked #fantasy #fantastic,544796882,en,#fantastic,,,
814983010487504897,GrabInbox,814983010487504897,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:54:26.000Z,3515 Click: http://someurl #fuck #fucks #porn #video #videos #vidz #XXX #free #fine #feel #Fucking #Fucked #fantasy #fantastic,544796882,en,#fantastic,,,
814980790085881857,GrabInbox,814980790085881857,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:45:36.000Z,1818 Click: http://someurl #fuck #fucks #porn #video #videos #vidz #XXX #free #fine #feel #Fucking #Fucked #fantasy #fantastic,516085584,en,#fantastic,,,
814979979129868297,TweetCaster for Android,814979979129868297,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:42:23.000Z,#Fantastic RT @someuser A Mormon Tabernacle Choir member is resigning: the group agreed to sing for Trump  http://someurl,24022998,en,#fantastic,,,
814973221359521793,GrabInbox,814973221359521793,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:15:32.000Z,3513 Click: http://someurl #fuck #fucks #porn #video #videos #vidz #XXX #free #fine #feel #Fucking #Fucked #fantasy #fantastic,544796882,en,#fantastic,,,
814973193047986176,GrabInbox,814973193047986176,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:15:25.000Z,3512 Click: http://someurl #fuck #fucks #porn #video #videos #vidz #XXX #free #fine #feel #Fucking #Fucked #fantasy #fantastic,544796882,en,#fantastic,,,
814972614275989504,Twitter for Android,814970194078605313,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:13:07.000Z,@someuser @someuser @someuser @someuser Got a place here called mosquito Creek grocery that makes bacon. #Fantastic,554105398,en,#fantastic,"[{'type': 'replied_to', 'id': '814970711034970112'}]",554105398,
814971976649469952,GrabInbox,814971976649469952,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:10:35.000Z,1816 Click: http://someurl #fuck #fucks #porn #video #videos #vidz #XXX #free #fine #feel #Fucking #Fucked #fantasy #fantastic,516085584,en,#fantastic,,,
814965508315447297,Twitter for iPad,814965508315447297,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:44:53.000Z,"Sir Andy Murray well deserved #fantastic news, many many congratulations",31171303,en,#fantastic,,,
814963404913999877,GrabInbox,814963404913999877,everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T22:36:31.000Z,3511 Click: http://someurl #fuck #fucks #porn #video #videos #vidz #XXX #free #fine #feel #Fucking #Fucked #fantasy #fantastic,544796882,en,#fantastic,,,
