id,conversation_id,public_metrics,text,reply_settings,created_at,author_id,source,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
814948245797531648,814948245797531648,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",¿Cuántos más SM? ¿CUÁNTOS MÁS? 😣😣😬  #Trap y #Fantastic #JusticeForHenryLau,everyone,2016-12-30T21:36:17.000Z,2660677380,Twitter for Android,es,#fantastic,,,
814946165263396865,814946165263396865,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Seguimos en tendencia, reproduzcamos #Trap y #Fantastic #SupportHenryLauMusic #JusticeForHenryLau http://someurl",everyone,2016-12-30T21:28:01.000Z,309716045,Twitter Web Client,es,#fantastic,,,
814943414273843200,814943414273843200,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Si queremos hacer algo por @someuser reproduzcamos #Trap y #Fantastic #JusticeForHenryLau,everyone,2016-12-30T21:17:05.000Z,3389887781,TweetDeck,es,#fantastic,,,
814940208944791552,814940208944791552,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Chicas si queremos hacer algo por @someuser  reproduzcan #Fantastic and #Trap ! | #JusticeForHenryLau #WeLoveYouHenry #StayStrongHenry,everyone,2016-12-30T21:04:21.000Z,814146577996595200,Twitter for Android,es,#fantastic,,,
814939357618393088,814939357618393088,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Reproduzcan #Fantastic http://someurl| #JusticeForHenryLau| #JusticeForHenry| #SMStopHurtingHenry,everyone,2016-12-30T21:00:58.000Z,715650342915059712,Twitter for Android,es,#fantastic,,,
814937684770754560,814937684770754560,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Reproduzcan #Fantastic #JusticeForHenryLau #SupportHenryLauMusic| http://someurl,everyone,2016-12-30T20:54:19.000Z,3389925082,TweetDeck,es,#fantastic,,,
814937452477632512,814937452477632512,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Que podemos hacer para apoyar a Henry:| -Sigan con #JusticeForHenryLau| -Vean #Trap y #Fantastic | -Compren en ITunes u otro portal sus discos,everyone,2016-12-30T20:53:24.000Z,3389808399,TweetDeck,es,#fantastic,,,
814937354033131520,814937354033131520,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",Reproduzcan #Trap y #Fantastic apoyemos su música #JusticeForHenryLau #SupportHenryLauMusic,everyone,2016-12-30T20:53:00.000Z,309716045,TweetDeck,es,#fantastic,,,
814937153205665792,814937153205665792,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","ELFStrings reproduzcan #Fantastic tiene 14,058,398 vistas | #SupportHenryLauMusic #JusticeForHenryLau",everyone,2016-12-30T20:52:12.000Z,3289104822,TweetDeck,es,#fantastic,,,
814936665294860292,814936665294860292,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Si queremos apoyar a Henry reproduzcamos sus videos #Trap y #Fantastic #SupportHenryLauMusic #JusticeForHenryLau,everyone,2016-12-30T20:50:16.000Z,3389808399,TweetDeck,es,#fantastic,,,
