source,public_metrics,author_id,text,id,conversation_id,lang,reply_settings,created_at,search_query,in_reply_to_user_id,referenced_tweets,geo
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",751801540353126400,#fantastic 4 porn sarah parish naked http://someurl,814897411298656256,814897411298656256,hi,everyone,2016-12-30T18:14:17.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",4825258740,@someuser @someuser | Bolo kya karu piche Khof hai aage mot hai khadi. .. #superb #fantastic 👌👌👌👌👌 acting to baap hai ! http://someurl,813417214619488256,813417214619488256,hi,everyone,2016-12-26T16:12:31.000Z,#fantastic,722430636540211200,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",743105795458400256,@someuser @someuser | दिल और दिमाग इन दोनो मे होनेवाला दंगल..🙌🙌👌👌🎉🎉| #fantastic #Outstanding #Amazing | #dangal Must watch 😘😘❤❤,812770054362304513,812770054362304513,hi,everyone,2016-12-24T21:20:56.000Z,#fantastic,88856792,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1067754391,This Guy is Playing #Fantastic role in #Clean_India_Campaign | भारत स्वच्छता अभियान मे इस लडके का बोहोत ही बडा... http://someurl,810418845143957504,810418845143957504,hi,everyone,2016-12-18T09:38:04.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808631958662168576,सलमान__कि__किक__और__मेरे #भा_pick__बोले_तो_super__hit 🇫🇦🇳🇹🇦🇸🇹🇨 ं🇸🇺🇵🇪 ★★ #Fantastic ★★ ★★ #Fabulous ★n★ ★★ #Awesome ★★ ★★ #Kadak ha ★★ ★★ #Z http://someurl,809815161662013440,809815161662013440,hi,everyone,2016-12-16T17:39:14.000Z,#fantastic,,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",742252310479278080,#Fantastic #feature #tablet #gadget| शानदार फीचर के साथ लांन्च हुआ #nuvision का नया टैबलेट| http://someurl http://someurl,807113460911738881,807113460911738881,hi,everyone,2016-12-09T06:43:39.000Z,#fantastic,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1645707097,@someuser #collaborate with yuki_nishim1990 #西村由紀江 #高山低谷 #fantastic #すごい http://someurl,799659476181663745,799659476181663745,hi,everyone,2016-11-18T17:04:10.000Z,#fantastic,302362369,,
Twitter for Android,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 16, 'quote_count': 2}",220405916,Agyi kuchoo poo ki Ammi jaan aur Abbu jaan ne mauke pe chauka b maar diya..Ambika ki nazron se bachna mushkil hi nhi namumkin h😂 #fantastic http://someurl,798203939485323264,798203939485323264,hi,everyone,2016-11-14T16:40:23.000Z,#fantastic,,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1200573703,regram gujjufilms | | #FANTASTIC 4😍 During #PEMIERE #LAVARI... http://someurl,797133813990227969,797133813990227969,hi,everyone,2016-11-11T17:48:05.000Z,#fantastic,,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3101816522,Party idhi premala party 🎈 | Jodi nuvu nenoka jodi 😍| Aadi padetham melody 🎵| #Fantastic #lyrics 📝🎶🎼 | Keep rocking adhi 😎 | @someuser,797110447816196096,797110447816196096,hi,everyone,2016-11-11T16:15:15.000Z,#fantastic,,,
