reply_settings,conversation_id,public_metrics,id,text,created_at,source,author_id,lang,search_query,referenced_tweets,geo,in_reply_to_user_id
everyone,814770773156102144,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",814770773156102144,Tim en Tom Veel Succes #Dakar2017 #Fan #Fantastic @someuser @someuser,2016-12-30T09:51:04.000Z,Twitter for Android,804763220149960704,nl,#fantastic,,,
everyone,813371399305826304,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",813371399305826304,Eerder opgenomen vandaag bekeken en beluisterd #fantastic http://someurl,2016-12-26T13:10:27.000Z,Twitter for iPhone,78888805,nl,#fantastic,"[{'type': 'quoted', 'id': '812674446553190400'}]",,
everyone,812668240006680576,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812668240006680576,Computer says yes.... voetjes say no.. #fantastic #xmas #shopping #alliwantforxmas @ Nebraska... http://someurl,2016-12-24T14:36:21.000Z,Instagram,81164969,nl,#fantastic,,"{'coordinates': {'type': 'Point', 'coordinates': [5.9259, 52.95743]}, 'place_id': 'c30f7c99f0509d46'}",
everyone,812003789234438144,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",812003789234438144,Wat waanzinnig mooi!!!! #gaaf #geweldig #super #fantastic http://someurl,2016-12-22T18:36:04.000Z,Instagram,577306381,nl,#fantastic,,,
everyone,811687019235655681,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811687019235655681,"#Christmas #christmastime in #Belgium #fantastic #place #antwerp  #antwerpen @ Antwerp, Belgium http://someurl",2016-12-21T21:37:20.000Z,Instagram,67881465,nl,#fantastic,,"{'coordinates': {'type': 'Point', 'coordinates': [4.4, 51.2167]}, 'place_id': '2a8a74486cd0d519'}",
everyone,810274065831358465,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810274065831358465,"#perfectpicture| #art| #fantastic| #light| #dope| #DePijp| #Amsterdam| #Sneakish020 @ Amsterdam,... http://someurl",2016-12-18T00:02:46.000Z,Instagram,3751008821,nl,#fantastic,,,
everyone,808636486425911296,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808636486425911296,#fantastic 4 nude naked moonmoon sen http://someurl,2016-12-13T11:35:36.000Z,Twitter Web Client,728215615,nl,#fantastic,,,
everyone,807535608960843777,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807535608960843777,"RT @someuser Vanavond naar @someuser vs Heerenveen voor een meet&greet, SUPER! #meidenvoetbal @someuser #fantastic #soccergirlz",2016-12-10T10:41:07.000Z,Twitter for Android,467663350,nl,#fantastic,"[{'type': 'retweeted', 'id': '807216352444514304'}]",,
everyone,807216352444514304,"{'retweet_count': 4, 'reply_count': 1, 'like_count': 9, 'quote_count': 0}",807216352444514304,"Vanavond naar @someuser vs Heerenveen voor een meet&greet, SUPER! #meidenvoetbal @someuser #fantastic #soccergirlz",2016-12-09T13:32:30.000Z,Twitter for Android,1715838576,nl,#fantastic,,,
everyone,806814327349084160,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",806814327349084160,Filmbuff gangsta🎥✨🔫| #japan #tokyo #mytokyo #club #film #movie #gang #gangsta #fantastic #3d... http://someurl,2016-12-08T10:55:00.000Z,Instagram,80525598,nl,#fantastic,,,
