id,referenced_tweets,conversation_id,public_metrics,text,reply_settings,created_at,author_id,source,lang,search_query,geo,in_reply_to_user_id
814960358188261376,"[{'type': 'quoted', 'id': '814788173360406528'}]",814960358188261376,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hahaha hj é aniversario dele o rei da #NBA o #fantastic #happybirthday @someuser 👑🎉👏😜 http://someurl,everyone,2016-12-30T22:24:25.000Z,4076680397,Twitter for Windows,pt,#fantastic,,
814386145735962624,,814386145735962624,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",maduras videos porno #fantastic c porn http://someurl,everyone,2016-12-29T08:22:42.000Z,522909996,Twitter Web Client,pt,#fantastic,,
814178743593959425,,814178743593959425,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Túnel!!!!!| #fantastic #wonderful #earth #world #travel #pic #picoftheday #nice #bañosdeaguasanta... http://someurl,everyone,2016-12-28T18:38:33.000Z,958981332,Instagram,pt,#fantastic,,
813945066234462209,,813945066234462209,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Volaré ☁| #Photography #Sky #Blue #Freedom #Infinity #Serenity #Beauty #Clouds #Tree #Leaves #Art #Grey #Cloudy #Nature #Natural #Fantastic http://someurl,everyone,2016-12-28T03:10:00.000Z,2638951201,Twitter for Android,es,#fantastic,,
813779344531329024,,813779344531329024,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",BRAVO!!!👏👏👏👏@someuser #fantastic,everyone,2016-12-27T16:11:29.000Z,2739467026,Twitter for Windows Phone,pt,#fantastic,,
813769113566937088,,813769113566937088,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Simplesmente belo 💙| #oporto #porto #portugal #douroriver #riodouro #home #love #fantastic... http://someurl,everyone,2016-12-27T15:30:50.000Z,566220874,Instagram,pt,#fantastic,,
813351572214345728,,813351572214345728,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Corrigindo, Silvio César: ESTE foi o melhor jogo da atual temporada e acho difícil algum superar | #Fantastic http://someurl",everyone,2016-12-26T11:51:40.000Z,919866050,Facebook,pt,#fantastic,,
812592209191178240,,812592209191178240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Quina delícia escoltar @someuser al @someuser #fantàstic,everyone,2016-12-24T09:34:14.000Z,802702147,Twitter for iPhone,pt,#fantastic,,
812240351159259136,,812240351159259136,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#fantastic porn tube porno star escorts http://someurl,everyone,2016-12-23T10:16:05.000Z,1458352772,Twitter Web Client,pt,#fantastic,,
811386284086349824,,811386284086349824,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","A noona se apaixonando pelo dongsaeng, e com razão, já que o dongsaeng em questão é o Ji Soo #Fantastic",everyone,2016-12-21T01:42:19.000Z,125839214,Twitter for Android,pt,#fantastic,,
811281037254860800,,811281037254860800,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Adoro! #Friends #wbstudiostourhollywood #fantastic #centralperk http://someurl,everyone,2016-12-20T18:44:06.000Z,68767195,Instagram,pt,#fantastic,,
810999810388066304,,810999810388066304,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",😍😍Um sonho essa bolsa da Chanel !!!!| #cool #cute #fantastic #style #trends #trend #fashion... http://someurl,everyone,2016-12-20T00:06:37.000Z,773753139958808576,Instagram,pt,#fantastic,,
810965302339059712,,810965302339059712,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}",Clarissa che #tiamo a Federico | Camilla che #tiamo a Riccardo| Noi #enjoy #fantastic #xmaswithyou #noi #hosceltolamore #scelgote #beyourself,everyone,2016-12-19T21:49:29.000Z,802664828141764608,Twitter for Android,it,#fantastic,,
810817542226923520,,810817542226923520,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",porno star escorts #fantastic porn tube http://someurl,everyone,2016-12-19T12:02:20.000Z,257892982,Twitter Web Client,pt,#fantastic,,
810599593591341056,,810599593591341056,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Depois do passeio de ônibus, cinema e café tem um fim do dia lindo! #beautiful #fantastic... http://someurl",everyone,2016-12-18T21:36:17.000Z,310831710,Instagram,pt,#fantastic,"{'coordinates': {'type': 'Point', 'coordinates': [-43.11185823, -22.90634549]}, 'place_id': '59373f0a295160e4'}",
810588485329494016,,810588485329494016,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Fantástico, que coisa maravilhosa! #magic #fantastic #belo #encantador #amei @ Wicked - Teatro... http://someurl",everyone,2016-12-18T20:52:09.000Z,128226789,Instagram,pt,#fantastic,"{'coordinates': {'type': 'Point', 'coordinates': [-46.6383539, -23.5539219]}, 'place_id': '68e019afec7d0ba5'}",
810558946545176576,,810558946545176576,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#fantastic 4 porn katarina vasilissa sex http://someurl,everyone,2016-12-18T18:54:46.000Z,145807853,Twitter Web Client,pt,#fantastic,,
810507776036315136,,810507776036315136,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#fantastic cc porn actores pornos http://someurl,everyone,2016-12-18T15:31:26.000Z,3240815736,Twitter Web Client,pt,#fantastic,,
809126099946967041,,809126099946967041,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Estudo antigo 🙂 #jeffmendes #mrjeff #studio #paint #painting #paisagem #fantastic #miamiart... http://someurl,everyone,2016-12-14T20:01:09.000Z,147544709,Instagram,pt,#fantastic,,
808914756618907651,,808914756618907651,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#fantastic porn tube porno series http://someurl,everyone,2016-12-14T06:01:21.000Z,149418071,Twitter Web Client,en,#fantastic,,
808362149579866112,,808362149579866112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Splendida #mattina a #marinadiragusa #sea #mare #fantastic #landscape #love #sicily #sicilia... http://someurl,everyone,2016-12-12T17:25:29.000Z,1617183318,Instagram,es,#fantastic,,
808317808308322309,,808317808308322309,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","😍 No centro da cidade, quem diria? #flower #pretty #fantastic #nature #surprise #wonderful http://someurl",everyone,2016-12-12T14:29:17.000Z,222321329,Instagram,pt,#fantastic,,
