source,conversation_id,author_id,text,reply_settings,created_at,id,public_metrics,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
Twitter Web Client,814280999009976323,585986605,#fantastic nude karate girls tube http://someurl,everyone,2016-12-29T01:24:53.000Z,814280999009976323,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Instagram,813436424598986752,40189300,#miko| chef.shindongmin x nansangbum| #fantastic #eel #food and #cook .| | #마늘로드 #manulroad #맛스타그램... http://someurl,everyone,2016-12-26T17:28:51.000Z,813436424598986752,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,#fantastic,"{'coordinates': {'type': 'Point', 'coordinates': [127.04902863, 37.52535588]}, 'place_id': '0190ea0c6981204e'}",,
neojurnal2015,812698578162425856,1331339334,MAGPUL #AK #furniture #is #plastic #really #that #fantastic #AhokIkhlas #KamiAhok http://someurl,everyone,2016-12-24T16:36:54.000Z,812698578162425856,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
neojurnal2015,811580493279936513,1331339334,MAGPUL #AK #furniture #is #plastic #really #that #fantastic #Trans7RumahUya1611 #KamiAhok http://someurl,everyone,2016-12-21T14:34:02.000Z,811580493279936513,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Twitter Web Client,810649282672021508,357642346,#fantastic 3d porn movies nudeindiangirlsinfo http://someurl,everyone,2016-12-19T00:53:44.000Z,810649282672021508,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
neojurnal2016,809766346477174784,1331339334,MAGPUL #AK #furniture #is #plastic #really #that #fantastic #November #KamiAhok http://someurl,everyone,2016-12-16T14:25:16.000Z,809766346477174784,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Twitter Web Client,809326455280771072,465132513,anil sex porn #fantastic 4 nude http://someurl,everyone,2016-12-15T09:17:18.000Z,809326455280771072,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Instagram,808928778676240385,3305718608,#星野珈琲 #フレンチトースト #今日の手元 #fantastic mantokyo #fantasticman #brunaboinne #ブルーナボイン #salvagepublic... http://someurl,everyone,2016-12-14T06:57:04.000Z,808928778676240385,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Instagram,808256326430179328,4150175894,#Fantastic#Natal http://someurl,everyone,2016-12-12T10:24:59.000Z,808256326430179328,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Twitter Web Client,808120802684076032,96874569,denise malani nude #fantastic 3d porn movies http://someurl,everyone,2016-12-12T01:26:28.000Z,808120802684076032,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Instagram,807624393123893248,96829779,"Che Guevara 🤘🏼 Eddie Guerrero ka bhai.. 😂😂 #merchandise #locket #cheguevara #fantastic @ Dwarka,... http://someurl",everyone,2016-12-10T16:33:54.000Z,807624393123893248,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,"{'coordinates': {'type': 'Point', 'coordinates': [77.05416667, 28.6]}, 'place_id': '317fcc4b21a604d5'}",,
Twitter Web Client,807587750094454785,315776631,#fantastic 4 nude malaika arora naked http://someurl,everyone,2016-12-10T14:08:18.000Z,807587750094454785,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
neojurnal2016,806862549287403521,1331339334,MAGPUL #AK #furniture #is #plastic #really #that #fantastic #25november #KamiAhok http://someurl,everyone,2016-12-08T14:06:37.000Z,806862549287403521,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Twitter Web Client,806814314095120385,487744490,#fantastic 3d porn movies naruto xxx porn xxx http://someurl,everyone,2016-12-08T10:54:57.000Z,806814314095120385,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Twitter for Android,805878732745482241,805873052328349696,Just watched #Kahaani2..@someuser @someusermp; The Director @someuser Bhaiya Main toh #JabraFan Ho gaya Ap logo ka.. #Fantastic.. http://someurl,everyone,2016-12-05T20:57:17.000Z,805878732745482241,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",tl,#fantastic,{'place_id': '05d84006fa98da19'},,
Twitter Web Client,804612731827605504,261170931,#fantastic four cartoon porn sakura haruno nude porno asian uncensored porn,everyone,2016-12-02T09:06:38.000Z,804612731827605504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Instagram,804336186319740928,797882296380624897,#dalyan #dalyankaunoskralmezarlıkları #fantastic #dream #summer2017 👍🏻 @ Dalyan Kaunos Kral... http://someurl,everyone,2016-12-01T14:47:45.000Z,804336186319740928,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,"{'coordinates': {'type': 'Point', 'coordinates': [28.63801112, 36.82996518]}, 'place_id': '74a99a3bb29b8149'}",,
neojurnal2016,802647961134100481,1331339334,MAGPUL #AK #furniture #is #plastic #really #that #fantastic #KamiAhok #KamiAhok http://someurl,everyone,2016-11-26T22:59:21.000Z,802647961134100481,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Twitter for Android,802168847562223617,2423379066,.#fantastic edit Kathy!👏👏👏👏 #Hearties http://someurl,everyone,2016-11-25T15:15:31.000Z,802168847562223617,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",tl,#fantastic,,,
Twitter for iPhone,801528544467816448,3182741979,#fantastic#proudtohaveoneoftheseondisplayathome http://someurl,everyone,2016-11-23T20:51:11.000Z,801528544467816448,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,#fantastic,,"[{'type': 'quoted', 'id': '801108022055550976'}]",
Twitter for iPhone,801465118877880320,428023073,Yung napansin ng bagong Vice President yung Report mo. 😍😍😍😱😱😱 #Fantastic #Amazing #GreatJob http://someurl,everyone,2016-11-23T16:39:09.000Z,801465118877880320,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,#fantastic,,,
Twitter for Android,801385081126301696,282456075,One of my favorite OTP 😍 Noona Dongsaeng Ssi #jisoo #지수 #kimjisoo #김지수 #parksiyeon #박시연 #fantastic #판타스틱 ✨❤❤ http://someurl,everyone,2016-11-23T11:21:07.000Z,801385081126301696,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",tl,#fantastic,,,
neojurnal2016,801160910425485312,1331339334,Guidolin #praises #fantastic #Leicester #as #leaders #restore #lead #RioF1GPRusia http://someurl,everyone,2016-11-22T20:30:20.000Z,801160910425485312,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Instagram,799835878667546624,127000551,Ngiting Mischief Managed #happykiddo #fantastic #potterlove... http://someurl,everyone,2016-11-19T04:45:08.000Z,799835878667546624,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,,,
Instagram,799696103855702016,763963586,galerie_sakah @someuser #contemporaryart #fantastic #artist #artgallery #toulouse #painting #paint... http://someurl,everyone,2016-11-18T19:29:43.000Z,799696103855702016,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tl,#fantastic,"{'coordinates': {'type': 'Point', 'coordinates': [1.44714464, 43.59980152]}, 'place_id': '3980fd5d8a818646'}",,
