lang,public_metrics,id,text,author_id,reply_settings,geo,created_at,conversation_id,source,search_query,in_reply_to_user_id,referenced_tweets
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814822541390966784,"超 好 看| 本系列最精彩的一集,真心覺得| 能在年末最後幾天看完一本好書真是太棒了！| #fantastic #novel #sixthwatch #bestone @ Chungho http://someurl",131153846,everyone,"{'place_id': '019a3137395a2973', 'coordinates': {'type': 'Point', 'coordinates': [121.473, 24.9944]}}",2016-12-30T13:16:47.000Z,814822541390966784,Instagram,#fantastic,,
zh,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",813426419405492225,JTBC DRAMA最佳作品獎票選(12/26-12/31)| 有INS帳號快來點顆心💗給5號《Fantastic》| http://someurl| #주상욱  #朱相昱  #joosangwook #チュサンウク #판타스틱  #Fantastic http://someurl,2175207350,everyone,,2016-12-26T16:49:05.000Z,813426419405492225,Twitter Web Client,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810693646446198790,【#K劇情報】#Fantastic 全劇上架| | 本劇由實力演技演員 金賢珠與朱相昱搭檔出演，| | 朱相昱這次飾演的是一位極度自戀韓流明星，因蹩腳演技被民眾稱為「蹩腳李奧納多」、「機器人海星」。... http://someurl,719701469847502848,everyone,,2016-12-19T03:50:01.000Z,810693646446198790,Facebook,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808674412396421121,轉噗 念。走私魔杖中: #HP #Fantastic Beasts| 一些微妙的周邊(?)|  http://someurl  http://someurl http://someurl,442739119,everyone,,2016-12-13T14:06:19.000Z,808674412396421121,Linkis: turn sharing into growth,#fantastic,,
zh,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",806320765112963072,#fantastic beasts 這次活動的皮箱無料:D http://someurl,1319552568,everyone,,2016-12-07T02:13:45.000Z,806320765112963072,Twitter Web Client,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",803835258240192512,＃Fantastic Beasts and Where to Find Them# chinoiserie张春设计的中国风，小小修改了一下，哈哈哈 @ Sichuan Agricultural... http://someurl,3029531032,everyone,,2016-11-30T05:37:14.000Z,803835258240192512,Instagram,#fantastic,,
zh,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",803611890890833920,太愛#怪獸與牠們的產地  這部電影了| 原本只想畫十分鐘| 沒想到竟然花了半小時😆| 不畫了| 要洗澡了🛀| | 玻璃獸好可愛| 但牠完全不受控😂| 養牠警察👮應該一天到晚找上門| #niffler  #handdrawn #painting #fantastic #fantasticbeasts http://someurl,3051946482,everyone,,2016-11-29T14:49:39.000Z,803611890890833920,Twitter for iPhone,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",802120965823963136,#Fantastic Beasts and Where to Find Them 终于等到了！小雀斑好帅😍😍剧情还是一如既往的好看，好期待第二部！电影里的咒语还有片头音乐都好熟悉，满满的回忆～ http://someurl,3312178435,everyone,,2016-11-25T12:05:15.000Z,802120965823963136,Twitter for iPhone,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",801742866183782400,世界上最遙遠的距離| 是滿世界找Duffy| 最後拿了piglet來頂替| Disneyland沒有Duffy真的太過分😡| #tokyodisneyland | #fantastic... http://someurl,1474155620,everyone,"{'place_id': '65b41c11aca77bdb', 'coordinates': {'type': 'Point', 'coordinates': [139.88132322, 35.63202753]}}",2016-11-24T11:02:49.000Z,801742866183782400,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",801048059463475200,#Fantastic Beast and where to find them 这个应该是这学期去电影院看过的最赞的电影了👍🏻好评 回国二刷 http://someurl,702292361074749441,everyone,,2016-11-22T13:01:54.000Z,801048059463475200,WeChat app,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",800880572117590016,八手联弹，非凡得演唱，厉害 #tvb #artiste #show #film #fantastic #music #life #moment #performance #time http://someurl,142521634,everyone,,2016-11-22T01:56:22.000Z,800880572117590016,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",800578851608752128,對於這種潛心於研究又善良單純蠢萌的角色最沒有抵抗力了（中箭| #Fantastic Beasts and Where to Find Them http://someurl,755482966285889537,everyone,,2016-11-21T05:57:26.000Z,800578851608752128,Twitter for iPhone,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",800310757338521601,真的很好看，配乐还是H.B.的旋律 然后我就买了书......#fantastic beasts# http://someurl,773158034574942208,everyone,,2016-11-20T12:12:08.000Z,800310757338521601,WeChat app,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",794936087714009088,Kik #2016NGO for all series pics| .| 聚集非常多人圍觀的演出| #fantastic #drummer #drums #music #bands #live... http://someurl,14523065,everyone,"{'place_id': 'b65f8a1a90e649ad', 'coordinates': {'type': 'Point', 'coordinates': [136.90764514, 35.16856742]}}",2016-11-05T16:15:07.000Z,794936087714009088,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",793286771127808000,11月1日，演員 #金志洙（#Jisoo）在首爾江南的某咖啡廳接受媒體採訪，談及近期出演的JTBC電視劇《#Fantastic》。 http://someurl,2915168060,everyone,,2016-11-01T03:01:19.000Z,793286771127808000,Facebook,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",792482629178142720,别人家老公做的😂 #homemadefood #fantastic http://someurl,2869909441,everyone,,2016-10-29T21:45:57.000Z,792482629178142720,Instagram,#fantastic,,
zh,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",791801145215811586,10月27日，JYP娛樂方面表示，旗下演員 #金太勳 將以主持人的身份加盟KBS 2TV綜藝節目《#生存戰爭維他命》。#Fantastic #維他命 http://someurl,2915168060,everyone,,2016-10-28T00:37:58.000Z,791801145215811586,Facebook,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",790003285692264448,我一見妳就笑| 妳那翩翩風采太美妙| 跟妳在一起| 永遠沒煩惱| | #love #onlyone #specialone #happy #together #smile #fantastic... http://someurl,823930824,everyone,,2016-10-23T01:33:55.000Z,790003285692264448,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789348790645972992,10月21日，演員 #金志洙（#Jisoo）透過Instagram上傳了一張與演員 #朴詩妍 的合照，吸引了粉絲們的視線。#Fantastic http://someurl,2915168060,everyone,,2016-10-21T06:13:11.000Z,789348790645972992,Facebook,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789324935428571137,一如鐵板燒 ❤️| | #ronileung #梁傲霜   #fantastic    #鐵板燒  #清酒煮硯 @ 一如鐵板燒 http://someurl,3985522218,everyone,,2016-10-21T04:38:24.000Z,789324935428571137,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789324207041699841,完美的鐵板燒 在 一如鐵板燒 ❤️| | #ronileung #梁傲霜   #seaurchin #sashimi #urchin #fantastic  #海膽  #鐵板燒 #海膽炒飯 @someuser http://someurl,3985522218,everyone,,2016-10-21T04:35:30.000Z,789324207041699841,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789322654247489536,完美的鐵板燒 在 一如鐵板燒 ❤️| | #ronileung #梁傲霜   #sashimi  #fantastic  #海膽  #鐵板燒  #和牛 #鹿兒島和牛 #A5和牛 @ 一如鐵板燒 http://someurl,3985522218,everyone,,2016-10-21T04:29:20.000Z,789322654247489536,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789322385241542656,完美的鐵板燒 在 一如鐵板燒 ❤️| | #ronileung #梁傲霜  #sashimi  #fantastic   #鐵板燒  #和牛 #鹿兒島和牛 #A5和牛 @ 一如鐵板燒 http://someurl,3985522218,everyone,,2016-10-21T04:28:16.000Z,789322385241542656,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789322043103776768,完美的鐵板燒 在 一如鐵板燒 ❤️| | #ronileung #梁傲霜   #sashimi  #fantastic    #鐵板燒 #和牛 #鹿兒島和牛 #A5和牛 @ 一如鐵板燒 http://someurl,3985522218,everyone,,2016-10-21T04:26:54.000Z,789322043103776768,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789321809900568576,完美的鐵板燒 在 一如鐵板燒 ❤️| | #ronileung #梁傲霜  #sashimi  #fantastic  #鐵板燒 #和牛 #鹿兒島和牛 #a5和牛 @ 一如鐵板燒 http://someurl,3985522218,everyone,,2016-10-21T04:25:59.000Z,789321809900568576,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789320572308258816,❤️Urchin | | #ronileung #梁傲霜   #seaurchin #sashimi #urchin #fantastic  #海膽 @ 一如鐵板燒 http://someurl,3985522218,everyone,,2016-10-21T04:21:03.000Z,789320572308258816,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789320267533283328,完美的鐵板燒 在 一如鐵板燒 ❤️| | #ronileung #梁傲霜   #seaurchin #sashimi #urchin #fantastic  #海膽  #鐵板燒 @ 一如鐵板燒 http://someurl,3985522218,everyone,,2016-10-21T04:19:51.000Z,789320267533283328,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",789269002996424704,《 #Fantastic 》 #朴詩妍 ♥ #Jisoo 甜蜜心動擁抱    甜死人不償命 http://someurl http://someurl,82643430,everyone,,2016-10-21T00:56:08.000Z,789269002996424704,ksd_post,#fantastic,,
zh,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",788917963394945024,《 #Fantastic 》 #樸詩妍 ♥  #Jisoo 甜蜜心動擁抱    甜死人不償命 http://someurl http://someurl,82643430,everyone,,2016-10-20T01:41:14.000Z,788917963394945024,ksd_post,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",788433979120562177,什麼叫做氣場| #fantastic | #amazing | #awsome | #naomi醬 | #渡邊直美 http://someurl,61103947,everyone,,2016-10-18T17:38:03.000Z,788433979120562177,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",788431202877181952,什麼叫做氣場| #fantastic | #amazing | #awsome | #naomi醬 http://someurl,61103947,everyone,,2016-10-18T17:27:01.000Z,788431202877181952,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",788430641855537156,神可愛| #amazing | #fantastic | #awsome | #naomi醬 http://someurl,61103947,everyone,,2016-10-18T17:24:48.000Z,788430641855537156,Instagram,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",788030315432251394,啊这两天追着 #fantastic 嘻嘻之前 #青春时代 完结后想追的可是看第一集觉得不怎么吸引人嗯 直到前天为了志洙和白雪的感情线哈 #어느새가을 #WONDERFULDAY #onmyway ost好听！WD第一句旋律听着很像丑女大翻身里的 #beautifulgirl 哈哈,409921188,everyone,,2016-10-17T14:54:02.000Z,788030315432251394,Twitter Web Client,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 17, 'quote_count': 0}",787659649604521985,Glenda：同時在《#月之戀人_步步驚心_麗》跟《#Fantastic》一起亮相的 #志洙 (#Jisoo) 是我們本周的「認識演員」主角！| | 趕緊來認識他吧！| | ☞ http://someurl http://someurl,125609773,everyone,,2016-10-16T14:21:09.000Z,787659649604521985,Buffer,#fantastic,,
zh,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",787290971104960512,#Jisoo  #金志洙 in《 #Fantastic 》各種小心動片段 分享給大家！ http://someurl http://someurl,82643430,everyone,,2016-10-15T13:56:09.000Z,787290971104960512,ksd_post,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",784557345330171904,10月8日，JTBC電視劇《#Fantastic》劇組方面表示，歌手 #Tim 將為該劇演唱第七首OST——《Someday》。 http://someurl,2915168060,everyone,,2016-10-08T00:53:42.000Z,784557345330171904,Facebook,#fantastic,,
zh,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",783258028321538049,《#Fantastic》劇組公開了劇照。| | #金志洙 一身西裝革履，紳士範十足。| | #판타스틱 #지수| | http://someurl http://someurl,3301215968,everyone,,2016-10-04T10:50:40.000Z,783258028321538049,Twitter Web Client,#fantastic,,
