public_metrics,created_at,id,text,reply_settings,conversation_id,source,author_id,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:59:36.000Z,814984313259311104,Infinitely #great,everyone,814984313259311104,Twitter for Android,562265307,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-30T23:58:53.000Z,814984134284062720,100th #blog Pruning dead wood at http://someurl #self reflection is #freedom #great way to start 2017 http://someurl,everyone,814984134284062720,Twitter Web Client,4271181133,en,#great,,,
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-30T23:58:52.000Z,814984129502736385,Looking into the #future with #great #expectations... what are your #goals for the #newyear? @someuser @someuser @someuser http://someurl,everyone,814984129502736385,Twitter for iPhone,745124724682821632,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:58:15.000Z,814983973826953219,"In its last dying days, year 2016 manages to #snatch another #great #musical #icon before #closing. #RIP... http://someurl",everyone,814983973826953219,Facebook,884606125,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:53:53.000Z,814982876211085312,A Christmas Carol.  #playhouse #inthepark #cincinnati #classic #show #family #time #great #seats... http://someurl,everyone,814982876211085312,Instagram,15385365,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:52:42.000Z,814982578289524738,"#ForSale this piece of #walnut. With its curving live edge, its sure to make any project look #great. http://someurl http://someurl",everyone,814982578289524738,Twitter Web Client,758429620136017920,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:45:22.000Z,814980730514194432,I have great faith in fools self-confidence my friends call it. ~Edgar Allan Poe #great #Klawblog,everyone,814980730514194432,IFTTT,348550520,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:43:45.000Z,814980324123938817,When your train terminates without any prior warning #great 👍👍👍👍,everyone,814980324123938817,Twitter for iPhone,400747217,en,#great,,,
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:41:46.000Z,814979824355831808,Have a #great #weekend everyone and a #happy and #blessed 2017!! :),everyone,814979824355831808,Twitter Web Client,31643128,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:40:02.000Z,814979386617139200,#Nokia #Lumia #Latest #Touch #Screen #Mobiles With #Great Look #Technology http://someurl,everyone,814979386617139200,KalSEOApp,3066534120,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:37:41.000Z,814978796004712448,Woah! Thanks guys! #2016bestnine #likes #amazing #love #great #year #2016 http://someurl,everyone,814978796004712448,Instagram,207918567,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:37:08.000Z,814978658431631361,I have great faith in fools self-confidence my friends call it. ~Edgar Allan Poe #great,everyone,814978658431631361,IFTTT,225175748,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:34:35.000Z,814978018951176192,Youll like this... Pinterest ... http://someurl| #americaneagle #AmericaFirst #great,everyone,814978018951176192,Twitter for Android,3167370815,en,#great,,,
"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:30:15.000Z,814976925915553793,#❤ @someuser #thanks for your #great work!  #abelton @someuser #music #happynewyear,everyone,814976925915553793,Twitter for iPhone,495428842,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:28:59.000Z,814976606712332288,The one and the only #Great London 😍🎉🎊 http://someurl,everyone,814976606712332288,Twitter for iPhone,4385532340,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:28:27.000Z,814976475199918081,#great #night with the #beirutgang #newyearminusone #happytimes #goodbye2016  #joy #hamra... http://someurl,everyone,814976475199918081,Instagram,52320990,en,#great,"{'coordinates': {'type': 'Point', 'coordinates': [35.47913223, 33.89649272]}, 'place_id': '583bd538eb3129d1'}",,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:27:18.000Z,814976183972536320,#democracy . The #vote was against #Remain . Accept it and pull together to make #Britain #great ! http://someurl,everyone,814976183972536320,Twitter for Android,808676511880511488,en,#great,,"[{'type': 'quoted', 'id': '814710746055659520'}]",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:25:54.000Z,814975832775073797,Honest and full review on #Strangle Strategy for trading options Learn about Strangle Strategy from ABBOS E http://someurl #great,everyone,814975832775073797,Tweet Old Post,4403937209,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:24:35.000Z,814975500359729156,#2016bestnine what a #year with a #great #group of #people around me #beach #bondibeach... http://someurl,everyone,814975500359729156,Instagram,27337548,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:20:04.000Z,814974365301407748,Super deal:#reading #great books The Giving Tree http://someurl http://someurl,everyone,814974365301407748,erased12347363,729419887685275650,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:18:54.000Z,814974069099479040,"One of our favorite places on the planet - The Marshall Store! #freshoysyers, #great food http://someurl",everyone,814974069099479040,Twitter for Android,3165697849,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:18:42.000Z,814974021322215425,"Google Offers Great Deals on Games, Apps, Movies and Music on Play Store #google #offers #great #deals #games... http://someurl http://someurl",everyone,814974021322215425,dlvr.it,857547042,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:13:52.000Z,814972803090780160,Man this is no joke they get it in @someuser school is in session #great #thankful #fiestabowl #clemsontigers #Ohio St http://someurl,everyone,814972803090780160,Twitter for Android,28479023,en,#great,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:07:40.000Z,814971241761243136,@someuser here is the best telepathy I have thanks for the good tunes #great radio,everyone,814971241761243136,Twitter for iPhone,2361422036,en,#great,,,15059330
