source,conversation_id,author_id,text,geo,reply_settings,created_at,id,public_metrics,lang,search_query,referenced_tweets,in_reply_to_user_id
Instagram,814973038282174464,59054873,"Te amo mamá! ❤️🎂🍰🎉💯🍃 #hbd #mom #cumple #party #couple #great #home #amazing #blessed @ Veracruz,... http://someurl","{'coordinates': {'type': 'Point', 'coordinates': [-96.1333, 19.2]}, 'place_id': '6c67fe933a62a8ec'}",everyone,2016-12-30T23:14:48.000Z,814973038282174464,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",es,#great,,
Twitter for iPhone,814968632841224193,326750984,Quiero pizza y estoy a pie #Great,,everyone,2016-12-30T22:57:18.000Z,814968632841224193,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
IFTTT,814961139549433857,3009395390,"venuehero Venue for 2k People - Maitama, Abuja. #Great for #Wedding #Conference #Concert http://someurl http://someurl",,everyone,2016-12-30T22:27:31.000Z,814961139549433857,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
IFTTT,814961041062981633,3009395390,"Havilah2: RTVenue for 2k People - Maitama, Abuja. #Great for #Wedding #Conference #Concert http://someurl #VenueHero ...",,everyone,2016-12-30T22:27:08.000Z,814961041062981633,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
IFTTT,814960858958794753,54635202,"RTVenue for 2k People - Maitama, Abuja. #Great for #Wedding #Conference #Concert http://someurl #VenueHero ...",,everyone,2016-12-30T22:26:24.000Z,814960858958794753,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
erased994719,814958754269712385,3409907741,"Venue for 2k People - Maitama, Abuja. #Great for #Wedding #Conference #Concert http://someurl #VenueHero http://someurl",,everyone,2016-12-30T22:18:02.000Z,814958754269712385,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
IFTTT,814947226589990912,3009395390,"venuehero #Venue for 400People at CBD, Ikeja-Lagos. #Great for #Wedding #Conference http://someurl #Ven... http://someurl",,everyone,2016-12-30T21:32:14.000Z,814947226589990912,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
Instagram,814922748921348097,3305709229,Absolutamente genial | | PRÓXIMAMENTE! | | #camaro #amazing #forex #mlmsuccess #soon #great #car... http://someurl,,everyone,2016-12-30T19:54:58.000Z,814922748921348097,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
Instagram,814857262653206528,112293094,#ride #Guatemala #smile #havingfun #lastthursday #great @ irtra de petapa http://someurl,"{'coordinates': {'type': 'Point', 'coordinates': [-90.54915318, 14.5750177]}, 'place_id': '13d479b108707983'}",everyone,2016-12-30T15:34:45.000Z,814857262653206528,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
Instagram,814834644982104064,47413977,Versión Hallelujah de #Pentatonix 🎵| #video #great #goodday #likes #friday #groupmusic #sound... http://someurl,,everyone,2016-12-30T14:04:52.000Z,814834644982104064,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
Instagram,814816802756763649,2242848726,"De ti, que no hablas pero miras 🖤| #me #december #fashion #mirror #girl #home #moment #great... http://someurl",,everyone,2016-12-30T12:53:58.000Z,814816802756763649,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
IFTTT,814815215061712896,3009395390,"Havilah2: Venue for 2k People - Maitama, Abuja. #Great for #Wedding #Conference #Concert http://someurl ... http://someurl",,everyone,2016-12-30T12:47:40.000Z,814815215061712896,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",es,#great,,
Instagram,814732823353499648,196540711,La Familia 🙌🙌🙌| | #sinathryafamily #kiddos #lio #diego #sabrina #familytime #great #holiday... http://someurl,"{'coordinates': {'type': 'Point', 'coordinates': [112.7811, -7.6481]}, 'place_id': '540af091673eea69'}",everyone,2016-12-30T07:20:16.000Z,814732823353499648,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
IFTTT,814723276769554432,3009395390,"venuehero Venue for 2k People - Maitama, Abuja. #Great for #Wedding #Conference #Concert http://someurl #VenueHero",,everyone,2016-12-30T06:42:20.000Z,814723276769554432,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
IFTTT,814723268095709184,3009395390,"Havilah2: RTVenue for 2k People - Maitama, Abuja. #Great for #Wedding #Conference #Concert http://someurl #VenueHero : venuehero",,everyone,2016-12-30T06:42:18.000Z,814723268095709184,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
IFTTT,814722983696666625,54635202,"RTVenue for 2k People - Maitama, Abuja. #Great for #Wedding #Conference #Concert http://someurl #VenueHero : venuehero",,everyone,2016-12-30T06:41:10.000Z,814722983696666625,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
erased994719,814722945339756544,3409907741,"Venue for 2k People - Maitama, Abuja. #Great for #Wedding #Conference #Concert http://someurl #VenueHero",,everyone,2016-12-30T06:41:01.000Z,814722945339756544,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
Instagram,814720126964662272,140184938,#purplehair #change #different #great | 😍❤| Las locuras que hago con mi Ale ❤😍| Te quiero mucho mi... http://someurl,,everyone,2016-12-30T06:29:49.000Z,814720126964662272,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",es,#great,,
