author_id,created_at,reply_settings,conversation_id,in_reply_to_user_id,id,source,text,lang,public_metrics,search_query,referenced_tweets,geo,withheld
2351351798,2016-12-28T22:00:05.000Z,everyone,814229461121912832,57188977,814229461121912832,Twitter for Android,@someuser  #himesh reshammiya| #great jodi | http://someurl,hi,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
780997997626793984,2016-12-28T17:43:07.000Z,everyone,814164790927048704,,814164790927048704,Instagram,#statue #jain #mandir #clickz | #hav #a #great #eve @ Achchhad http://someurl,hi,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
2943457326,2016-12-28T13:45:10.000Z,everyone,814092338645434368,18839785,814104907993202688,Mobile Web (M2),@someuser लोग एक दुसरे को मदद कर रहे है और इस से जोड रहे है| #namo  india  #great india,hi,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,"[{'type': 'replied_to', 'id': '814092338645434368'}]",,
3396094575,2016-12-27T21:09:44.000Z,everyone,813844716768915457,122097356,813854402230550529,Twitter for Android,@someuser @someuser #Great blog Saqib Bhai👌,hi,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,"[{'type': 'replied_to', 'id': '813844716768915457'}]",,
733111849,2016-12-24T19:12:07.000Z,everyone,812737639904407554,,812737639904407554,Twitter for Android,Yun de hamain azaadi k duniya hui heraan| Ae #QuaideAzam tera ehsaan hai ehsaan| #SalaamJinnah #25December #QuaidDay #Karachi #Great #Leader,hi,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#great,,,
3491513120,2016-12-24T13:59:40.000Z,everyone,812659007601180674,,812659007601180674,Twitter Web Client,Sheikh Rasheed Ahmad #The #Great  ... http://someurl,hi,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
2538641779,2016-12-21T16:33:16.000Z,everyone,811610498370191360,,811610498370191360,Twitter SMS,"TORKHAM:| Afghanistan Kisi Ki Bharkaao Main Na Aaye, Hum Bhai Hain,| Pakistan Mein Dehshatgardi Kam Hoi, Dunya Main Barhi: CH.Nisar.| #Great",hi,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
339586657,2016-12-19T00:35:33.000Z,everyone,810644706443063296,,810644706443063296,Instagram,Love Thai foods isaan grandhyatt| | #thai #great #spot #isaan #grandhyatt #delicious #doha @ Grand... http://someurl,hi,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
43730986,2016-12-16T16:06:47.000Z,everyone,809791895559958528,,809791895559958528,Facebook,#Great #Policeman.| #Salam Hai Aap Ko. http://someurl,hi,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,,,
746608039831048196,2016-12-14T15:40:57.000Z,everyone,808974321162932228,18839785,809060618808524800,Twitter for Android,"@someuser #great sir तुजसा नहीं देखा इस जहान में, आज के भगवान को सबकुछ समर्पित है। इस चरणों की मिट्टी नसीब हो जाये बस ,हम जिते सौभाग ॐ",hi,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#great,"[{'type': 'replied_to', 'id': '808974321162932228'}]",,
