source,conversation_id,author_id,reply_settings,id,text,created_at,public_metrics,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
Instagram,814753453557878784,159455112,everyone,814753453557878784,收工大吉⏰今天在新office渡過2016年的最後一天，特意購賣了一杯飲料慶祝一下下on 30 Dec 2016| #Great job 2016| #Thank you 2016 http://someurl,2016-12-30T08:42:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,812284709338222592,2366344536,everyone,812284709338222592,"濃濃的台灣味..韮菜水餃。花干。豆干。酸辣湯。幸福的晚餐。好好食呀。#thanks #great #dinner #yummy #happiness @ Taipei, Taiwan http://someurl",2016-12-23T13:12:20.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,"{'coordinates': {'type': 'Point', 'coordinates': [121.633, 25.0333]}, 'place_id': '00180402799fed03'}",,
Twitter for Android,812130632788627457,15345314,everyone,812130632788627457,一邊冥想一邊修煉，手腳多真方便！| #figma #figure #vitruvianman  #davinci #classic  #toy #toys #great #hobby #Hualien #Taiwan #fun #tablemuseum http://someurl,2016-12-23T03:00:06.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,{'place_id': '00c3c3160a480cf2'},,
Facebook,811895887576334336,100427614,everyone,811895887576334336,#Merrychristmas #great customer #bestgift #coffeeteaorme | | 再一次同你地講，唔好意思呢輪真係太爆，招呼唔到！祝大家都有個靚靚既快樂Christmas!... http://someurl,2016-12-22T11:27:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,811373471318024192,52058309,everyone,811373471318024192,龍蝦拜拜！你真的很好吃！| #Lobster #YouAreDelicious #Great #Boston @ Boston Logan... http://someurl,2016-12-21T00:51:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",zh,#great,"{'coordinates': {'type': 'Point', 'coordinates': [-71.0188072, 42.36505076]}, 'place_id': '67b98f17fdcf20be'}",,
twittbot.net,811032964737822720,8711692,everyone,811032964737822720,"Some are #born #great, some achieve #greatness, others #hire #PR representatives. 有些人生来伟大，有些人通过努力最终伟大，还有些人雇佣公关代表。 | #TeamFollowBack",2016-12-20T02:18:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,810101476592910336,695917237815869440,everyone,810101476592910336,神同步 😝哇咔咔😌谁更可爱，更萌呢😳#same #cute #great #selif #1217 http://someurl,2016-12-17T12:36:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,809067544904482816,581018536,everyone,809067544904482816,這陣子愛上的按摩滾輪☺️☺️☺️ #great #work #thesaem #korea #hot #taipei #blogger #winter #vscocam #tbt #love... http://someurl,2016-12-14T16:08:29.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,808215624077938689,2366344536,everyone,808215624077938689,"辣到冒汗真是過癮!!! #yummy #great #sunday #beer🍻 #台氏滷味 #taipei @ Taipei, Taiwan http://someurl",2016-12-12T07:43:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",zh,#great,"{'coordinates': {'type': 'Point', 'coordinates': [121.633, 25.0333]}, 'place_id': '00180402799fed03'}",,
Instagram,807889734567600128,2366344536,everyone,807889734567600128,心裡想的晚餐跟實際上桌的菜完全是兩回事！#韓式泡菜鍋 #great #dinner #rainyday #weekend http://someurl,2016-12-11T10:08:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,806895341438124032,1731141380,everyone,806895341438124032,#淘寶 #taobao| 當你收到貨物很滿意的時候| 那一瞬間已注定要立即再敗家了😂| 說好的儲錢呢⋯?| #buy #happy #gogogo #money #byebye #cry #great... http://someurl,2016-12-08T16:16:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,805972850955808772,3095310200,everyone,805972850955808772,😁😁🎐天气不错☀🎏🎏| 💚💚心情不错时的自拍。。👯👯👯| #instagram #cute #lovely #love #good #weather #great @ 大芬油画村 Dafen... http://someurl,2016-12-06T03:11:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,"{'coordinates': {'type': 'Point', 'coordinates': [114.13212692, 22.61485155]}, 'place_id': '00059b04495a7e37'}",,
Twitter for iPhone,804937151850823681,731266418461822976,everyone,804937151850823681,不到长城非好汉！#Great Wall#beijing#yanqing#bluesky http://someurl,2016-12-03T06:35:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",zh,#great,,,
Twitter Web Client,802884395023548418,220921910,everyone,802884395023548418,#GREAT 聖誕美食巡禮   滋味無窮！: http://someurl,2016-11-27T14:38:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
WeChat app,802033314261516288,733829309144522754,everyone,802033314261516288,#Great Smoky Mountains 谢谢小伙伴们好开心~ plus@ 叶子学姐 http://someurl,2016-11-25T06:16:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,802019968451809280,743623343891320832,everyone,802019968451809280,永恆正義─無敵鐵金剛45周年經典大展 #朋友號 #劍鐵也 #koujikabuto #兜甲児 #tetsuyatsurugi #MazingerZ #great mazinger #brain... http://someurl,2016-11-25T05:23:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,798799917846122496,275579709,everyone,798799917846122496,🌞| 十一月中，好很熱。| #聽講下星期凍返 #great @ 深水埗（東京街） http://someurl,2016-11-16T08:08:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,797837357948944384,179214368,everyone,797837357948944384,彼此相爱❤️ Thank God for these few days. Love ya. #cyc63ta #great #msj1 #nov16 #cmyjpy #CG #fgacyc... http://someurl,2016-11-13T16:23:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Twitter Web Client,794503166276595712,207072624,everyone,794503166276595712,#Baltic #sea #raw #Amber #stones #Necklace #great #nice #gift 真正的琥珀項鍊  http://someurl @someuser #love #uk #gb #ru,2016-11-04T11:34:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Twitter Web Client,794189683152588800,207072624,everyone,794189683152588800,#Genuine #Amber #beads #necklace #egg #yolk #White #Cloudy 真正的琥珀項鍊 #great #rare #gift #Collar http://someurl @someuser #sale #ch #uk,2016-11-03T14:49:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,787609631782608897,142521634,everyone,787609631782608897,她是？谁唱【冷雨夜】，那么棒？大家猜猜看。猜到送你奖！ #蒙面歌王 #singer #female #performance #china #program #show #great... http://someurl,2016-10-16T11:02:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,784007083775655937,1147597020,everyone,784007083775655937,火鍋還沒賣完... #yoshinoya #hotpot #hkig #mongKok #great #happygathering #gathering #mybestfriend... http://someurl,2016-10-06T12:27:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
Instagram,783636966432772096,1474155620,everyone,783636966432772096,最滿意的行程| 終於等到你💆🏻| #travel| #traditional | #massage | #relax| #great| #satisfying http://someurl,2016-10-05T11:56:26.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
torres stars,782328027975868417,2554243939,everyone,782328027975868417,(#ゲームCG) [#160930] [#ライアーソフト] 大迷宮＆大迷惑 -#Great #EDGES IN THE #Abyss- http://someurl #ゲームCG #ライアーソフト #大迷宮大迷惑,2016-10-01T21:15:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#great,,,
