lang,reply_settings,source,public_metrics,created_at,geo,text,conversation_id,id,author_id,search_query,referenced_tweets,in_reply_to_user_id,withheld
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:59:49.000Z,"{'place_id': 'd212b9c3cdde763f', 'coordinates': {'type': 'Point', 'coordinates': [-84.4389, 39.3493]}}",Another beautiful sunset in Ohio #ohio #winter #good #sunset #happy #sunset #clouds #pretty #sky... http://someurl,814984365474136064,814984365474136064,591654705,#happy,,,
en,everyone,Twitter for BlackBerry®,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:59:12.000Z,,#Happy #newyear ?? Fucking hope so lol,814984211211894784,814984211211894784,270491852,#happy,,,
en,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:58:52.000Z,,Talk about comfortable #happy ☺ http://someurl,814984127770411008,814984127770411008,1690338108,#happy,,,
en,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:58:06.000Z,,You give some #people your all and they still want more #truth #wisdom #life #love #relationship #Happy #happiness #friends #FriendshipGoals,814983934505340928,814983934505340928,2610262915,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:57:38.000Z,,its bad weather today ☁︎| #cloudy #hawaii #northshore #gobeach #sea #surf #vacation #happy... http://someurl,814983819380064256,814983819380064256,268722791,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:56:58.000Z,,"Landshark #jaws #pup #holiday #treat #tulatequila #happy #dog @ Concord, California http://someurl",814983650399940608,814983650399940608,75194101,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:56:51.000Z,,My best nine of 2016 might draw some more star wars 😀 #happy #art #pencil #paper #drawing... http://someurl,814983620893048832,814983620893048832,39031510,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:56:26.000Z,,#new #flowers Yasmine #totes in the #shop #today #happy #shopping #newyear #newyork #flowers... http://someurl,814983517260185601,814983517260185601,480103421,#happy,,,
en,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:54:11.000Z,,Twin💕👢🙈| #instagramstories #instagramers #instalike #happy #smile #love #like4like... http://someurl,814982951708585984,814982951708585984,2379005132,#happy,,,
en,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:53:32.000Z,,Sat watching Jaws 2 with my 2 day old daughter. #happy,814982787895848960,814982787895848960,25585275,#happy,,,
