lang,reply_settings,source,public_metrics,created_at,text,conversation_id,id,author_id,search_query,geo,in_reply_to_user_id,referenced_tweets
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:59:07.000Z,🌴😍💃🌞| .| .| .| #summer #cool #outfit #look #happy #girl #like #fun #free #s #uruguay @ Uruguay http://someurl,814984192207548417,814984192207548417,1455481524,#happy,,,
es,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:58:21.000Z,Para todo mal mezcal #work #office #newyear #delicious #mezcal #happy #drinks #mexico #cdmx http://someurl http://someurl,814983996371271685,814983996371271685,156838295,#happy,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:46:46.000Z,Princeza con taquillo😉💪#26 #me #frisbee #loveFrisbee #happy @ Ciudad... http://someurl,814981082814685184,814981082814685184,929768516,#happy,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:46:41.000Z,Ver esta carita feliz me alegra la vida! Mi razón de vivir #JavierEnrique #Gratitude #Happy 💚🤗😁... http://someurl,814981062061359110,814981062061359110,2436980160,#happy,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:45:30.000Z,Despidiendo el año ❤️#Friends #love #ourgirls #chilling #dinnertime #marbella #happy http://someurl,814980763611500544,814980763611500544,42222973,#happy,,,
es,everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:40:35.000Z,Noche de compas poker y jack que mas le pido a la vida #happy #YOLO,814979528355356673,814979528355356673,22840137,#happy,{'place_id': '018978b3056335bd'},,
es,everyone,Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:34:03.000Z,¡Sonríe es viernes! #friday #viernes #happy #love| | http://someurl http://someurl,814977881919066112,814977881919066112,354399169,#happy,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:33:06.000Z,Recordando mi amanecer del 25 de diciembre 😆😆😆😆🌴🌴🌴🌴🌴🌴 #instahappy #sohappy #happy #instacool... http://someurl,814977644131282948,814977644131282948,120523989,#happy,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2016-12-30T23:29:13.000Z,Litoral 😍🌊 #GoodNight #BoaNoite #Beard #Barba #Barbudo #Happy #Smile #Praia #Beach #Followme... http://someurl,814976668498595840,814976668498595840,144173256,#happy,"{'place_id': '0cdb70659f889abd', 'coordinates': {'type': 'Point', 'coordinates': [-50.23388889, -30.16083333]}}",,
es,everyone,Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2016-12-30T23:21:32.000Z,Preuvas en Puerta del Sol! #madrid #happy #loveyou http://someurl,814974733066313728,814974733066313728,207457067,#happy,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:16:05.000Z,Estado mental !!! Felicidad total 🙏😃😃😃😃😎#happy #like4like #greattimes #christmas2016 #like... http://someurl,814973361939808256,814973361939808256,1191631392,#happy,,,
es,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:07:44.000Z,"#DavidMrMoon: Gracias Cancún #goodtimes #friendship #travel #davidmrmoon #tour #happy @ Cancún, Mexico http://someurl",814971261868789760,814971261868789760,170336440,#happy,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:06:05.000Z,"Una año de locura, Feliz Navidad 🎅 #xmas #love #happy #family #friend #likeforlike #followme... http://someurl",814970846951391232,814970846951391232,335631096,#happy,,,
es,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:05:03.000Z,Feliz año 2017   http://someurl #nuevoano #NewYear2017 #feliz #happy #amor #love,814970586791346176,814970586791346176,3358017179,#happy,,,
es,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:03:30.000Z,feliz año  http://someurl   #anonuevo #nuevoano #NewYear2017 #feliz #happy #amor #love,814970194582007808,814970194582007808,3358017179,#happy,,,
es,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:03:30.000Z,"DavidMrMoon : Gracias Cancún #goodtimes #friendship #travel #davidmrmoon #tour #happy @ Cancún, Mexico http://someurl #ShoutOutCUN",814970192971399168,814970192971399168,430386835,#happy,,,
es,everyone,IFTTT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:03:18.000Z,"#DavidMrMoon : Gracias Cancún #goodtimes #friendship #travel #davidmrmoon #tour #happy @ Cancún, Mexico http://someurl",814970143587631104,814970143587631104,488940628,#happy,,,
es,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:02:06.000Z,#josé y yo benditos entre las mujeres! #work #trabajo #guardia #instahappy #sohappy #happy... http://someurl,814969843157848064,814969843157848064,120523989,#happy,,,
es,everyone,Linkis: turn sharing into growth,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2016-12-30T23:01:46.000Z,Nuestras primeras hallacas 😍😜🙈 Venezuela/México 🇻🇪  🇲🇽 #hallacas #family #añonuevo #happy... http://someurl,814969758126919685,814969758126919685,53604400,#happy,,,
