lang,created_at,public_metrics,in_reply_to_user_id,reply_settings,text,id,author_id,conversation_id,source,search_query,geo,referenced_tweets
hi,2016-12-30T20:28:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1917064646,everyone,@someuser kuch bhi #happy new year # rahul baba,814931093539328000,312130500,814931093539328000,Twitter for Android,#happy,,
hi,2016-12-30T19:09:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,everyone,#HAPPY NEW YEAR 2017 :)| क्योकी कबीर जी ने कहा है कि --  कल करे सो आज कर आज करे सो अब |  नेटवर्क busy हो जायेगा तो WISH करेगा kab😌😜😊😉😂😂,814911427584651264,2401530078,814911427584651264,Twitter for Android,#happy,,
hi,2016-12-30T17:02:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,everyone,"#Happy #New #Year | 2017 #in #advanced @ Aurangabad, Maharashtra http://someurl",814879371659976704,107349249,814879371659976704,Instagram,#happy,,
hi,2016-12-30T15:14:27.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",,everyone,#जसले नि #Happy New Year #भन्छ्न | #केटाहरुले जाम #पार्टी खाम #भन्छ्न| #ओए के के हो के के #लाम #भन्छ्न| #यो २०१७ त मजाले #मनाम #भन्छ्न ।,814852156373118978,758696980587491328,814852156373118978,Twitter for Android,#happy,,
hi,2016-12-30T10:17:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,everyone,#SajhGharana wish #Happy #New #Year with sajhGharana #Online #jewellery #shop http://someurl,814777531651866624,755726235561447425,814777531651866624,Twitter Web Client,#happy,,
hi,2016-12-30T08:58:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,everyone,"Beer dance. | | #epicbeer #danceparty #happy #beermebro #beerstuffs #talkbeerdytome @ Mangawhai,... http://someurl",814757639531986944,793683642975301632,814757639531986944,Instagram,#happy,,
hi,2016-12-30T07:33:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,everyone,ब्रेकअप के बाद कुछ ज्यादा हसीन और खुश हैं टीवी की ये हसीनाएँ!| #beautiful #happy #breakup #TVHasina http://someurl,814736087843217408,843529538,814736087843217408,Facebook,#happy,,
hi,2016-12-30T07:06:18.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,everyone,ये 8 आदतें आपको स्वस्थ और खुशहाल रखेंगी| #8Habits #keep #healthy #happy http://someurl,814729306530316289,843529538,814729306530316289,Facebook,#happy,,
hi,2016-12-30T04:59:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",82827102,everyone,"@someuser @someuser Aye zindagi gale laga le..Humne bhi tere har ik gham ko..Gale se lagaya h, h na! #Morning #Music #Cuppa #happy :*",814697473952350208,294390188,814697473952350208,Mobile Web (M2),#happy,,
hi,2016-12-30T04:55:38.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,everyone,@someuser Hai desh ke Neta is naye sal me ek hokar Bharat ke Vikash karenge..$##sirf sochenge nahi##Happy New Year##2017😉👍👍👍cheers##,814696422427820034,749892561406464000,814696422427820034,Twitter for Android,#happy,,
