lang,conversation_id,id,created_at,public_metrics,author_id,source,text,reply_settings,search_query,in_reply_to_user_id,referenced_tweets,geo
nl,814963691393347586,814963691393347586,2016-12-30T22:37:39.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814463002997125123,Twitter for iPhone,Haartjes gekleurd #happy #hair #red #loveit http://someurl,everyone,#happy,,,
nl,814960923664412676,814960923664412676,2016-12-30T22:26:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",264181448,Twitter for iPhone,Heerlijk t#taylor naar huis hoeven we daar niet meer naar te kijken #happy Thanks  @someuser,everyone,#happy,,,
nl,814956073564119040,814956073564119040,2016-12-30T22:07:23.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3689670679,Instagram,ZEN 😂 dannybrabo #mexico #acapulco #playa #bjjlifestyle #funny #fun #happy #familytime #family... http://someurl,everyone,#happy,,,
nl,814952427501879296,814952427501879296,2016-12-30T21:52:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3222364990,Twitter for iPhone,K ga volgende week zulke leuke dingen doen😊❤️ #happy,everyone,#happy,,,
nl,814946462844985344,814946462844985344,2016-12-30T21:29:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",250783361,Twitter for Android,Team TEXASSTEAK willen onze gasten  #HAPPY #NEW #YEAR ALLE LIVE #GASTEN BEDANKT VOOR TOP #JAAR 2017 BIJ ONS  STEAKHOUSE TEXAS STEAK SNEEK http://someurl,everyone,#happy,,,
nl,814934238990630912,814934238990630912,2016-12-30T20:40:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",44837247,Instagram,Eindelijk een gezellige #zithoek #happy #werdtijd #relaxmodusaan http://someurl,everyone,#happy,,,
nl,814919572352475136,814919572352475136,2016-12-30T19:42:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3840860434,Instagram,Happy new year....nieuw jaar nieuwe kansen nieuwe superhelden #nieuwjaar #2017 #happy #newyear http://someurl,everyone,#happy,,,
nl,814917371504852994,814917371504852994,2016-12-30T19:33:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",96842530,Twitter for iPhone,"Voor een gezond, goed en mindful begin van 2017 even deze Allerhande van @someuser in huis halen! #happy #healthy2017 #mindful #gezond http://someurl",everyone,#happy,,,
nl,814891250717523968,814891250717523968,2016-12-30T17:49:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2196721981,Twitter for Windows Phone,Vanochtend zat ik om 05.50 op de fiets en 06.30 al op werk in Boekelenmeer... Ben stuk!!! Eindelijk weekend en nye🎆 #happy #newyear #fri,everyone,#happy,,,
nl,814880578583613440,814880578583613440,2016-12-30T17:07:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",113641218,Twitter for Android,Voor mij was 2016 een jaar zoals veel andere jaren. Weinig bijzonderheden en dat was heel fijn! #geluk #happy http://someurl,everyone,#happy,,,
