source,conversation_id,author_id,text,geo,reply_settings,created_at,id,public_metrics,lang,search_query,referenced_tweets,in_reply_to_user_id
Instagram,814979866097426432,572207012,Curtindo a última sexta do ano com a Linda!!! ❤❤❤😍😍😍😍| #Love #Friday #chopp #Happy #comEla 🍺🍺 @someuser http://someurl,"{'coordinates': {'type': 'Point', 'coordinates': [-43.22790032, -19.6302035]}, 'place_id': 'c59f704f90e54601'}",everyone,2016-12-30T23:41:56.000Z,814979866097426432,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#happy,,
Instagram,814977139363770368,110881012,Simbora curtir a última sexta do ano? 😆🍻 #happy #endyear #vem2017... http://someurl,,everyone,2016-12-30T23:31:06.000Z,814977139363770368,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#happy,,
Instagram,814969058953195521,1327613215,Depois de um dia andando... agora parte dois! #boys #buenosaires #trip #vacaciones #happy @someuser http://someurl,,everyone,2016-12-30T22:58:59.000Z,814969058953195521,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#happy,,
Instagram,814968260999479296,750516642367545344,A pequenininha encontrou o seu grandalhão ♡ #amor #love #boyfriend #namorado #happy #feliz... http://someurl,,everyone,2016-12-30T22:55:49.000Z,814968260999479296,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#happy,,
Instagram,814966789096505344,322868474,Atitudes falam mais do que mil palavras 👬💍 #compromisso #alianca #alliance #boyfriend #happy... http://someurl,,everyone,2016-12-30T22:49:58.000Z,814966789096505344,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",pt,#happy,,
Instagram,814966578018074624,20059564,Uma amiga e um bar 🙌🏻| #happy #bar #cheers http://someurl,,everyone,2016-12-30T22:49:08.000Z,814966578018074624,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#happy,,
Instagram,814949683206455300,179531872,Pq a vida é feita pra sorrir. #friends #beach #errejota #praiadaconcha #maloka #happy @ Praia... http://someurl,"{'coordinates': {'type': 'Point', 'coordinates': [-41.98238541, -22.87105862]}, 'place_id': 'd42f80e40fa33567'}",everyone,2016-12-30T21:42:00.000Z,814949683206455300,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#happy,,
Instagram,814946338702065664,131023665,Natal com a mamãe 😍😍😍| #marvel #natal #christmas #happy #me #tbt #selfie #Best #perfect #love... http://someurl,,everyone,2016-12-30T21:28:42.000Z,814946338702065664,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#happy,,
Instagram,814945480467587073,3362699313,Curtindo a tarde 😁😁| #happy #girlfriend #dog #park @ Parque Villa Lobos http://someurl,,everyone,2016-12-30T21:25:18.000Z,814945480467587073,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#happy,,
Instagram,814945220693520384,446076359,Assistindo TV na minha cama nova! #happy 😁😁😁😍😉 combinando com o... http://someurl,,everyone,2016-12-30T21:24:16.000Z,814945220693520384,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",pt,#happy,,
