lang,conversation_id,id,created_at,public_metrics,author_id,source,text,reply_settings,search_query,geo,in_reply_to_user_id,referenced_tweets
tl,814980239818248192,814980239818248192,2016-12-30T23:43:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",273371668,Twitter for iPhone,"happy birthday, ate laly!!! (belated kasi extra ako) hihi xx #happy #birthday http://someurl",everyone,#happy,,,
tl,814956663513853952,814956663513853952,2016-12-30T22:09:44.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",804757316742496256,Twitter for iPhone,Him ❤#love #him #boyfriend #hawaii japan #tokyo #fun #smile #roppogi #colorful #pastel #life #boy #girl #happy http://someurl,everyone,#happy,,,
tl,814956331148808193,814956331148808193,2016-12-30T22:08:25.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",3014160445,Instagram,Matulog tag malinawun hahaha😂😂| #inshot #girls #cute #summer #blur #sun #happy #fun #dog #hair... http://someurl,everyone,#happy,,,
tl,814955916361629696,814955916361629696,2016-12-30T22:06:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",94321615,Instagram,#lastholidayof2016 #😁 #happy #countdown #nye @ Singapore Changi Airport http://someurl,everyone,#happy,"{'place_id': '6635b2fcebd13c64', 'coordinates': {'type': 'Point', 'coordinates': [103.989444, 1.359167]}}",,
tl,814954041377783808,814954041377783808,2016-12-30T21:59:19.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2766898381,Instagram,#nowvip #happy #new #year2017 @ Hugos http://someurl,everyone,#happy,"{'place_id': 'c589d9d6ed38927c', 'coordinates': {'type': 'Point', 'coordinates': [8.6723199, 50.11384]}}",,
tl,814916636847247360,814916636847247360,2016-12-30T19:30:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",770363026742583296,Instagram,"#Captain ki Tarf se The #Hulk ko #Happy bday| | Happy Wala Bday @ Chinchwad, Maharashtra, India http://someurl",everyone,#happy,"{'place_id': '0a063651d547b2b9', 'coordinates': {'type': 'Point', 'coordinates': [73.7833, 18.6167]}}",,
tl,814914114946482176,814914114946482176,2016-12-30T19:20:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811363843452481536,Instagram,| Na Na Na 💛🦇|| | #Batman #batbaby #friday #happy #babygirl #batgirl http://someurl,everyone,#happy,,,
tl,814904449076326401,814904449076326401,2016-12-30T18:42:15.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",435276447,Instagram,Histórias simples ...| Good Afternoon | raphaell.p| #parceiro | #friends | #forever | #folowme | #happy... http://someurl,everyone,#happy,,,
tl,814902386636496899,814902386636496899,2016-12-30T18:34:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",347461881,Instagram,Mister pogi ng Pasig. Charaught. #selfie #weekend #love #happy #instagay #gay #blackandwhite... http://someurl,everyone,#happy,"{'place_id': '005de1fe214f002d', 'coordinates': {'type': 'Point', 'coordinates': [121.05795629, 14.58566502]}}",,
tl,814892797803294720,814892797803294720,2016-12-30T17:55:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",264441086,Instagram,My mom! | .| .| .| .| #family #happyday #happy @ Montelibano (Cord) http://someurl,everyone,#happy,"{'place_id': '00ae95bc6a8986e6', 'coordinates': {'type': 'Point', 'coordinates': [-75.41947964, 7.98221115]}}",,
tl,814883119106912260,814883119106912260,2016-12-30T17:17:30.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",32918556,Instagram,Anita  ❤️#familia #family #happy  #sleep #sleeping eyes  #fashiongram #fashion #fashionista... http://someurl,everyone,#happy,"{'place_id': 'dc97161cbc706a6d', 'coordinates': {'type': 'Point', 'coordinates': [-48.60278, -27.8675]}}",,
tl,814882262844063744,814882262844063744,2016-12-30T17:14:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1322028044,Facebook,Looooooool. Ndichikungoita #Happy http://someurl,everyone,#happy,,,
tl,814881916373663744,814881916373663744,2016-12-30T17:12:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",813361523829641216,Twitter Web Client,#Happy Taehyung day http://someurl,everyone,#happy,,,
tl,814848052259262465,814848052259262465,2016-12-30T14:58:09.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💛💓Happy Birthday Taehyungoppa💞💙| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814847979244949506,814847979244949506,2016-12-30T14:57:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",122304959,Instagram,#happy#new#year#sanmar#shipyards#2017 😎 @ Sanmar Shipyards http://someurl,everyone,#happy,"{'place_id': '5e02a0f0d91c76d2', 'coordinates': {'type': 'Point', 'coordinates': [29.28976, 40.85396]}}",,
tl,814847614281596932,814847614281596932,2016-12-30T14:56:25.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💛💓Happy Birthday Taehyung oppa💞💖| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
tl,814847509352751106,814847509352751106,2016-12-30T14:56:00.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758255885730713600,Twitter for Android,💛💓Happy Birthday Taehyung oppa💞💝| #Happy V day🎉| #Happy Taehyung day 🎂| @someuser @someuser | cr. ARMY-Jean-BANGTAN| http://someurl,everyone,#happy,,,
