lang,created_at,public_metrics,reply_settings,text,id,author_id,conversation_id,source,search_query,geo,referenced_tweets,in_reply_to_user_id
zh,2016-12-30T16:13:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",everyone,(*¯︶¯*) 新年快乐！Happy New Year！| #happy #happynewyear #2017 #selfie #shopping #jokeface #glasses @someuser http://someurl,814867029618520065,424091877,814867029618520065,Instagram,#happy,,,
zh,2016-12-30T15:33:28.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,原来我玩梦100已经1年了😚| 一周年快乐😘😘😘| #happy #enjoy #夢王国と眠れる100人の王子様 http://someurl,814856940086001664,2260498676,814856940086001664,Instagram,#happy,,,
zh,2016-12-30T14:50:33.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,成為餐廳賣點| | #life #allaboutricardolsw #belief #trip #travel #England #London #enjoy #happy... http://someurl,814846141074243584,910875823,814846141074243584,Instagram,#happy,,,
zh,2016-12-30T13:35:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,天氣太冷| 躲進室內喝杯熱咖啡| | #life #allaboutricardolsw #belief #trip #travel #England #London #enjoy #happy... http://someurl,814827159168557056,910875823,814827159168557056,Instagram,#happy,,,
zh,2016-12-30T12:35:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,吃過最多金莎的一年| | #161230 #Happy #Timefast #Newyearcoming #Lovecouple #Chocolate #William http://someurl,814812156789043200,3040876165,814812156789043200,Instagram,#happy,,,
zh,2016-12-30T12:27:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,整個就很愛買| 醬😎| #Happy new year| #よいお年を🎍 @ 東區巷子裡 http://someurl,814810228747341828,747214826754080768,814810228747341828,Instagram,#happy,,,
zh,2016-12-30T11:54:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,朦朧中更濕淒美| | #life #allaboutricardolsw #belief #trip #travel #England #London #enjoy #happy @ The... http://someurl,814801942773776384,910875823,814801942773776384,Instagram,#happy,,,
zh,2016-12-30T10:01:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,走出別人的嘴| | 活出自己的人生| #life #iupstage #party #happy http://someurl,814773403601076224,2222639844,814773403601076224,Twitter for iPhone,#happy,{'place_id': '00b780db7b3ed0ed'},,
zh,2016-12-30T09:51:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,希望明年也可以快快樂樂過一年 #happy #year #2016🎉 #and #2017goals #is... http://someurl,814770950357053441,156648782,814770950357053441,Instagram,#happy,,,
zh,2016-12-30T09:24:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,路過意外發現美麗地方| | #life #allaboutricardolsw #belief #trip #travel #England #London #enjoy #happy @someuser http://someurl,814763971525738496,910875823,814763971525738496,Instagram,#happy,,,
zh,2016-12-30T08:02:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,去養鴨場趕下鴨！～ 貼近啲動物。唉呀～...就係忘記同啲唐老鴨嚟張Selfie...🤗| .| .| #duckfarm| #duck| #養鴨農場| #peterkong | #happy... http://someurl,814743453955457024,50749184,814743453955457024,Instagram,#happy,,,
zh,2016-12-30T07:43:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,祝2017顺顺利利健健康康平平安安旺旺发发✌🏻️✌🏻| #tb #love #happy #tgif #instagram... http://someurl,814738565204766720,431807755,814738565204766720,Instagram,#happy,,,
zh,2016-12-30T07:24:09.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,我们的设计公司 #63 Our agency #63 #centdegrés #HAPPY NEW YEAR! #2017 #centdegrés #centdegréschina  http://someurl http://someurl,814733799774883840,3945813312,814733799774883840,Twitter Web Client,#happy,,,
