public_metrics,source,created_at,id,conversation_id,text,author_id,lang,reply_settings,search_query,referenced_tweets,geo,in_reply_to_user_id
"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",BookBuzzr,2016-12-30T23:57:52.000Z,814983875675963392,814983875675963392,"#bookreview Hilary, From Novel DTales gave a five star review to Mellifica! Inspiring story! #kindle| #heartbroken - http://someurl",732959515,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T23:57:24.000Z,814983760454160384,814983760454160384,Saddened #heartbroken http://someurl,97048063,en,everyone,#heartbroken,"[{'type': 'quoted', 'id': '813816434073579521'}]",{'place_id': 'a592bd6ceb1319f7'},
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T23:46:32.000Z,814981026523054081,814981026523054081,"Sometimes you have to act like you dont care how much do you feel bad , even when you do.😔 #heartbroken",457806420,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T23:34:49.000Z,814978076513734656,814978076513734656,"A relationship since 2003, prepare to say goodbye #heartbroken #pissedoff #mnp #fromgreentoblue",61950445,en,everyone,#heartbroken,,,
"{'retweet_count': 3, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter Web Client,2016-12-30T23:15:16.000Z,814973156096086017,814973156096086017,#FridayNight with @someuser #NowPlaying #Heartbroken @someuser #GetUp #GetKrazay #TGIF,359842759,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",Twitter for Android,2016-12-30T22:39:13.000Z,814964084504489988,814964084504489988,The worst end of year of my life.| Life is so cruel...| #heartbroken,747852236458438656,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,2016-12-30T22:34:37.000Z,814962927518253056,814962927518253056,Now you are just somebody that I used to know #heartbroken,21320182,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T22:17:52.000Z,814958710393020416,814791083796348929,@someuser I wouldnt mind but its not like weve ever had it easy in this league so I dont know why its so hard to face #heartbroken 😂,912976922,en,everyone,#heartbroken,"[{'type': 'replied_to', 'id': '814957505923215361'}]",,789935569
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPad,2016-12-30T22:14:10.000Z,814957780062892033,814957780062892033,"#2016 curse strikes again,and takes another legend..My Legend! My beautiful fluffy Tango-muffins. Chase those 🎾forever my baby.#heartbroken http://someurl",2468003341,en,everyone,#heartbroken,,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T21:54:42.000Z,814952881317101569,814952881317101569,When @someuser forgets to take you to New Zealand... 😒#heartbroken,1284644274,en,everyone,#heartbroken,,,
