reply_settings,conversation_id,public_metrics,id,text,created_at,source,author_id,lang,search_query,referenced_tweets,in_reply_to_user_id,geo,withheld
everyone,814880482341031937,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",814880482341031937,#NYE #Live @someuser  #Heartbroken #YaaraDdara #LethalCombination #Ohgirl ZarasVip Bham Be there!🍾🎉💙 http://someurl,2016-12-30T17:07:01.000Z,Buffer,26745112,hi,#heartbroken,,,,
everyone,814059331624701952,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",814059331624701952,Tere karke raatan nu asi taare ginde aa| Tu laaye jo unglan uttey laare ginde aa|  #GarrySandhu #HeartBroken #Awesome Rap @someuser,2016-12-28T10:44:03.000Z,Twitter Web Client,727760322061283328,hi,#heartbroken,,,,
everyone,811633744050200577,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",811633744050200577,Jo bhi Hum sochte hai agar vo Pura nahi hotha tho bohath Bura lagta hai 😭😭| Mere Kismat mein Kya likha hai Bhagwan Aapne 😭😭| #HeartBroken 💔,2016-12-21T18:05:38.000Z,Twitter for Android,1540278199,hi,#heartbroken,,,,
everyone,810779214538358784,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",810779214538358784,रॉब करदाशियां ने विडियो कंफेशन में जाहिर किया ब्लेक चायना के जाने का दर्द| #RobKardashian #HeartBroken http://someurl,2016-12-19T09:30:02.000Z,Facebook,1549916598,hi,#heartbroken,,,,
everyone,808778567526006784,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",808778567526006784,RIP Charlie Holohan #bestdogever #goldenretriever #heartbroken... http://someurl,2016-12-13T21:00:11.000Z,Instagram,702817561,hi,#heartbroken,,,,
everyone,806831434073776128,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",806831434073776128,Ik Shakhs Saray Sheher Ko Weeran Kar Gaya #JunaidJamshed #Devastated #Heartbroken,2016-12-08T12:02:58.000Z,Twitter for Android,53372850,hi,#heartbroken,,,,
everyone,806530917967822848,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",806530917967822848,Zameen kha gai nojawan kesy kesy...| #heartbroken 😢😢😢😢 http://someurl,2016-12-07T16:08:50.000Z,Twitter for Android,765881624680665088,hi,#heartbroken,,,,
everyone,804291724126273540,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",804322033597382656,@someuser mujhe bhi reply ni kiya 😟😢 #FeelingSad #HeartBroken #YamiSays,2016-12-01T13:51:31.000Z,Twitter for Android,2261326626,hi,#heartbroken,"[{'type': 'replied_to', 'id': '804291724126273540'}]",1139649950,,
everyone,803633275990315008,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",803633275990315008,"PART 2/2 | Berukhi me unki, lehaaz kis tarha ka?| Najaane kyun magar ek umeed si wabasta hai| #poetry #urdupoetry #beautifulpoetry #heartbroken",2016-11-29T16:14:38.000Z,Twitter for Android,3177557641,hi,#heartbroken,,,{'place_id': '70957ac3123b3249'},
everyone,802431382349713408,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",802431382349713408,@someuser sahi kar raha hai bhai.. ladki ke kutte ko pata rha.. ladki khud kutte pichhe baage baage aati... 👍 #heartbroken,2016-11-26T08:38:44.000Z,Twitter for Android,744920717066526720,hi,#heartbroken,,4548294080,,
everyone,801843534194044928,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",801843534194044928,Kyuki ye baatein maine aone Pati ko batai thi..Aur ab tum vo insaan nahi ho 😭😭😭😭😭😭😭😭😂| #HeartBroken| #BadtameezDil,2016-11-24T17:42:50.000Z,Twitter for Android,1683745484,hi,#heartbroken,,,,
everyone,801341666389086208,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",801343032385826816,@someuser aur jo hum itnay din sae follow kar rahay hain woh Kuch nahi? #heartbroken,2016-11-23T08:34:01.000Z,Twitter for Android,142028271,hi,#heartbroken,"[{'type': 'replied_to', 'id': '801341666389086208'}]",130159846,,
everyone,799642385974235136,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",799642385974235136,"Sonam Gupta Bewafa thi, hai aur rahegi| #HeartBroken #triksum #sonamguptabewafahai #boomerang... http://someurl",2016-11-18T15:56:16.000Z,Instagram,994079070,hi,#heartbroken,,,"{'coordinates': {'type': 'Point', 'coordinates': [72.910378, 19.12125231]}, 'place_id': '7929cea6bd5b32bd'}",
everyone,798819255936425984,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",798890965259972608,@someuser aapne to humara vishwaas hi tor diya sir. Aap to khud hi corruption k khilaaf the na.| Aap to aise nahi the sir| #HeartBroken😢,2016-11-16T14:10:23.000Z,Twitter for Android,564043458,hi,#heartbroken,"[{'type': 'replied_to', 'id': '798819255936425984'}]",405427035,{'place_id': '1c302ac214ae518c'},
everyone,796704463369240577,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",796704463369240577,Aai Maa*tm bohet yaad aati ho.| #Heartbroken. http://someurl,2016-11-10T13:22:00.000Z,Twitter for Android,3309184303,hi,#heartbroken,"[{'type': 'quoted', 'id': '796691515263303680'}]",,,
everyone,796001184737882112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",796001184737882112,Aai Maa tm bohet Yaad Aati ho.| #heartbroken. http://someurl,2016-11-08T14:47:26.000Z,Twitter for Android,3309184303,hi,#heartbroken,,,,
everyone,795030047774150656,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",795373399652634625,@someuser @someuser @someuser oska dil hai pigalta naiii #heartbroken #DilJallle,2016-11-06T21:12:50.000Z,Twitter for iPhone,301709182,hi,#heartbroken,"[{'type': 'replied_to', 'id': '795373102632960005'}]",114544973,,
everyone,794957272535486465,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",794957272535486465,Tum Rakh Na Sakoge Mera Tohfa| Sambhal Kr...| | Warna Abhi Dil De Deta Apne Sine| Se Nikal Kar..!!!| | #jasso #heartbroken,2016-11-05T17:39:18.000Z,Facebook,183263083,hi,#heartbroken,,,,
everyone,792692679414951936,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",792692679414951936,"Tod kar dil mera, woh bhee roya der tak.| Jis se jee behlaya karta thha, woh khilona hee jo naheen raha... #heartbroken #AeDilHaiMushkil",2016-10-30T11:40:36.000Z,Twitter Web Client,88606541,hi,#heartbroken,,,,
everyone,792653389364621312,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",792653389364621312,Choro Wafa Kai Kisai Yai Umaron Ka rona Hai..| Na pehlai Koi apna tha na ab kisi nai hona hai..| #hadisays| #heartbroken,2016-10-30T09:04:29.000Z,Twitter for Android,748927549422637056,hi,#heartbroken,,,,
everyone,789594177415839744,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",789594177415839744,"Oye jindagi tujhse bhi shikayat rahegi,| Bewajah hi bewafa ho gayi tu.   💔💔| #missyou #love #heartbroken http://someurl",2016-10-21T22:28:16.000Z,Twitter for Android,109499850,hi,#heartbroken,,,,
everyone,787567565635719168,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",787567565635719168,"Mohabbat zindagi badal deti hai...| .| Mil jaaye tab bhi,| Naa mile tab bhi.. !! :(| | #HeartBroken",2016-10-16T08:15:14.000Z,Facebook,2490458887,hi,#heartbroken,,,,
everyone,785150610232315904,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",785150610232315904,इस पेज पर भी थोड़ा गौर फरमाईये दोस्तों...http://someurl #Poems #Shayari #Romance #Love nd #heartbroken,2016-10-09T16:11:07.000Z,Twitter Web Client,1859606562,hi,#heartbroken,,,,
everyone,784000312684253185,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",784000312684253185,"#Heartbroken | | ना उम्मीद हो रहें हैं इस वतन से दोस्तों,| जहाँ सिपाही के जिंदा आने पर,जीत का सबूत माँगा जाये।| | Via :- @someuser",2016-10-06T12:00:15.000Z,Twitter for Android,704953930711629824,hi,#heartbroken,,,,
everyone,781552965375188996,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",781552965375188996,Saala #dil hai ya #football jo ata hai #thuda mar k chala jata hai 😓😓😓😓😓| #Heartbroken #foreverAlone,2016-09-29T17:55:22.000Z,Mobile Web (M2),2640778899,hi,#heartbroken,,,,
everyone,777399006146260993,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",777399006146260993,"नजाकत तो देखो उन नजरों की,| हमसे बचने की कोशिश मे बार बार हमे ही देखती है ....❤#heartbroken thought",2016-09-18T06:49:01.000Z,Twitter for Android,768401006149431297,hi,#heartbroken,,,,
everyone,776846349027385345,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",776846349027385345,रोज़ एक नई तकलीफ.. रोज़ एक नया गम.... ना जाने कब ऐलान होगा की मर गए हम....#heartbroken http://someurl,2016-09-16T18:12:57.000Z,Instagram,3370534433,hi,#heartbroken,,,,
everyone,773313599238447104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",773313599238447104,"Mat chaho kisi ko itna ki baad mein Rona pade,| kyuki ye Duniya Dil se nahi zaroorat se pyar karti hai.. | | #HeartBroken",2016-09-07T00:15:04.000Z,Facebook,237124853,hi,#heartbroken,,,,
everyone,771357081811255297,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",771357081811255297,@someuser   yaar!!!  #heartbroken http://someurl,2016-09-01T14:40:34.000Z,Twitter for Android,2878588579,hi,#heartbroken,"[{'type': 'quoted', 'id': '771274470120009732'}]",181275886,,
everyone,769797547472871424,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",769797547472871424,Buccaneer kwenzenjani? 😔😕 #Heartbroken #MTN8,2016-08-28T07:23:32.000Z,Twitter for Android,730074062752468993,hi,#heartbroken,,,,
everyone,769446502552834048,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",769446502552834048,"Dil k arma aasuo me beh gae,| Hum wafa kar k bhi chutiya ban gae...😥| #heartbreak #heartbroken #DilLagi #hutiyapa #aisehibakchodi",2016-08-27T08:08:36.000Z,Twitter for Android,2897714382,hi,#heartbroken,,,,
everyone,768195495852244992,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",768195495852244992,RIP Jools ( Jiulietta ) 1995-2016. #heartbroken http://someurl,2016-08-23T21:17:33.000Z,Twitter Web Client,75417629,hi,#heartbroken,,,,
everyone,767767747744915456,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",767767747744915456,"Dard Tho Hoga Hi Na ,Aakhir Dil Hai Pattar Tho Nahi #Heartbroken",2016-08-22T16:57:50.000Z,Twitter for Android,331574081,hi,#heartbroken,,,,
everyone,767083219267227648,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",767083219267227648,Khoon aur matti se ata yeh bacha bekhabar hai kay ispar kia qayamat guzar gai.|  #SyriaBoy|  #Aleppo| #heartbroken... http://someurl,2016-08-20T19:37:45.000Z,Facebook,821965345,hi,#heartbroken,,,,
everyone,764161251790446592,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",764161251790446592,Or phr remote per bhai ka qabza hogaya T^T #HeartBroken,2016-08-12T18:06:54.000Z,Mobile Web (M2),3062319986,hi,#heartbroken,,,,
everyone,763799244465725441,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",763799244465725441,Tujhe paa ke naa paaya.. Yahi| baatein chubh si jaati hai.| #Shayari   #Shayari #Dil| #HeartBroken #mohabbat,2016-08-11T18:08:25.000Z,Mobile Web (M2),742583796,hi,#heartbroken,,,,
everyone,763798860175138816,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",763798860175138816,Tujhe dil se tha chaaha.. Tu hi| to naa mil paaya. #Shayari #Shayari #Dil #HeartBroken| #mohabbat,2016-08-11T18:06:53.000Z,Mobile Web (M2),742583796,hi,#heartbroken,,,,
everyone,763452095743787008,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",763452095743787008,@someuser @someuser @someuser Nawaz Sharif ka Taraqi karta #RoshanPakistan #HeartBroken Establishment??? http://someurl,2016-08-10T19:08:58.000Z,Twitter for Android,1110215995,hi,#heartbroken,,234092394,,
everyone,761995282410119168,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",761995282410119168,Chin up Jitu Rai! #Heartbroken #Ind #Olympics,2016-08-06T18:40:07.000Z,Twitter for iPhone,53963882,hi,#heartbroken,,,,
everyone,761135690583126016,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",761135690583126016,Maut Se Pehle Bhi Ek Aur Maut Hoti Hain | Dekho Jara Tum Kisi Apne se Juda Hokar..| | #heartbroken #loveneverdies #missing,2016-08-04T09:44:24.000Z,Facebook,371747859,hi,#heartbroken,,,,
everyone,760100166821154816,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",760100166821154816,Muhabbat kia hai?| Apne dil ko kuch der kisi k dhokey mai rakhna...|  #heartbroken,2016-08-01T13:09:36.000Z,Facebook,757730515,hi,#heartbroken,,,,
everyone,759002184134434816,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",759002184134434816,Kuch log pehle tumhe importance dete hai.| Phir kuch din baad apni aukaat dikhate hai.| #heartbroken,2016-07-29T12:26:36.000Z,Twitter for Android,1114293416,hi,#heartbroken,,,,
everyone,758992673126567939,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",758992673126567939,#ishq ...| #Nokar Mangta Hai...| | #lovehurts #heartbroken #pain,2016-07-29T11:48:49.000Z,Twitter Web Client,231052000,hi,#heartbroken,,,,
everyone,758206091322806272,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",758206091322806272,Aapan yaana pahilet ka? #worried #heartbroken #bringbaeback http://someurl,2016-07-27T07:43:13.000Z,Twitter for Android,1413499980,hi,#heartbroken,"[{'type': 'quoted', 'id': '758201206091100160'}]",,,
everyone,757296547621015552,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",757296547621015552,"Koi kisi ke liye nahi marta, Jab tak saanssein chalti Hain sabko jeena Padta hain..!! :(| | #HeartBroken",2016-07-24T19:29:01.000Z,Facebook,371747859,hi,#heartbroken,,,,
everyone,755644183063461889,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",755644183063461889,"अकेले ही गुजारनी पड़ती है ये ज़िन्दगी, लोग| तसल्लियां तो देते हैं पर साथ नहीं..| | #HeartBroken",2016-07-20T06:03:07.000Z,Facebook,371747859,hi,#heartbroken,,,,
