reply_settings,lang,conversation_id,referenced_tweets,author_id,public_metrics,id,text,source,created_at,search_query,geo,in_reply_to_user_id
everyone,nl,814802475953823744,"[{'type': 'retweeted', 'id': '813502819584081922'}]",619325899,"{'retweet_count': 36, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",814802475953823744,RT @someuser When ik een gesprek terug vind met de liefde van men leven. Wreed mens benkik toch.. #heartbroken #2011belike http://someurl,Twitter for iPhone,2016-12-30T11:57:03.000Z,#heartbroken,,
everyone,nl,813502819584081922,,706826333125517312,"{'retweet_count': 36, 'reply_count': 14, 'like_count': 2925, 'quote_count': 11}",813502819584081922,When ik een gesprek terug vind met de liefde van men leven. Wreed mens benkik toch.. #heartbroken #2011belike http://someurl,Twitter for iPhone,2016-12-26T21:52:40.000Z,#heartbroken,{'place_id': '23b2c168c3d77a81'},
everyone,nl,812033442959462401,"[{'type': 'retweeted', 'id': '812011144894365696'}]",3127466991,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",812033442959462401,RT @someuser Laatste aflevering van D5R #heartbroken,Twitter for iPhone,2016-12-22T20:33:54.000Z,#heartbroken,,
everyone,nl,812011144894365696,,1476706230,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",812011144894365696,Laatste aflevering van D5R #heartbroken,Twitter for iPhone,2016-12-22T19:05:18.000Z,#heartbroken,,
everyone,nl,811624475196268544,,781859112367824896,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",811624475196268544,Jonas waarom blijf je nou zo lief?!😍😍 #ghostrockers #heartbroken💔,Twitter for Android,2016-12-21T17:28:48.000Z,#heartbroken,,
everyone,nl,810609615067115520,,1482732138,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",810609615067115520,Eerst pakken ze Finn van mij af en dan Licoln 😭😭 #youbitches #heartbroken,Twitter for iPhone,2016-12-18T22:16:07.000Z,#heartbroken,,
everyone,nl,807628609653506050,,2391216504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",807628609653506050,ENZO IS GAY!?!?!??!?? #Heartbroken http://someurl,Twitter for Android,2016-12-10T16:50:40.000Z,#heartbroken,,
everyone,nl,806551561232990208,,2934196334,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",806551561232990208,"#Michael #Westbrook -- #Shocked, #Heartbroken ... Over #Rashaan Salaams #Death (#Audio) http://someurl #Salaams",ceivyii,2016-12-07T17:30:51.000Z,#heartbroken,,
everyone,nl,806502563268935680,"[{'type': 'replied_to', 'id': '806502563268935680'}]",1121079144,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",806521450899341312,@someuser ameen #heartbroken #Junaidjamshed :(,Twitter for iPhone,2016-12-07T15:31:12.000Z,#heartbroken,,242714826
everyone,nl,802870172159766528,"[{'type': 'retweeted', 'id': '802417158672318465'}]",207034736,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",802870172159766528,RT @someuser Tranen met tuiten bij het beluisteren van @someuser zn kerstsingle. Maar jeetje wat is hij mooi! #heartbroken,Echofon,2016-11-27T13:42:20.000Z,#heartbroken,,
everyone,nl,802417158672318465,,99155249,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",802417158672318465,Tranen met tuiten bij het beluisteren van @someuser zn kerstsingle. Maar jeetje wat is hij mooi! #heartbroken,Echofon,2016-11-26T07:42:13.000Z,#heartbroken,,
everyone,nl,801204949921185792,"[{'type': 'replied_to', 'id': '801204949921185792'}]",723264885778464769,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",801495870856429576,@someuser DIT. Ik baalde zo van dat einde 😭😭 #heartbroken,Twitter for iPhone,2016-11-23T18:41:21.000Z,#heartbroken,,2921404827
everyone,nl,800254517111648256,"[{'type': 'quoted', 'id': '799526384414654467'}]",17895284,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",800254517111648256,1/10 kinderen weet niet of hun ouders hun graag zien. #nochildalone #heartbroken http://someurl,Twitter for iPhone,2016-11-20T08:28:39.000Z,#heartbroken,,
everyone,nl,796441189474041862,,138123110,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",796441189474041862,Waarom altijd de verkeerde ? #heartbroken #love,Twitter for iPhone,2016-11-09T19:55:51.000Z,#heartbroken,{'place_id': '2a8a74486cd0d519'},
everyone,nl,795684926410596352,,279089579,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",795684926410596352,"Pff dat moment wanneer ge een fles Passoa koopt, buiten komt van de winkel, uw zak scheurt en uw fles breekt... #heartbroken 😭🍹",Twitter for iPhone,2016-11-07T17:50:44.000Z,#heartbroken,,
everyone,nl,793830047291469824,,2937166299,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",793830047291469824,"Waar is de tijd dat we juist als zussen waren? Ik wil u dat zeggen, maar dan verlies ik u misschien nog meer 😞 #fruendship #heartbroken",Twitter for Android,2016-11-02T15:00:06.000Z,#heartbroken,,
everyone,nl,791627462199349249,"[{'type': 'replied_to', 'id': '791628295183953920'}]",1079421901,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",791628447529533440,"@someuser wacht, vertel je me nu dat je geen kikker skin meer hebt? #HeartBroken",Twitter for Android,2016-10-27T13:11:44.000Z,#heartbroken,,966206155
everyone,nl,791277472105070592,,582631278,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",791277472105070592,Net te weten gekomen dat de jas die ik wou iets meer dan 1200€ kost 💔💔💔 #heartbroken #sosad,Twitter for iPhone,2016-10-26T13:57:05.000Z,#heartbroken,,
everyone,nl,789172902667038720,,4055528674,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",789172902667038720,5 mensen die mij niet volgen #heartbroken : @someuser @someuser @someuser @someuser @someuser,TweetDeck,2016-10-20T18:34:16.000Z,#heartbroken,,
everyone,nl,788110768898187265,,3399729976,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",788110768898187265,@someuser #heartbroken#deathofpedals#support s2702 http://someurl,Twitter for Android,2016-10-17T20:13:44.000Z,#heartbroken,,1347285918
everyone,nl,782617855485480960,,102625915,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",782617855485480960,Laatste dag dit seizoen dat we bolletjes kunnen scoren bij @someuser #Heartbroken #Utrecht http://someurl http://someurl,Foursquare,2016-10-02T16:26:51.000Z,#heartbroken,"{'place_id': '871685aa82f8a489', 'coordinates': {'type': 'Point', 'coordinates': [5.13615131, 52.09900559]}}",
everyone,nl,779408169151922176,,3418807873,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",779408169151922176,Dikke struggle wanneer ge leeft op microgolfeten en de microgolf kapot is #heartbroken 💔💔,Twitter for iPhone,2016-09-23T19:52:42.000Z,#heartbroken,,
everyone,nl,778672597085151233,,1680610836,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",778672597085151233,Wat?! Angelina en Brad zijn gescheiden? Hoelang speelt dit al? 😱 #heartbroken,Twitter for iPhone,2016-09-21T19:09:48.000Z,#heartbroken,,
everyone,nl,777922893946691589,,525501585,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",777922893946691589,GSM vergeten in de auto van mijn lief. Ik voel mij een gefaalde moeder. #heartbroken #goeieparentingskills #babywaarbenjenu,Twitter Web Client,2016-09-19T17:30:45.000Z,#heartbroken,,
everyone,nl,776184339717644288,,2987690572,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",776184339717644288,Ik doe zoveel voor u & dan krijg ik dit? #heartbroken,Twitter for Android,2016-09-14T22:22:22.000Z,#heartbroken,,
everyone,nl,774981155112312832,"[{'type': 'replied_to', 'id': '774982364250378240'}]",747010740,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",774992971993378816,@someuser Het is nodig 😔😭💔 #Heartbroken,Twitter for iPhone,2016-09-11T15:28:17.000Z,#heartbroken,,2611275530
everyone,nl,774556787773145088,"[{'type': 'replied_to', 'id': '774565276356521984'}]",2997977241,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",774566482776850432,@someuser Neeeee 😭. Het blijft toch je paarse krokodil he? #heartbroken. | Ik stuur je het adres van mn vriendin (zelf woon ik in Duitsland),Twitter for Android,2016-09-10T11:13:34.000Z,#heartbroken,,145167752
everyone,nl,773136954258972673,,1052288419,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",773136954258972673,😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢Sophie 😢😢😢😢😢😢😢Luke @someuser @someuser @someuser @someuser #winnersandlosers #heartbroken,Twitter for iPhone,2016-09-06T12:33:08.000Z,#heartbroken,,
everyone,nl,768445233201840128,,168293500,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",768445233201840128,Wanneer uw favoriere pen ineens me zon witte lijn door de inkt begint te schrijven #heartbroken #youweretheone,Twitter for Android,2016-08-24T13:49:55.000Z,#heartbroken,{'place_id': '2a8a74486cd0d519'},
everyone,nl,767683066882121729,,130846663,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",767683066882121729,Zico & Seolhyun dating?  #heartbroken,Twitter for Android,2016-08-22T11:21:20.000Z,#heartbroken,,
everyone,nl,765564007109500928,"[{'type': 'replied_to', 'id': '765564230007414784'}]",61726150,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 0, 'quote_count': 0}",765565373349556224,"@someuser hij is al vergeven, hoor ik net. #heartbroken. | Hoewel de man gisteren een veto uitsprak...maar daar werk ik nog aan ;)",Twitter for iPhone,2016-08-16T15:06:23.000Z,#heartbroken,,1215876391
everyone,nl,764181858108182529,,3042937743,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",764181858108182529,@someuser ek so jammer ek kan jou nie more aand sien nie! Hoop j kan verstaan ek wou met my HELE lewe daar wees! 😭😭😭 #heartbroken,Twitter for BlackBerry,2016-08-12T19:28:47.000Z,#heartbroken,,26518339
everyone,nl,763802892612567041,"[{'type': 'replied_to', 'id': '763802892612567041'}]",206206470,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",763803189674147840,@someuser Ai man die geleenthede was Daar! #heartbroken #stillproud,Twitter for iPhone,2016-08-11T18:24:05.000Z,#heartbroken,,74126739
everyone,nl,761894180671062016,,896153359,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",761894180671062016,Pikachu was net dichtbij en nu is ie terug weg 😭 #heartbroken #comeback,Twitter for iPhone,2016-08-06T11:58:22.000Z,#heartbroken,,
