lang,referenced_tweets,reply_settings,source,public_metrics,in_reply_to_user_id,created_at,text,conversation_id,id,author_id,search_query,geo
pt,"[{'type': 'replied_to', 'id': '814499811865018368'}]",everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",742817779749953537,2016-12-30T11:22:12.000Z,@someuser ah coitadinho #heartbroken 😂,814499811865018368,814793705353781248,1433972893,#heartbroken,
pt,,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-28T03:44:49.000Z,Broken heart!  Coração partido.  #conexaomodels #redetv #youtubebtrasil #televisão #heartbreaking #heartbroken #heartbreak #love #amor #love http://someurl,813953825648373764,813953825648373764,705871468173725696,#heartbroken,
pt,,everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-21T22:55:11.000Z,querem saber uma coisa: hj fui ao código pensava q ia ser mt fun e é a maior seca de smp :/ #heartbroken,811706611433488385,811706611433488385,4759419520,#heartbroken,{'place_id': 'f4f954f04a15f7b5'}
pt,,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-20T05:24:29.000Z,Boooo! Booooooooooo!!!👎👎👎👎#RogueOne #cylonsforever| #hated_in_2016 #boo #heartbroken,811079806695669760,811079806695669760,3129173623,#heartbroken,{'place_id': '1d9a5370a355ab0c'}
pt,,everyone,Twitter for Windows Phone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,2016-12-16T00:30:48.000Z,Postando só porque to apaixonada pela tatto do peito <3 #Tatto #Tatuagem #BrokenHeart #HeartBroken #Heart http://someurl,809556345712214017,809556345712214017,1099259383,#heartbroken,
pt,"[{'type': 'replied_to', 'id': '697271839605854208'}]",everyone,Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1460905657,2016-12-14T15:50:16.000Z,@someuser 10 meses depois e eu estou sentida| #heartbroken,697271839605854208,809062962879229953,4097889099,#heartbroken,
pt,,everyone,Twitter for Windows Phone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,2016-12-14T06:13:17.000Z,Primeira sessão. #Tatto #Heartbroken #Heart #Coração http://someurl,808917759409160195,808917759409160195,1099259383,#heartbroken,
pt,,everyone,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-13T00:39:47.000Z,Quando você vê a notícia de que @someuser acabou de se casar com o homem dos seus sonhos... kkkk #heartbroken #felizporela,808471443705131008,808471443705131008,759204455501926400,#heartbroken,
es,"[{'type': 'replied_to', 'id': '807393468456779777'}]",everyone,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2224530502,2016-12-10T01:18:03.000Z,@someuser #heartbroken por Paula vez número 3742180,807393061814857728,807393909445894144,1037883302,#heartbroken,
pt,,everyone,Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2016-12-08T13:35:20.000Z,Desapega. Se doe pra quem merece ❤️️🌸 #beagle #doglover #sadness #heartbroken #ink #piercing... http://someurl,806854676633288704,806854676633288704,48728443,#heartbroken,
