source,public_metrics,author_id,text,id,conversation_id,lang,in_reply_to_user_id,reply_settings,created_at,search_query,referenced_tweets,geo
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",3431565873,@someuser IG photo http://someurl| #ripcarriefisher #heartbroken,813892117043023872,813892117043023872,tl,1936009004,everyone,2016-12-27T23:39:36.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813718114886033408,Gusto ko sanang makasama ka kaso meron ka na palang iba!| 💔💔💔💔| | #Dadacs_Quotes| #heartbroken,813725308771713025,813725308771713025,tl,,everyone,2016-12-27T12:36:46.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",843013688,"Yahaya sa mga fans nga nakakita & nakapaPicture sa Got7!| | Welcome to Cebu Jackson,Bambam,Jinyoung,Mark,JB, Youngjae & Yugyeom!| #heartbroken http://someurl",811074021299089408,811074021299089408,tl,,everyone,2016-12-20T05:01:30.000Z,#heartbroken,"[{'type': 'quoted', 'id': '810872840199151616'}]",
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",16385267,Broken Ray-Ban... Huhuhu! #heartbroken http://someurl,810473667062706176,810473667062706176,tl,,everyone,2016-12-18T13:15:54.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",806050903853670400,@someuser ang hirap kasing lagi ako ang magmamahal sa mahal ko #heartbroken char. Single na single bawal pa po...🤗🤗🤗,810137675919335424,810127379334971392,tl,4777405154,everyone,2016-12-17T15:00:48.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '810127379334971392'}]",
Twitter for Android,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",788696705898192896,Pagod na akong maghintay sa kanya | #heartbroken,809781986520797184,809781986520797184,tl,,everyone,2016-12-16T15:27:25.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",797772127747194882,Wag mong sabihin na nakapag move on kana kung araw araw mo namang sinusumbat sa akin ang nagawa kong mali. #sawi #broken #heartbroken,809054661600681984,809054661600681984,tl,,everyone,2016-12-14T15:17:17.000Z,#heartbroken,,
Instagram,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",156122361,Hahahahaha :v tmr #Exitos #heartbroken @ Urb. Santa Maria - Trujillo http://someurl,809047818367356928,809047818367356928,tl,,everyone,2016-12-14T14:50:05.000Z,#heartbroken,,{'place_id': '017f24412e7d4240'}
Facebook,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}",598123217,2nd song para sa heart broken #HeartBroken @someuser isave ko lahat sa drive ko para mapakinggan din ng lahat,808951018843205632,808951018843205632,tl,,everyone,2016-12-14T08:25:27.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3666820092,Wala jud diay forever? Bisag ang kissasian gi biyaan ko. #HeartBroken,808250932752285698,808250932752285698,tl,,everyone,2016-12-12T10:03:33.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",797772127747194882,Yung miss na miss muna siya pero wala kang magawa para makita at makausap siya. #remembersomeonetoday #jams #heartbroken,807973034359296004,807973034359296004,tl,,everyone,2016-12-11T15:39:17.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",802440243601248256,"Pag nandyan na, dina alam gagawin eh. Haha| #Heartbroken",807956877803810817,807956877803810817,tl,,everyone,2016-12-11T14:35:05.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4599061524,Ang sakit isipin na may gf kana pala :(| #HeartBroken,807606881850011648,807606881850011648,tl,,everyone,2016-12-10T15:24:19.000Z,#heartbroken,,
TweetDeck,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",139655888,@someuser @someuser I visited YFC room nung friday but walang tao #heartbroken chos,805954418550050816,805715085020643328,tl,41540574,everyone,2016-12-06T01:58:01.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '805939798867251200'}]",
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",143747391,Kung may gamot lang na pangpalimot uminom nako!! 💔💔😭#brokenhearted #heartbroken #pusongsawi,805805078795825152,805805078795825152,tl,,everyone,2016-12-05T16:04:36.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",703371084591190016,Zindagi Teri Talsh Main Hum Log| Itna Chaltay Kay Marr Jatay hein| #Shaaf #Ali #Cousin #Heartbroken #Death http://someurl,805489453829652482,805489453829652482,tl,,everyone,2016-12-04T19:10:25.000Z,#heartbroken,,
Facebook,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4802521764,Maraming rason para mapagod ang isang tao. Swerte mo nalang kung mahal ka pa niya after all the things you’ve done.| | #heartbroken,804328673960726529,804328673960726529,tl,,everyone,2016-12-01T14:17:54.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3034086590,Way seryoso karung generation #heartbroken,803424321200762880,803424321200762880,tl,,everyone,2016-11-29T02:24:19.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",4800816913,@someuser 😢😢😢 #sad #heartbroken #maahpuppy huhu,802849946349092864,802848721339695104,tl,3263579930,everyone,2016-11-27T12:21:58.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '802849676198232064'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1658219090,@someuser @someuser HUHUHUHH #HEARTBROKEN,802515851681284096,802515573456269312,tl,2274463795,everyone,2016-11-26T14:14:23.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '802515573456269312'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1964828905,@someuser agree friend... Tagal natin naghintay... Huhuhu kahit farewell stage sana.... Ang sakit... #heartbroken 😭,802490003813109760,802137007421997056,tl,1339327344,everyone,2016-11-26T12:31:41.000Z,#heartbroken,"[{'type': 'replied_to', 'id': '802489738993119232'}]",
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",327826942,Im back.. stop na muna ko sa Instagram and dito ko mag lalabas ng feelings sa twitter! #heartbroken lol,802430904031264769,802430904031264769,tl,,everyone,2016-11-26T08:36:50.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",165700429,Goodbye NMD duck camo #heartbroken eto na bday gift ko! http://someurl,801637541887688704,801637541887688704,tl,,everyone,2016-11-24T04:04:18.000Z,#heartbroken,"[{'type': 'quoted', 'id': '801606295375622144'}]",
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",111308739,"Masaya na sanang makatabi mo si crush, ngunit nakakalungkot isipin na isa siyang bading! Huhuhu! 😱😭💔 #heartbroken",801006657094307840,801006657094307840,tl,,everyone,2016-11-22T10:17:23.000Z,#heartbroken,,
Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2245149031,pag naalala ko yung naka face-to-face ko yung book ni zayn tapos hindi ko siya nabili tangina #heartbroken,800992864989679616,800992864989679616,tl,,everyone,2016-11-22T09:22:35.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1272099524,Amf! Ayoko na nang maputi! Gusto ko ng dark......chocolate!| | #heartbroken,800892092658565121,800892092658565121,tl,,everyone,2016-11-22T02:42:09.000Z,#heartbroken,,
Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1272099524,Iwasan ang mga nakakapagpalungkot sayo......| | #heartbroken,800653429076987905,800653429076987905,tl,,everyone,2016-11-21T10:53:47.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",715878479317733376,Minahal mo sya ng buong buo malalaman mo lang na mahal nya parin yung ex nya :( | | #HeartBroken,799228405895966720,799228405895966720,tl,,everyone,2016-11-17T12:31:15.000Z,#heartbroken,,
Twitter Web Client,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",797772127747194882,Pwede bang akin na lang yung #penguin. #heartbroken #KMJS12,797813317225979904,797813317225979904,tl,,everyone,2016-11-13T14:48:12.000Z,#heartbroken,,
