source,conversation_id,author_id,text,reply_settings,created_at,id,public_metrics,lang,search_query,geo,referenced_tweets,in_reply_to_user_id
Twitter for Android,801032028174962688,4487133446,不知道为什么又想抽烟了！是不是心中太乱了！#heartbroken #peaceful 但是抽烟以后心情变得很平静！看事情也变得豁达咯！原来这就是好处！ #VeryGood  #ComeOn,everyone,2016-11-22T11:58:12.000Z,801032028174962688,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
Instagram,790934388750086148,105755174,旧的不去；新的不来💸 😔 #heartbroken 💔 http://someurl,everyone,2016-10-25T15:13:47.000Z,790934388750086148,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",zh,#heartbroken,,,
Instagram,790098796701069312,957638732,..............🤕| 走去停車場| 又開口笑離我而去的第二個孩子.....| 你們在鞋櫃裡說好今年大家一起壞就對了....| 爽貓布偶我不能去見你了😞| #heartbroken @someuser http://someurl,everyone,2016-10-23T07:53:27.000Z,790098796701069312,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,"{'coordinates': {'type': 'Point', 'coordinates': [120.49001984, 22.67415754]}, 'place_id': '0015605113e11028'}",,
Instagram,789272802176172034,769736130,Vanilla latte...| 懶懶的星巴巴女神~就跟我一樣懶懶的！| 晚上把酒當水喝~早上把咖啡當茶喝...| #heartbroken #sad #lonely #alone @someuser http://someurl,everyone,2016-10-21T01:11:14.000Z,789272802176172034,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
Instagram,787927498843648000,751711380718252032,心疼自己| 连日来身心俱损| #eyes #heartbroken #physics http://someurl,everyone,2016-10-17T08:05:29.000Z,787927498843648000,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",zh,#heartbroken,,,
Twitter for Android,772990585309323264,3310950732,得不到的永远在骚动| 被偏爱的都有恃无恐 #heartbroken,everyone,2016-09-06T02:51:31.000Z,772990585309323264,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,{'place_id': '00a402d61d002733'},,
Instagram,765128505600258048,63022890,受傷了，嗚...| #wolverine1000mile #heartbroken #boots http://someurl,everyone,2016-08-15T10:10:25.000Z,765128505600258048,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
Instagram,764540329802489856,90321801,結果還是令人心| Its memories...| I broke my heart!!| #heartbroken http://someurl,everyone,2016-08-13T19:13:13.000Z,764540329802489856,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",zh,#heartbroken,,,
Twitter for iPhone,738684499987304448,1527232476,意思意思問都沒有 #heartbroken,everyone,2016-06-03T10:51:23.000Z,738684499987304448,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
Twitter for Android,727540256027860994,2509131360,"当一首歌都能牵扯到我的伤，you keep me searching for a heart of gold, 这句话说的真好听，却不是对我。#heartbroken",everyone,2016-05-03T16:48:08.000Z,727540256027860994,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
Instagram,710462211299414016,3315081512,"是我太過愛你 願意放生你...Goodbye my my love, goodbye my friend 💔💔🌾 #memory #heartbroken #exhausted... http://someurl",everyone,2016-03-17T13:46:05.000Z,710462211299414016,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
Instagram,708636573001244672,2466070063,果然是容易玻璃心的過程 #night #emotions #heartbroken #life #lifestyle 其實有一萬個不能明白，但只能這樣。 http://someurl,everyone,2016-03-12T12:51:39.000Z,708636573001244672,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
PugPug_Love,707061559424475136,2340728744,Loki竟然給陌生人抱成這樣，媽媽心已碎💔 #loki #puglife #pug #dogvacay #heartbroken http://someurl http://someurl,everyone,2016-03-08T04:33:06.000Z,707061559424475136,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",zh,#heartbroken,,,
Twitter for iPhone,700627992863600640,4865177227,明天就要回学校了😭#heartbroken,everyone,2016-02-19T10:28:25.000Z,700627992863600640,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
Instagram,697030137037070336,379683044,稍縱即逝的東西 #fireworks #heart and #heartbroken #like #nothing #happen http://someurl,everyone,2016-02-09T12:11:49.000Z,697030137037070336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
Twitter for iPhone,693746651433824256,80024397,「廣告不實啦」| 剛剛點我習慣的oreo加m&m| 看到有nutella| 我就問他說 那我的冰風暴可以再加nutella嗎？| 店員：不好意思明天才有喔| OS： 你廣告貼出來結果說明天才有| 你知道我心都碎了嗎| #heartbroken http://someurl,everyone,2016-01-31T10:44:25.000Z,693746651433824256,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
Twitter for Android,682407568476520449,1687606340,2015年12月31日| 2015年的最后一天，| 既然让我看到很伤心的事...| 你已经有了新欢，| 为什么你还是看不见我?| 我真的那么差吗？| 每次我都已经很主动的找你，| 找你聊天，找你打球，找你逛逛...| 你还是看不见我的存在...| #heartbroken,everyone,2015-12-31T03:46:57.000Z,682407568476520449,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",zh,#heartbroken,,,
