public_metrics,source,created_at,id,geo,conversation_id,text,author_id,lang,reply_settings,search_query,referenced_tweets,in_reply_to_user_id
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Instagram,2016-12-30T23:56:05.000Z,814983426352640000,{'place_id': '07419c1d9571aa81'},814983426352640000,What a Beautiful❄️Day?! #tgif #friday #goregousday ☀️#hopeful #grateful #joyful #blessed... http://someurl,1010220236,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T23:53:58.000Z,814982893810417664,{'place_id': '6c686af766d8429c'},814982578679795717,"@someuser Saw that too...what a beautiful sunset, indeed! #Thanful #Hopeful #Blessed",604951476,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814982578679795717'}]",209640562
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T23:53:32.000Z,814982786658476032,,814982786658476032,Was in the Dome today. I could only think about the #jays & this was me. | | #sad #nervous #hopeful #praying #glasscaseofemotion http://someurl,1667991319,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android,2016-12-30T23:46:48.000Z,814981090523959296,,814981090523959296,I think 2017 is gonna be a great learning experience. #hopeful #ifeelitcoming,1080141636,en,everyone,#hopeful,,
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,2016-12-30T23:46:41.000Z,814981060547268608,,814981060547268608,Looking forward to Costco opening in Brantford. Now for council to approve all the steps needed before it can get built. #hopeful http://someurl,167074300,en,everyone,#hopeful,"[{'type': 'quoted', 'id': '814971396132667392'}]",
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T23:04:02.000Z,814970328791166976,{'place_id': '009243ac50ad0f26'},814970328791166976,"All I want in 2017, full of blessings,happiness and kindness 🙏🏼#hopeful",2468368693,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T22:09:31.000Z,814956607327129604,,814946140428926976,@someuser sadly ZERO. but the year is not over yet. #hopeful,4881765855,en,everyone,#hopeful,"[{'type': 'replied_to', 'id': '814946140428926976'}]",4805001883
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone,2016-12-30T21:53:29.000Z,814952576546381824,,814952576546381824,I cant wait for 2017. I have a feeling its gonna be a good year! #Hopeful #NewYear,750539886,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T21:37:30.000Z,814948554166960128,"{'place_id': '9e19f063e715ad2a', 'coordinates': {'type': 'Point', 'coordinates': [8.231973, 46.798562]}}",814948554166960128,The impulse to #Travel is one of the #Hopeful symptoms of #Life| | #GoodVibes | #LongDrives... http://someurl,202595614,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T21:35:25.000Z,814948027358134272,{'place_id': '015fd2ff54877b34'},814948027358134272,"@someuser Im a member, have injured my ankle on holiday, car at Gatwick. Does my cover extend to being driven home? #hopeful",17308021,en,everyone,#hopeful,,384323508
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,2016-12-30T21:00:09.000Z,814939152596733952,,814939152596733952,Heres to hoping 2017 will be better than 2016. It has to be better....for us all. #Hopeful #2017,422919392,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T20:53:07.000Z,814937384236163072,,814937384236163072,Be happy! 😊👌🏽✌🏽#lifeistooshort #livingmylifelikeitsgolden #hopeful... http://someurl,798986945900597253,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",WordPress.com,2016-12-30T20:31:20.000Z,814931901790257152,,814931901790257152,Rise Up - Andra Day #JukeboxFriday #HacksawRidge #warmovies #courage #brave #RiseUp #AndraDay #hopeful #music... http://someurl,3420779476,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T20:27:24.000Z,814930909023584256,,814930909023584256,Being fabulous with what God gave me #hopeful #HAPPYNEWYEAR #laughter #love #embracemiddleage #2017 http://someurl,2865085681,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,2016-12-30T20:16:12.000Z,814928093676797953,,814928093676797953,"@someuser so, is there much chance of you coming over to the YK for promos for Twin Peaks 3? #hopeful!",117892720,en,everyone,#hopeful,,286311652
"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",Twitter Web Client,2016-12-30T19:10:20.000Z,814911517653078019,,814911517653078019,The first of many reads for 2017. This on #hopeful schools by @someuser #hope #possibilities #transformativechange http://someurl,333901601,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Instagram,2016-12-30T19:05:00.000Z,814910175903682560,,814910175903682560,#faithful #hopeful #loveislouder We all do mistakes so lets move past them and push re-start... http://someurl,478876940,en,everyone,#hopeful,,
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2016-12-30T18:22:17.000Z,814899425248165888,,814899425248165888,#Crews #hopeful in #search for #plane carrying 6 near #Cleveland | ~via http://someurl,143562564,en,everyone,#hopeful,,
