reply_settings,lang,conversation_id,author_id,public_metrics,id,text,source,created_at,search_query,geo,referenced_tweets,in_reply_to_user_id
everyone,es,813245095252258816,325712249,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",813245095252258816,"Tal vez y este año sí me anime a entrar al mundo de la prostitución, ojalá y Dios me de la fuerza que necesito para lograrlo #Hopeful",Twitter Web Client,2016-12-26T04:48:34.000Z,#hopeful,,,
everyone,es,812164664683622400,1301005771,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",812164664683622400,Escuchando #barsAndMelody  #Hopeful  Hermosa Canción 😍💟 http://someurl,Twitter Web App,2016-12-23T05:15:20.000Z,#hopeful,,,
everyone,es,809578125218709509,3309263904,"{'retweet_count': 24, 'reply_count': 2, 'like_count': 56, 'quote_count': 0}",809578125218709509,#fotografiaraul #suicidegirls #hopeful| Si esta foto llega a mas de 80 RT comparto foto sin censura 7w7 http://someurl,Twitter for Android,2016-12-16T01:57:20.000Z,#hopeful,,,
everyone,es,809558505325817856,95319708,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809558505325817856,Más del shoot navideño organizado por Frida Kinich.| | #SuicideGirls #Hopeful #HopefulSG #MexicanSG #Suicidegirl http://someurl,Facebook,2016-12-16T00:39:23.000Z,#hopeful,,,
everyone,es,809451372852736000,4607956033,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809451372852736000,Modelo:  Alin Muir| Fotografía: @someuser| .| #hopefulsg #hopefully #hopeful #sghopeful... http://someurl,Instagram,2016-12-15T17:33:40.000Z,#hopeful,,,
everyone,es,809090151217582084,60440714,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809090151217582084,#Mood #Hopeful 🙏🏾#Wednesday #HumpDay 💚 @ Columbia College Chicago http://someurl,Instagram,2016-12-14T17:38:18.000Z,#hopeful,"{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62528636, 41.87400951]}}",,
everyone,es,809067874530820096,4607956033,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",809067874530820096,Modelo: @someuser| Fotografía: @someuser| .| #hopefulsg #hopefully #hopeful #sghopeful... http://someurl,Instagram,2016-12-14T16:09:47.000Z,#hopeful,,,
everyone,es,808721050641035264,4607956033,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808721050641035264,Modelo: @someuser| Fotografía: @someuser | .| #hopefulsg #hopefully #hopeful #sghopeful... http://someurl,Instagram,2016-12-13T17:11:38.000Z,#hopeful,,,
everyone,es,808345608650035200,57057287,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",808345608650035200,Opal Eye! #mondaymood #hopeful #inspo #repost the.pinklemonade @ Bijules http://someurl,Instagram,2016-12-12T16:19:46.000Z,#hopeful,"{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-73.99145, 40.72668]}}",,
everyone,es,808343009725214720,4607956033,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",808343009725214720,Modelo: jesik.c| Fotografía: @someuser | .| #hopefulsg #hopefully #hopeful #sghopeful... http://someurl,Instagram,2016-12-12T16:09:26.000Z,#hopeful,,,
everyone,es,807397554354798592,95319708,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",807397554354798592,¡Ya casi es Navidad!| | Modelo: Frida Kinich.| | #Hopeful #SG http://someurl,Facebook,2016-12-10T01:32:32.000Z,#hopeful,,,
