created_at,text,lang,source,id,reply_settings,author_id,conversation_id,public_metrics,search_query,referenced_tweets,in_reply_to_user_id,geo,withheld
2016-11-23T15:16:10.000Z,Woh waqt bhi aaega jb jihalat k qutab minar hamari tweets pe shut up shut up kahenge #Hopeful,hi,Twitter for Android,801444236331778048,everyone,122639809,801444236331778048,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#hopeful,,,,
2016-11-12T10:08:52.000Z,@someuser @someuser @someuser @someuser yup dekhte hai irade toh naik hai dekhte hai is ka fal kaisa milega #Hopeful ☺,hi,Twitter Web App,797380634952040448,everyone,2767043289,797362410009071616,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#hopeful,"[{'type': 'replied_to', 'id': '797379568810291200'}]",550937853,,
2016-09-30T12:47:31.000Z,Deshaun Watson or Brad Kaaya to the Dolphins? #Hopeful,hi,Twitter for iPhone,781837882000572416,everyone,411251380,781837882000572416,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2016-08-21T12:19:11.000Z,"ईश्वर संभलने, सुधरने का मौका सबको देता है... #Hopeful http://someurl",hi,Facebook,767335236925612032,everyone,1580253613,767335236925612032,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2016-08-05T01:01:20.000Z,Sudhar Jao #dreams #big #hopeful #waheguru #bless #everyone http://someurl,hi,Instagram,761366446194688000,everyone,2204414742,761366446194688000,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#hopeful,,,,
2016-06-26T17:15:30.000Z,किसी को मनाना............  इक #मैराथन सी कोशिश । | कभी तो मानोगे । | | #Hopeful #Agree,hi,Twitter for Android,747116086152159234,everyone,372229802,747116086152159234,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,{'place_id': '2fc44e83f8d00aaa'},
2016-06-26T17:12:04.000Z,किसी को मनाना............  इक #मैराथन सी कोशिश । | कभी तो मानोगे । | | #Hopeful,hi,Twitter for Android,747115221769031680,everyone,828303644,747115221769031680,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,{'place_id': '2fc44e83f8d00aaa'},
2016-06-02T14:05:22.000Z,Maureen #HIV #Hopeful #Inspirational  #PAD2016 #PositivelyMindful #PositiveAffirmationDay http://someurl http://someurl,hi,Hootsuite,738370930754375680,everyone,3964394656,738370930754375680,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2016-04-28T13:01:28.000Z,#Aslaam_Alaikum| |         Achi Baat| | #Insaan To Har #Ghr May #peda  Hota Hy | magar| #insaniyat Kahee Kahee #Janam Leti Hy.....| | #Hopeful,hi,Twitter for Android,725671271636283392,everyone,724822005309120514,725671271636283392,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#hopeful,,,,
2016-04-24T10:24:40.000Z,"@someuser @someuser kadardan toh aapke sabhi jagah hain, khushnaseeb honge wo jinhe aapke darshan mile 😊☺ #HousefullInPune #hopeful 😇👌",hi,Twitter for Android,724182262711898112,everyone,54451410,724161145834074112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,"[{'type': 'replied_to', 'id': '724161145834074112'}]",31348594,,
2016-03-30T12:32:14.000Z,Taseer jo AMRAT main nahi wo ZEHAR main hi sahi| | Gali se wo kooch kar chlay chalo Shehar main hi sahi. #hopeful,hi,Twitter for iPhone,715154668691857408,everyone,3138794592,715154668691857408,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#hopeful,,,,
2016-03-28T10:39:15.000Z,Bas aik aur dost bhabi wali category me shift ho gae hai | | #Hopeful,hi,Twitter for Android,714401459895406592,everyone,2475106968,714401459895406592,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#hopeful,,,,
2016-03-26T14:35:26.000Z,"Aaja ma nirasha maa, aasha ko jyoti balna khojdai chhu| Chinnabhinna man mastiska batulera bokdai chu| | #Hopeful #NotGivingUp",hi,Facebook,713736121050603520,everyone,2691756114,713736121050603520,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",#hopeful,,,,
2016-03-18T17:03:12.000Z,Yeh waqt bhi gujar jaega #Hopeful,hi,Twitter for Android,710874204564926464,everyone,79671443,710874204564926464,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,{'place_id': '64231a922dea526e'},
2016-03-14T19:07:39.000Z,"Jo hota hai, achchhe ke liye hota hai... agar kuchh achchha na ho means bhot achchha hone wala hai...#Hopeful #Optimistic #Life #Winners",hi,Twitter for BlackBerry,709455973379735553,everyone,85331278,709455973379735553,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#hopeful,,,,
2016-03-13T21:12:51.000Z,Alhumdulilla! Finally got the topic. | Kisi cheez ki talash mai lag jao tou hasil ho hi jati hai ☺📝| #LifeisGood #hopeful,hi,Twitter for Android,709125092119343104,everyone,3619815920,709125092119343104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2016-03-12T17:10:54.000Z,Suna hai  mohabat main neend urh jati hi | Yr koi hum sy bhe kry mohabat  sali neend bhot ati hai #hopeful,hi,Twitter for Android,708701815735504897,everyone,2768781305,708701815735504897,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2016-03-02T14:44:23.000Z,#PakvBan wese... mere Mutabiq pakistan ko phele batting raas aati hai. Inshallah aj jeet jaenge.| #feeling #Hopeful,hi,Twitter for Android,705041064982355969,everyone,1011833815,705041064982355969,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2016-02-27T17:36:36.000Z,Haar Hmari Qamyaabi Ki traf Pehla Qadam Sabit Hogi | InshaALLAH| #PAKVsIndia | #AsiaCup| #Hopeful| #HamXa_CH,hi,Facebook,703634852713799681,everyone,2782047756,703634852713799681,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,"{'copyright': False, 'country_codes': ['IN']}"
2016-02-27T15:19:37.000Z,#JNU  वाली की बदुआ लग रही है | टीम इंडिया ने पाक को जल्दी आउट कर दिया था ना #IndvsPak #hopeful,hi,Twitter for Android,703600380396105728,everyone,4880444435,703600380396105728,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",#hopeful,,,,
2016-02-27T04:41:45.000Z,गुजर रही है ज़िन्दगी अंधेरो से तो ग़म ना कर क्योकि| कुछ देर बाद अँधेरे में भी साफ नज़र आने लगता है!!!| #positive_attitude #hopeful,hi,Twitter Web Client,703439856836472832,everyone,118282412,703439856836472832,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2016-02-26T04:47:25.000Z,Ane wala kal Humesha behtar hota hai 😉| #hopeful,hi,Twitter for Android,703078895059226624,everyone,133391167,703078895059226624,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",#hopeful,,,,
2016-02-21T06:13:31.000Z,@someuser   @someuser @someuser @someuser   chalo ab mere frens n bataa diya tumhe  toh ? #hopeful ☺💕 http://someurl,hi,Twitter for Android,701288620338970624,everyone,70996927,697876445989883904,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",#hopeful,"[{'type': 'replied_to', 'id': '701286919813070848'}]",104905203,,
2016-02-19T14:37:19.000Z,"वजह भी हम हैं फसाद भी हम, गर खुद पर भरोसा तो निजात भी हम।| #hopeful",hi,Twitter for Android,700690632495407106,everyone,488418582,700690632495407106,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2016-02-01T10:37:07.000Z,Nyunm) w) ko!| #hopeful,hi,Twitter for iPhone,694107203620442112,everyone,282617990,694107203620442112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2016-01-01T09:13:22.000Z,zindagi ka sb se ghamgeen saall guzar gaya umeed hai age aesa na ho #Hopeful,hi,Twitter Web Client,682852100838191104,everyone,2472867486,682852100838191104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2015-12-29T17:04:40.000Z,Pollution का तो पता नहीं लेकिन १५ दिन ट्रैफ़िक कंट्रोल में रहेगा #hopeful #OddEvenFormula @someuser @someuser,hi,Twitter for iPhone,681883545904652288,everyone,70612368,681883545904652288,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
2015-12-20T01:33:55.000Z,"Dil naumeed to nahi, nakaam hi to hay,| Lambi hay gham ki sham, magar sham hi to hay, #hopeful",hi,Twitter Web Client,678387823683223552,everyone,3304383164,678387823683223552,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",#hopeful,,,,
